Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,9.00%,1.58%,4.31%,5.98%,4.51%
Total Revenues,9.00%,1.58%,4.31%,5.98%,4.51%
Cost Of Revenues,5.95%,8.58%,2.42%,8.85%,5.94%
Gross Profit,33.30%,(42.68%),26.90%,(21.69%),(10.33%)
Selling General & Admin Expenses,25.31%,(11.94%),10.76%,7.51%,7.16%
Total Operating Expenses,25.31%,(11.94%),10.76%,7.51%,7.16%
Operating Income,36.43%,(53.75%),37.97%,(37.76%),(21.04%)
Interest Expense,(41.71%),(51.90%),-18.54%,-4.91%,-6.07%
Interest And Investment Income,235.94%,78.67%,3.37%,(48.83%),(36.79%)
Net Interest Expenses,(35.61%),(49.82%),-20.57%,(0.39%),-2.81%
Currency Exchange Gains (Loss),,,-59.69%,-89.01%,
Other Non Operating Income (Expenses),(30.03%),(58.67%),,,
"EBT, Excl. Unusual Items",36.79%,(66.02%),66.73%,(43.63%),(38.48%)
"EBT, Incl. Unusual Items",40.22%,(65.34%),85.88%,(73.80%),(69.03%)
Income Tax Expense,8.19%,(67.63%),88.48%,(58.54%),(64.49%)
Earnings From Continuing Operations,57.98%,(64.47%),84.98%,(79.18%),(70.88%)
Net Income to Company,57.98%,(64.47%),84.98%,(79.18%),(70.88%)
Minority Interest,,,,-48.86%,-42.27%
Net Income,57.67%,(64.30%),83.88%,(79.22%),(70.92%)
NI to Common Incl Extra Items,57.67%,(64.30%),83.88%,(79.22%),(70.92%)
NI to Common Excl. Extra Items,57.67%,(64.30%),83.88%,(79.22%),(70.92%)
Revenue Per Share,11.17%,1.49%,4.11%,7.47%,6.63%
Basic EPS,60.48%,(64.30%),82.81%,(78.95%),(70.34%)
Basic EPS - Continuing Ops,60.48%,(64.30%),82.81%,(78.95%),(70.34%)
Basic Weighted Average Shares Outst.,(1.94%),0.08%,0.18%,(1.39%),(1.98%)
Diluted EPS,61.27%,(64.30%),82.81%,(78.95%),(70.33%)
Diluted EPS - Continuing Ops,61.27%,(64.30%),82.81%,(78.95%),(70.33%)
Diluted Weighted Average Shares Outst.,(2.03%),0.07%,0.22%,(1.44%),(2.02%)
Normalized Basic EPS,39.21%,(65.84%),65.37%,(43.01%),(37.23%)
Normalized Diluted EPS,39.07%,(65.87%),65.16%,(42.64%),(37.20%)
EBITDA,32.80%,(42.79%),26.23%,(21.57%),(9.61%)
EBITA,36.54%,(52.53%),35.58%,(36.58%),(19.46%)
EBIT,36.43%,(53.75%),37.97%,(37.76%),(21.04%)
EBITDAR,,,,(18.72%),
Effective Tax Rate,(22.84%),(6.60%),1.41%,58.23%,14.66%
Normalized Net Income,36.52%,(65.83%),65.55%,(43.63%),(38.47%)
Interest on Long-Term Debt,41.71%,51.90%,(18.54%),(4.91%),
R&D Expense From Footnotes,5.71%,8.11%,27.50%,5.88%,5.88%
Foreign Sales,,13.56%,7.68%,20.91%,
