Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5.29%,(40.26%),6.46%,14.81%,39.77%
Other Revenues,26.29%,(0.43%),(6.09%),17.53%,23.04%
Total Revenues,5.49%,(39.82%),6.23%,14.86%,39.44%
Cost Of Revenues,6.76%,(28.61%),18.54%,17.02%,26.40%
Gross Profit,4.22%,(51.24%),(12.13%),10.52%,79.22%
Selling General & Admin Expenses,2.80%,(57.09%),(32.60%),3.15%,179.57%
Total Operating Expenses,2.69%,(57.05%),(32.60%),3.15%,179.58%
Operating Income,8.99%,(34.18%),27.12%,18.00%,38.00%
Interest Expense,-12.19%,,,,(592.08%)
Interest And Investment Income,(32.01%),,,,
Net Interest Expenses,-9.61%,,,,
Other Non Operating Income (Expenses),981.02%,,,,
"EBT, Excl. Unusual Items",12.08%,(31.76%),27.12%,17.95%,36.27%
"EBT, Incl. Unusual Items",9.69%,(34.55%),(82.39%),883.51%,"4,491.12%"
Income Tax Expense,,,65.82%,(27.34%),138.59%
Earnings From Continuing Operations,110.03%,(57.17%),,,
Earnings Of Discontinued Operations,,,(20.90%),,
Net Income to Company,110.03%,(32.93%),(83.96%),,
Net Income,110.03%,(32.93%),(83.96%),,
NI to Common Incl Extra Items,110.03%,(32.93%),(83.96%),,
NI to Common Excl. Extra Items,110.03%,(57.17%),,,
Revenue Per Share,7.75%,(38.34%),9.07%,14.97%,38.85%
Basic EPS,113.97%,(31.27%),(83.54%),,
Basic EPS - Continuing Ops,113.97%,(56.11%),,,
Basic Weighted Average Shares Outst.,(2.10%),(2.41%),(2.61%),(0.09%),0.42%
Diluted EPS,112.57%,(31.67%),(83.28%),,
Diluted EPS - Continuing Ops,112.57%,(56.40%),,,
Diluted Weighted Average Shares Outst.,(1.22%),(2.11%),(4.64%),1.04%,1.36%
Normalized Basic EPS,14.62%,(30.03%),30.68%,17.92%,35.69%
Normalized Diluted EPS,13.30%,(30.33%),33.31%,16.60%,34.43%
Dividend Per Share,12.50%,13.64%,11.54%,10.00%,(16.67%)
Payout Ratio,(48.94%),16.97%,842.93%,,
EBITDA,7.12%,(24.77%),22.64%,11.43%,22.04%
EBITA,8.11%,(33.30%),25.13%,16.91%,37.23%
EBIT,8.99%,(34.18%),27.12%,18.00%,38.00%
EBITDAR,(12.14%),(35.53%),22.37%,11.11%,
Effective Tax Rate,,,841.48%,(92.61%),(94.80%)
Normalized Net Income,12.08%,(31.76%),27.12%,17.95%,36.27%
R&D Expense From Footnotes,25.00%,(94.78%),383.33%,17.24%,17.24%
Foreign Sales,47.58%,,,,
