Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,191.6,277.7,522.3,534.9,1661.7,1862.4
Total Revenues,191.6,277.7,522.3,534.9,1661.7,1862.4
Cost Of Revenues,80.4,110.7,202.9,214.1,312.8,326.5
Gross Profit,111.2,167.0,319.4,320.8,1348.9,1535.8
Selling General & Admin Expenses,76.8,96.4,152.8,162.4,199.1,207.8
R&D Expenses,38.7,33.6,51.6,52.6,84.3,91.2
Total Operating Expenses,115.5,130.1,204.5,215.0,283.4,299.0
Operating Income,(4.2),36.9,114.9,105.9,1065.4,1236.8
Interest Expense,(12.2),(17.6),(24.3),(14.8),(8.5),(8.1)
Net Interest Expenses,(12.2),(17.6),(24.3),(14.8),(8.5),(8.1)
"EBT, Excl. Unusual Items",(16.4),19.3,90.6,91.1,1056.9,1228.7
"EBT, Incl. Unusual Items",(16.2),(8.0),63.4,77.2,1040.3,1213.3
Income Tax Expense,(2.4),0.1,(10.8),4.3,230.0,265.2
Earnings From Continuing Operations,(13.8),(8.2),74.2,72.9,810.3,948.1
Net Income to Company,(13.8),(8.2),74.2,72.9,810.3,948.1
Net Income,(13.8),(8.2),74.2,72.9,810.3,948.1
NI to Common Incl Extra Items,(13.8),(8.2),74.2,72.9,810.3,948.1
NI to Common Excl. Extra Items,(13.8),(8.2),74.2,72.9,810.3,948.1
Revenue Per Share,$5.86,$8.23,$13.75,$13.09,$39.45,$44.09
Basic EPS,($0.42),($0.24),$1.95,$1.78,$19.24,$22.45
Basic EPS - Continuing Ops,($0.42),($0.24),$1.95,$1.78,$19.24,$22.45
Basic Weighted Average Shares Outst.,32.7,33.7,38.0,40.9,42.1,42.2
Diluted EPS,($0.42),($0.24),$1.86,$1.73,$18.60,$21.74
Diluted EPS - Continuing Ops,($0.42),($0.24),$1.86,$1.73,$18.60,$21.74
Diluted Weighted Average Shares Outst.,32.7,33.7,42.6,43.1,43.6,43.6
Normalized Basic EPS,($0.31),$0.36,$1.49,$1.39,$15.68,$18.18
Normalized Diluted EPS,($0.31),$0.36,$1.33,$1.32,$15.15,$17.60
EBITDA,18.2,66.9,160.2,152.9,1113.6,1284.6
EBITA,4.8,52.2,142.7,132.6,1091.8,1236.8
EBIT,(4.2),36.9,114.9,105.9,1065.4,1236.8
EBITDAR,20.4,67.8,,163.0,1124.9,
Effective Tax Rate,NM,NM,NM,5.5%,22.1%,21.9%
Normalized Net Income,(10.2),12.1,56.6,56.9,660.6,767.9
Interest on Long-Term Debt,10.9,10.9,12.6,4.8,2.1,
R&D Expense From Footnotes,39.2,34.4,52.6,53.4,85.2,92.1
Foreign Sales,33.4,50.1,167.4,176.5,209.3,
