Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,16.62%,20.82%,15.32%,12.86%,12.31%
Total Revenues,16.62%,20.82%,15.32%,12.86%,12.31%
Cost Of Revenues,19.60%,28.32%,5.03%,13.97%,17.22%
Gross Profit,15.80%,18.66%,18.52%,12.55%,10.99%
Selling General & Admin Expenses,12.59%,9.98%,2.30%,2.63%,28.27%
R&D Expenses,17.01%,24.38%,28.14%,6.31%,2.74%
Total Operating Expenses,13.89%,14.32%,10.78%,4.03%,18.48%
Operating Income,23.70%,35.22%,43.47%,33.77%,(6.50%)
Interest Expense,-88.46%,"(5,633.33%)",-38.37%,-91.51%,-85.07%
Interest And Investment Income,102.58%,127.37%,38.87%,(36.22%),(49.41%)
Net Interest Expenses,106.41%,121.19%,41.11%,(35.52%),(49.12%)
Currency Exchange Gains (Loss),-53.90%,(62.54%),-38.65%,,
Other Non Operating Income (Expenses),,(975.00%),-76.28%,(188.24%),-6.83%
"EBT, Excl. Unusual Items",25.58%,40.31%,44.54%,27.38%,(10.11%)
"EBT, Incl. Unusual Items",29.41%,40.86%,44.20%,27.57%,(10.13%)
Income Tax Expense,,(72.88%),,(1.71%),(61.14%)
Earnings From Continuing Operations,110.36%,41.70%,21.00%,32.07%,(2.22%)
Net Income to Company,110.36%,41.70%,21.00%,32.07%,(2.22%)
Net Income,110.36%,41.70%,21.00%,32.07%,(2.22%)
NI to Common Incl Extra Items,110.36%,41.70%,21.00%,32.07%,(2.22%)
NI to Common Excl. Extra Items,110.36%,41.70%,21.00%,32.07%,(2.22%)
Revenue Per Share,9.69%,16.46%,14.79%,12.60%,11.98%
Basic EPS,96.37%,36.48%,20.71%,32.09%,(2.51%)
Basic EPS - Continuing Ops,96.37%,36.48%,20.71%,32.09%,(2.51%)
Basic Weighted Average Shares Outst.,6.23%,3.83%,0.51%,0.24%,0.30%
Diluted EPS,102.00%,35.64%,22.63%,33.33%,(1.45%)
Diluted EPS - Continuing Ops,102.00%,35.64%,22.63%,33.33%,(1.45%)
Diluted Weighted Average Shares Outst.,4.44%,4.56%,(1.32%),(1.26%),(1.10%)
Normalized Basic EPS,17.85%,35.13%,44.11%,27.34%,(10.37%)
Normalized Diluted EPS,20.92%,33.48%,46.04%,29.24%,(9.11%)
EBITDA,22.88%,36.95%,30.52%,25.18%,(1.78%)
EBITA,24.48%,42.48%,44.90%,31.42%,(5.64%)
EBIT,23.70%,35.22%,43.47%,33.77%,(6.50%)
EBITDAR,24.50%,32.14%,31.61%,24.58%,
Effective Tax Rate,,,,(22.95%),(56.76%)
Normalized Net Income,25.58%,40.31%,44.54%,27.38%,(10.11%)
Interest on Long-Term Debt,(88.46%),"5,633.33%",(38.37%),(91.51%),
R&D Expense From Footnotes,17.01%,24.38%,28.14%,6.31%,2.74%
Foreign Sales,17.13%,36.47%,23.71%,15.18%,
