Income Statement,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,(79.44%),25.94%,29.77%,33.24%,21.62%
Total Revenues,(79.44%),25.94%,29.77%,33.24%,21.62%
Cost Of Revenues,(79.45%),(3.58%),25.23%,26.50%,(3.26%)
Gross Profit,(79.43%),65.42%,33.30%,38.18%,40.18%
Selling General & Admin Expenses,(45.96%),15.67%,45.07%,16.64%,(8.69%)
R&D Expenses,(33.51%),22.98%,41.15%,23.67%,7.49%
Other Operating Expense/(Income),,-88.02%,,,(74.10%)
Total Operating Expenses,(43.43%),17.56%,44.08%,18.60%,(4.46%)
Operating Income,,-10.72%,(55.88%),(0.27%),-48.73%
Interest And Investment Income,,,"3,643.03%",(18.12%),(90.67%)
Net Interest Expenses,,,"3,643.03%",(18.12%),(90.67%)
Other Non Operating Income (Expenses),44.25%,,,,0.00%
"EBT, Excl. Unusual Items",,-10.66%,(39.87%),(2.46%),-43.43%
"EBT, Incl. Unusual Items",(544.77%),(1.73%),(34.83%),-7.70%,-46.18%
Income Tax Expense,(288.45%),(45.46%),-30.91%,-11.30%,(51.04%)
Earnings From Continuing Operations,(889.55%),-21.36%,(99.03%),-6.48%,-63.37%
Earnings Of Discontinued Operations,484.22%,1.22%,"1,180.58%",(99.94%),(82.26%)
Net Income to Company,(38.71%),471.57%,"4,280.52%",,-62.89%
Net Income,(38.71%),471.57%,"4,280.52%",,-62.89%
NI to Common Incl Extra Items,(38.71%),471.57%,"4,280.52%",,-62.89%
NI to Common Excl. Extra Items,(889.55%),-21.36%,(99.03%),-6.48%,-63.37%
Revenue Per Share,(79.44%),24.00%,36.46%,47.41%,24.96%
Basic EPS,(41.19%),495.25%,"4,470.10%",,-61.87%
Basic EPS - Continuing Ops,(902.41%),-22.45%,(110.06%),(3.27%),-62.36%
Basic Weighted Average Shares Outst.,(0.01%),1.65%,(4.91%),(9.68%),(2.67%)
Diluted EPS,(41.19%),495.25%,"4,468.60%",,-61.89%
Diluted EPS - Continuing Ops,(902.41%),-22.45%,(110.59%),(3.35%),-62.38%
Diluted Weighted Average Shares Outst.,(0.01%),1.65%,(4.91%),(9.68%),(2.67%)
Normalized Basic EPS,,-11.78%,(47.27%),(13.50%),-41.88%
Normalized Diluted EPS,,-11.78%,(47.27%),(13.50%),-41.88%
EBITDA,,-30.56%,(93.99%),-1.26%,-54.61%
EBITA,,-25.61%,(79.86%),-1.64%,-52.87%
EBIT,,-10.72%,(55.88%),(0.27%),-48.73%
EBITDAR,,-34.87%,(102.54%),(0.64%),
Effective Tax Rate,,,,,180.65%
Normalized Net Income,,-10.66%,(39.87%),(2.46%),-43.43%
R&D Expense From Footnotes,(39.72%),(4.04%),41.15%,23.67%,7.49%
Foreign Sales,(84.35%),79.49%,4.43%,11.28%,
