Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,6.40%,7.14%,7.14%,3.51%,3.61%
Total Interest And Dividend Income,12.72%,(0.74%),17.81%,2.18%,10.22%
Gain (Loss) on Sale of Investments,78.35%,,,,
Other Revenues,32.05%,3.13%,7.99%,(8.16%),0.27%
Total Revenues,8.63%,2.88%,11.06%,2.07%,10.13%
Policy Benefits,7.93%,8.01%,11.80%,8.12%,11.24%
Policy Acquisition / Underwriting Costs,11.94%,(9.82%),(8.99%),4.73%,18.07%
Other Operating Expenses,12.34%,9.88%,9.66%,(0.12%),3.04%
Total Operating Expenses,8.57%,5.85%,9.39%,6.86%,10.90%
Operating Income,9.16%,(22.38%),30.40%,(44.53%),0.29%
"Interest Expense, Total",(6.09%),(0.68%),(17.69%),-1.73%,0.00%
"EBT, Excl. Unusual Items",9.49%,(25.98%),33.81%,(51.15%),1.95%
"EBT, Incl. Unusual Items",9.49%,(25.98%),33.81%,(51.15%),1.95%
Income Tax Expense,,,101.54%,(47.33%),(6.76%)
Earnings From Continuing Operations,159.75%,(60.70%),21.51%,(52.30%),4.90%
Net Income to Company,159.75%,(60.70%),21.51%,(52.30%),4.90%
Net Income,159.75%,(60.70%),21.51%,(52.30%),4.90%
NI to Common Incl Extra Items,159.75%,(60.70%),21.51%,(52.30%),4.90%
NI to Common Excl. Extra Items,159.75%,(60.70%),21.51%,(52.30%),4.90%
Revenue Per Share,8.37%,4.05%,12.83%,(2.14%),2.84%
Basic EPS,159.21%,(60.25%),23.45%,(54.28%),(2.04%)
Basic EPS - Continuing Ops,159.21%,(60.25%),23.45%,(54.28%),(2.04%)
Basic Weighted Average Shares Outst.,0.24%,(1.13%),(1.57%),4.31%,7.09%
Diluted EPS,156.81%,(60.30%),23.82%,(53.67%),(1.54%)
Diluted EPS - Continuing Ops,156.81%,(60.30%),23.82%,(53.67%),(1.54%)
Diluted Weighted Average Shares Outst.,1.18%,(1.00%),(1.86%),3.06%,6.35%
Normalized Basic EPS,9.24%,(25.15%),35.95%,(53.15%),(4.79%)
Normalized Diluted EPS,8.21%,(25.20%),36.39%,(52.62%),(4.13%)
Dividend Per Share,16.67%,20.88%,18.18%,7.69%,3.70%
Payout Ratio,(55.13%),204.56%,(4.17%),134.02%,
EBITDA,8.25%,(22.82%),37.91%,(42.23%),(1.94%)
EBITA,9.16%,(22.06%),30.05%,(44.13%),(0.87%)
EBIT,9.16%,(22.38%),30.40%,(44.53%),0.29%
Effective Tax Rate,,,50.58%,7.84%,(8.55%)
Normalized Net Income,9.49%,(25.98%),33.81%,(51.15%),1.95%
Foreign Sales,172.54%,3.50%,9.78%,2.19%,
