Income Statement,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,355.8,439.1,456.8,418.9,495.0,562.3
Total Revenues,355.8,439.1,456.8,418.9,495.0,562.3
Cost Of Revenues,71.0,87.3,83.8,77.5,83.9,89.0
Gross Profit,284.8,351.8,372.9,341.4,411.1,473.3
Selling General & Admin Expenses,31.7,33.4,35.5,30.5,30.2,27.7
Depreciation & Amortization,141.1,159.6,163.7,163.1,175.4,180.9
Total Operating Expenses,280.0,205.8,447.5,200.7,212.2,211.0
Operating Income,4.8,145.9,(74.5),140.7,198.9,262.3
Interest Expense,(32.6),(33.5),(34.2),(29.7),(9.8),(7.9)
Interest And Investment Income,3.7,3.1,4.2,2.3,2.0,2.2
Net Interest Expenses,(28.9),(30.4),(30.0),(27.3),(7.8),(5.8)
Other Non Operating Income (Expenses),,(2.9),,,,
"EBT, Excl. Unusual Items",(24.1),112.7,(104.6),113.4,191.2,256.5
"EBT, Incl. Unusual Items",(21.8),118.9,(104.6),106.6,192.6,300.9
Income Tax Expense,60.7,26.4,14.8,17.5,(3.7),31.4
Earnings From Continuing Operations,(82.4),92.4,(119.4),89.1,196.3,269.5
Net Income to Company,(82.4),92.4,(119.4),89.1,196.3,269.5
Minority Interest,5.3,9.1,6.2,4.7,3.1,0.3
Net Income,(77.1),101.5,(113.1),93.8,199.3,269.9
NI to Common Incl Extra Items,(77.1),101.5,(113.1),93.8,199.3,269.9
NI to Common Excl. Extra Items,(77.1),101.5,(113.1),93.8,199.3,269.9
Revenue Per Share,$5.47,$6.74,$7.00,$6.41,$7.55,$8.58
Basic EPS,($1.19),$1.56,($1.73),$1.43,$3.04,$4.12
Basic EPS - Continuing Ops,($1.19),$1.56,($1.73),$1.43,$3.04,$4.12
Basic Weighted Average Shares Outst.,65.1,65.2,65.3,65.4,65.5,65.6
Diluted EPS,($1.19),$1.55,($1.73),$1.43,$3.03,$4.10
Diluted EPS - Continuing Ops,($1.19),$1.55,($1.73),$1.43,$3.03,$4.10
Diluted Weighted Average Shares Outst.,65.1,65.3,65.3,65.5,65.6,65.6
Normalized Basic EPS,($0.15),$1.22,($0.91),$1.16,$1.87,$2.45
Normalized Diluted EPS,($0.15),$1.22,($0.91),$1.15,$1.87,$2.45
Dividend Per Share,$0.92,$0.96,$1.00,$1.06,$1.12,$0.28
Payout Ratio,NM,60.47%,NM,71.92%,35.85%,27.71%
EBITDA,244.5,305.6,328.5,303.8,375.7,444.6
EBITA,4.8,145.9,(74.5),140.7,198.9,262.3
EBIT,4.8,145.9,(74.5),140.7,198.9,262.3
Effective Tax Rate,NM,22.2%,NM,16.4%,NM,10.4%
Normalized Net Income,(9.8),79.5,(59.1),75.6,122.6,160.7
Interest on Long-Term Debt,30.9,33.5,5.7,1.7,7.0,
Foreign Sales,324.3,405.5,419.5,388.2,450.1,
