Income Statement,Jan 2017,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,2134.9,2440.2,2505.7,2647.4,2848.6,2848.6
Total Revenues,2134.9,2440.2,2505.7,2647.4,2848.6,2848.6
Cost Of Revenues,1437.9,1594.5,1518.5,1550.9,1518.5,1518.5
Gross Profit,697.0,845.6,987.1,1096.5,1330.1,1330.1
Selling General & Admin Expenses,597.2,712.8,704.2,716.6,712.8,712.8
Total Operating Expenses,597.2,712.8,704.2,716.6,712.8,712.8
Operating Income,99.7,132.8,282.9,380.0,617.3,617.3
Interest Expense,(47.5),(56.5),(68.6),(88.5),(70.6),(70.6)
Interest And Investment Income,3.0,0.5,0.8,1.3,1.4,1.4
Net Interest Expenses,(44.5),(56.0),(67.8),(87.2),(69.3),(69.3)
Other Non Operating Income (Expenses),(0.3),(0.4),(0.4),(0.5),(0.4),(0.4)
"EBT, Excl. Unusual Items",54.9,76.4,214.7,292.3,546.7,546.7
"EBT, Incl. Unusual Items",8.6,22.5,161.0,269.2,376.4,376.4
Income Tax Expense,3.2,25.1,25.2,48.8,104.6,104.6
Earnings From Continuing Operations,5.4,(2.6),135.7,220.4,271.8,271.8
Net Income to Company,5.4,(2.6),135.7,220.4,271.8,271.8
Net Income,5.4,(2.6),135.7,220.4,271.8,271.8
NI to Common Incl Extra Items,5.4,(2.6),135.7,220.4,271.8,271.8
NI to Common Excl. Extra Items,5.4,(2.6),135.7,220.4,271.8,271.8
Revenue Per Share,$52.46,$90.20,$115.93,$138.74,$144.83,$144.83
Basic EPS,$0.13,($0.10),$6.28,$11.55,$13.82,$13.82
Basic EPS - Continuing Ops,$0.13,($0.10),$6.28,$11.55,$13.82,$13.82
Basic Weighted Average Shares Outst.,40.7,27.1,21.6,19.1,19.7,19.7
Diluted EPS,$0.13,($0.10),$5.12,$9.07,$9.96,$9.96
Diluted EPS - Continuing Ops,$0.13,($0.10),$5.12,$9.07,$9.96,$9.96
Diluted Weighted Average Shares Outst.,40.9,27.1,26.5,24.3,27.3,27.3
Normalized Basic EPS,$0.84,$1.77,$6.21,$9.57,$17.37,$17.37
Normalized Diluted EPS,$0.84,$1.77,$5.06,$7.52,$12.52,$12.52
EBITDA,156.7,216.0,371.7,474.5,713.4,713.4
EBITA,99.7,132.8,282.9,380.0,617.3,617.3
EBIT,99.7,132.8,282.9,380.0,617.3,617.3
EBITDAR,251.4,333.8,473.5,574.8,811.0,811.0
Effective Tax Rate,36.9%,111.5%,15.7%,18.1%,27.8%,27.8%
Normalized Net Income,34.3,47.8,134.2,182.7,341.7,341.7
Interest Capitalized,2.4,3.3,3.1,4.9,5.6,5.6
Interest on Long-Term Debt,47.6,52.5,68.6,79.7,74.4,74.4
