Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,477.1,532.5,760.0,858.6,922.2,1046.3
Total Revenues,477.1,532.5,760.0,858.6,922.2,1046.3
Cost Of Revenues,393.6,440.6,534.9,645.8,735.8,860.3
Gross Profit,83.5,92.0,225.1,212.7,186.4,185.9
Selling General & Admin Expenses,261.2,253.8,323.9,402.4,573.2,686.1
R&D Expenses,10.2,15.1,18.8,23.6,19.5,21.4
Total Operating Expenses,275.6,273.1,346.9,430.8,597.9,712.5
Operating Income,(192.1),(181.1),(121.9),(218.0),(411.5),(526.5)
Interest Expense,(73.3),(92.3),(131.8),(174.2),(230.6),(254.9)
Net Interest Expenses,(73.3),(92.3),(131.8),(174.2),(230.6),(254.9)
Other Non Operating Income (Expenses),0.8,(1.9),2.8,(9.3),1.7,36.0
"EBT, Excl. Unusual Items",(264.6),(275.3),(250.9),(401.5),(640.5),(745.5)
"EBT, Incl. Unusual Items",(264.6),(275.3),(250.9),(399.2),(687.5),(793.1)
Income Tax Expense,56.3,12.4,9.3,(8.2),(60.6),(71.4)
Earnings From Continuing Operations,(320.8),(287.6),(260.2),(391.0),(626.9),(721.7)
Net Income to Company,(320.8),(287.6),(260.2),(391.0),(626.9),(721.7)
Minority Interest,396.0,413.1,286.8,417.4,453.6,552.5
Net Income,75.1,125.5,26.7,26.3,(173.4),(169.2)
NI to Common Incl Extra Items,75.1,125.5,26.7,26.3,(173.4),(169.2)
NI to Common Excl. Extra Items,75.1,125.5,26.7,26.3,(173.4),(169.2)
Revenue Per Share,$4.66,$5.05,$6.90,$7.38,$6.61,$6.52
Basic EPS,$0.73,$1.19,$0.24,$0.23,($1.24),($1.05)
Basic EPS - Continuing Ops,$0.73,$1.19,$0.24,$0.23,($1.24),($1.05)
Basic Weighted Average Shares Outst.,102.4,105.4,110.1,116.4,139.6,160.4
Diluted EPS,$0.72,$1.16,$0.23,$0.21,($1.24),($1.06)
Diluted EPS - Continuing Ops,$0.72,$1.16,$0.23,$0.21,($1.24),($1.06)
Diluted Weighted Average Shares Outst.,105.0,108.2,117.1,123.9,139.6,160.4
Normalized Basic EPS,$2.25,$2.29,$1.18,$1.43,$0.38,$0.54
Normalized Diluted EPS,$2.20,$2.23,$1.11,$1.34,$0.38,$0.54
EBITDA,(93.6),(52.4),34.1,(30.8),(168.6),(243.5)
EBITA,(187.9),(176.9),(117.7),(213.3),(406.4),(521.5)
EBIT,(192.1),(181.1),(121.9),(218.0),(411.5),(526.5)
EBITDAR,(81.0),(39.3),47.9,(13.4),(149.0),
Effective Tax Rate,NM,NM,NM,NM,NM,NM
Normalized Net Income,230.6,241.1,130.1,166.4,53.3,86.6
Interest on Long-Term Debt,,0.6,0.7,1.9,0.9,
R&D Expense From Footnotes,10.2,15.1,18.8,23.6,19.5,21.4
