Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,6758.1,7280.1,8413.9,8925.8,8420.1,8480.4
Total Revenues,6758.1,7280.1,8413.9,8925.8,8420.1,8480.4
Cost Of Revenues,5256.7,5808.1,6785.3,7332.2,6908.6,6890.6
Gross Profit,1501.4,1472.0,1628.6,1593.6,1511.5,1589.8
Selling General & Admin Expenses,834.2,873.2,857.0,967.9,904.7,921.1
Other Operating Expense/(Income),45.1,73.9,93.3,118.8,120.2,86.8
Total Operating Expenses,879.2,947.1,950.3,1086.7,1024.9,1007.9
Operating Income,622.2,524.9,678.4,506.9,486.6,581.9
Interest Expense,(147.8),(141.9),(180.5),(241.4),(261.3),(253.5)
Net Interest Expenses,(147.8),(141.9),(180.5),(241.4),(261.3),(253.5)
Currency Exchange Gains (Loss),1.2,0.7,,,,8.7
Other Non Operating Income (Expenses),5.6,5.2,8.4,4.0,5.4,9.4
"EBT, Excl. Unusual Items",481.2,388.9,506.3,269.6,230.7,346.5
"EBT, Incl. Unusual Items",407.3,296.4,389.5,(42.3),(130.4),53.5
Income Tax Expense,142.0,(423.7),102.5,(19.0),(18.4),4.8
Earnings From Continuing Operations,265.2,720.1,286.9,(23.3),(112.0),48.7
Earnings Of Discontinued Operations,(2.2),(0.5),(2.3),(1.1),(10.3),(10.5)
Net Income to Company,263.1,719.6,284.6,(24.4),(122.3),38.2
Net Income,263.1,719.6,284.6,(24.4),(122.3),38.2
Preferred Dividend and Other Adjustments,0.8,2.6,1.0,0.5,0.5,0.6
NI to Common Incl Extra Items,262.2,717.1,283.6,(24.9),(122.8),37.5
NI to Common Excl. Extra Items,264.4,717.5,285.9,(23.7),(112.5),48.1
Revenue Per Share,$127.48,$138.37,$160.60,$170.51,$160.81,$161.95
Basic EPS,$4.95,$13.63,$5.41,($0.47),($2.34),$0.72
Basic EPS - Continuing Ops,$4.99,$13.64,$5.46,($0.45),($2.15),$0.92
Basic Weighted Average Shares Outst.,53.0,52.6,52.4,52.3,52.4,52.4
Diluted EPS,$4.91,$13.53,$5.39,($0.47),($2.35),$0.72
Diluted EPS - Continuing Ops,$4.95,$13.54,$5.43,($0.45),($2.15),$0.92
Diluted Weighted Average Shares Outst.,53.4,53.0,52.7,52.3,52.4,52.6
Normalized Basic EPS,$5.67,$4.62,$6.04,$3.22,$2.75,$4.14
Normalized Diluted EPS,$5.64,$4.59,$6.00,$3.22,$2.75,$4.11
Dividend Per Share,$1.70,$1.80,$2.12,$2.20,$2.24,$2.24
Payout Ratio,34.61%,13.31%,39.30%,NM,NM,313.45%
EBITDA,1815.2,1758.6,2035.9,2170.8,2286.0,2340.7
EBITA,628.2,530.9,686.4,514.9,494.6,581.9
EBIT,622.2,524.9,678.4,506.9,486.6,581.9
EBITDAR,1942.2,1829.2,2120.3,2265.9,2372.7,
Effective Tax Rate,34.9%,NM,26.3%,NM,NM,9.0%
Normalized Net Income,300.7,243.1,316.4,168.5,144.2,216.5
Interest on Long-Term Debt,,2.3,180.5,241.4,261.3,
Foreign Sales,894.5,938.6,1005.4,1025.8,904.4,
