Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(4.79%),15.37%,25.53%,38.93%,46.83%
Total Revenues,(4.79%),15.37%,25.53%,38.93%,46.83%
Cost Of Revenues,(7.54%),17.02%,31.50%,43.75%,48.02%
Gross Profit,(2.13%),13.86%,19.90%,33.95%,45.53%
Selling General & Admin Expenses,2.96%,19.27%,16.38%,22.85%,25.14%
Total Operating Expenses,2.96%,19.27%,16.38%,22.85%,25.14%
Operating Income,(14.04%),(1.35%),31.83%,67.21%,113.43%
Interest Expense,,,,,0.00%
Interest And Investment Income,226.79%,135.34%,(49.92%),,
Net Interest Expenses,226.79%,135.34%,(49.92%),,
Other Non Operating Income (Expenses),-88.39%,(981.71%),(34.05%),,
"EBT, Excl. Unusual Items",(13.36%),(1.40%),30.91%,67.82%,115.42%
"EBT, Incl. Unusual Items",(15.30%),0.12%,24.15%,69.17%,120.62%
Income Tax Expense,(65.66%),38.20%,45.32%,52.26%,93.19%
Earnings From Continuing Operations,13.39%,(6.45%),18.75%,74.44%,128.81%
Net Income to Company,13.39%,(6.45%),18.75%,74.44%,128.81%
Net Income,13.39%,(6.45%),18.75%,74.44%,128.81%
Preferred Dividend and Other Adjustments,23.08%,60.48%,10.77%,20.37%,52.93%
NI to Common Incl Extra Items,13.35%,(6.82%),18.83%,74.92%,129.45%
NI to Common Excl. Extra Items,13.35%,(6.82%),18.83%,74.92%,129.45%
Revenue Per Share,(0.85%),19.47%,23.83%,34.93%,43.83%
Basic EPS,18.11%,(3.45%),17.20%,69.86%,124.76%
Basic EPS - Continuing Ops,18.11%,(3.45%),17.20%,69.86%,124.76%
Basic Weighted Average Shares Outst.,(3.97%),(3.43%),1.37%,2.96%,2.09%
Diluted EPS,19.12%,(3.30%),17.14%,69.59%,124.05%
Diluted EPS - Continuing Ops,19.12%,(3.30%),17.14%,69.59%,124.05%
Diluted Weighted Average Shares Outst.,(4.81%),(3.66%),1.48%,3.15%,2.53%
Normalized Basic EPS,(9.83%),2.09%,29.11%,63.01%,111.01%
Normalized Diluted EPS,(9.04%),2.28%,28.97%,62.79%,110.09%
EBITDA,(9.41%),(0.52%),24.57%,53.66%,84.40%
EBITA,(14.04%),(1.35%),31.94%,67.07%,113.29%
EBIT,(14.04%),(1.35%),31.83%,67.21%,113.43%
EBITDAR,,,,54.18%,
Effective Tax Rate,(59.46%),38.01%,17.08%,(10.00%),(12.44%)
Normalized Net Income,(13.36%),(1.40%),30.91%,67.82%,115.42%
Interest on Long-Term Debt,,,,155.36%,
