Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,490.0,607.0,937.2,1425.7,1459.3,1433.5
Total Revenues,490.0,607.0,937.2,1425.7,1459.3,1433.5
Cost Of Revenues,329.2,392.3,618.0,946.3,997.9,972.1
Gross Profit,160.7,214.8,319.2,479.3,461.4,461.4
Selling General & Admin Expenses,51.5,68.7,97.6,137.3,159.1,165.4
R&D Expenses,38.2,55.0,82.2,121.4,163.1,173.4
Total Operating Expenses,89.7,123.7,179.8,258.7,322.2,338.8
Operating Income,71.0,91.1,139.4,220.6,139.1,122.6
Interest Expense,,,(2.5),(4.8),(8.5),
Interest And Investment Income,4.1,4.4,5.6,4.6,4.9,6.9
Net Interest Expenses,4.1,4.4,3.1,(0.2),(3.6),6.9
Currency Exchange Gains (Loss),(4.4),8.5,(4.7),(10.3),33.1,33.1
Other Non Operating Income (Expenses),(0.1),(1.7),0.6,(0.7),(7.2),(7.2)
"EBT, Excl. Unusual Items",70.6,102.3,138.4,209.4,161.4,155.4
"EBT, Incl. Unusual Items",69.7,100.2,137.1,178.6,163.7,150.5
Income Tax Expense,6.3,16.1,9.1,33.6,23.3,22.4
Earnings From Continuing Operations,63.5,84.2,128.0,145.0,140.3,128.2
Net Income to Company,63.5,84.2,128.0,145.0,140.3,128.2
Minority Interest,,,0.8,1.6,,
Net Income,63.5,84.2,128.8,146.5,140.3,128.2
NI to Common Incl Extra Items,63.5,84.2,128.8,146.5,140.3,128.2
NI to Common Excl. Extra Items,63.5,84.2,128.8,146.5,140.3,128.2
Revenue Per Share,$12.01,$14.38,$20.72,$29.75,$29.06,$28.19
Basic EPS,$1.56,$1.99,$2.85,$3.06,$2.79,$2.52
Basic EPS - Continuing Ops,$1.56,$1.99,$2.85,$3.06,$2.79,$2.52
Basic Weighted Average Shares Outst.,40.8,42.2,45.2,47.9,50.2,50.9
Diluted EPS,$1.44,$1.85,$2.69,$2.90,$2.66,$2.40
Diluted EPS - Continuing Ops,$1.44,$1.85,$2.69,$2.90,$2.66,$2.40
Diluted Weighted Average Shares Outst.,44.2,45.4,48.0,50.2,52.8,53.8
Normalized Basic EPS,$1.08,$1.51,$1.93,$2.76,$2.01,$1.91
Normalized Diluted EPS,$1.00,$1.41,$1.82,$2.64,$1.91,$1.81
EBITDA,75.9,98.2,152.0,247.5,171.0,156.4
EBITA,71.1,91.2,140.6,230.3,148.6,132.1
EBIT,71.0,91.1,139.4,220.6,139.1,122.6
EBITDAR,,,,257.2,183.7,
Effective Tax Rate,9.0%,16.0%,6.6%,18.8%,14.3%,14.9%
Normalized Net Income,44.1,63.9,87.3,132.5,100.9,97.1
Interest on Long-Term Debt,,,,1.1,3.5,
R&D Expense From Footnotes,38.2,55.0,82.2,121.4,163.1,173.4
Foreign Sales,,607.0,937.2,1425.7,1459.3,
