Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,23.90%,54.39%,52.11%,2.36%,(9.56%)
Total Revenues,23.90%,54.39%,52.11%,2.36%,(9.56%)
Cost Of Revenues,19.16%,57.54%,53.13%,5.45%,(7.57%)
Gross Profit,33.60%,48.64%,50.15%,(3.75%),(13.47%)
Selling General & Admin Expenses,33.38%,42.00%,40.76%,15.84%,13.37%
R&D Expenses,43.81%,49.63%,47.55%,34.42%,31.52%
Total Operating Expenses,37.82%,45.39%,43.87%,24.56%,21.98%
Operating Income,28.27%,53.06%,58.26%,(36.94%),(52.01%)
Interest Expense,,,(89.47%),(77.21%),
Interest And Investment Income,8.11%,27.99%,(18.46%),6.75%,50.17%
Net Interest Expenses,8.11%,(29.67%),,"(1,581.40%)",
Currency Exchange Gains (Loss),,,(118.88%),,
Other Non Operating Income (Expenses),"(1,866.67%)",,,(934.15%),(934.15%)
"EBT, Excl. Unusual Items",44.88%,35.31%,51.33%,(22.92%),(33.55%)
"EBT, Incl. Unusual Items",43.77%,36.79%,30.25%,(8.36%),(27.59%)
Income Tax Expense,156.33%,(43.52%),270.67%,(30.62%),(42.10%)
Earnings From Continuing Operations,32.65%,52.12%,13.21%,(3.20%),(24.27%)
Net Income to Company,32.65%,52.12%,13.21%,(3.20%),(24.27%)
Minority Interest,,,102.29%,,
Net Income,32.65%,53.06%,13.75%,(4.25%),(24.52%)
NI to Common Incl Extra Items,32.65%,53.06%,13.75%,(4.25%),(24.52%)
NI to Common Excl. Extra Items,32.65%,53.06%,13.75%,(4.25%),(24.52%)
Revenue Per Share,19.75%,44.08%,43.59%,(2.32%),(13.80%)
Basic EPS,27.83%,43.12%,7.31%,(8.68%),(28.07%)
Basic EPS - Continuing Ops,27.83%,43.12%,7.31%,(8.68%),(28.07%)
Basic Weighted Average Shares Outst.,3.46%,7.17%,5.93%,4.80%,4.93%
Diluted EPS,28.47%,45.41%,7.86%,(8.28%),(27.63%)
Diluted EPS - Continuing Ops,28.47%,45.41%,7.86%,(8.28%),(27.63%)
Diluted Weighted Average Shares Outst.,2.82%,5.62%,4.62%,5.18%,5.43%
Normalized Basic EPS,40.20%,27.76%,43.23%,(27.22%),(36.91%)
Normalized Diluted EPS,40.70%,28.99%,44.99%,(27.62%),(37.21%)
EBITDA,29.36%,54.76%,62.81%,(30.93%),(44.91%)
EBITA,28.37%,54.13%,63.77%,(35.46%),(50.22%)
EBIT,28.27%,53.06%,58.26%,(36.94%),(52.01%)
EBITDAR,,,,(28.57%),
Effective Tax Rate,78.34%,(58.70%),184.57%,(24.29%),(20.04%)
Normalized Net Income,44.88%,36.54%,51.79%,(23.84%),(33.80%)
Interest on Long-Term Debt,,,,212.46%,
R&D Expense From Footnotes,43.81%,49.63%,47.55%,34.42%,31.52%
Foreign Sales,,54.39%,52.11%,2.36%,
