Income Statement,Jan 2017,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,4046.4,4664.6,5207.3,5634.8,6468.8,6397.7
Total Revenues,4046.4,4664.6,5207.3,5634.8,6468.8,6397.7
Cost Of Revenues,2682.9,3097.6,3459.9,3731.8,4081.7,4018.2
Gross Profit,1363.4,1567.0,1747.5,1903.0,2387.1,2379.4
Selling General & Admin Expenses,1069.0,1245.6,1404.4,1557.9,1871.7,1875.0
Depreciation & Amortization,78.3,94.2,108.0,120.5,124.1,124.3
Other Operating Expense/(Income),0.2,0.4,0.5,2.0,(0.4),2.8
Total Operating Expenses,1147.5,1340.3,1513.0,1680.4,1995.4,2002.1
Operating Income,215.9,226.8,234.5,222.7,391.7,377.3
Interest Expense,(14.8),(21.2),(27.4),(21.2),(14.8),(13.0)
Net Interest Expenses,(14.8),(21.2),(27.4),(21.2),(14.8),(13.0)
Other Non Operating Income (Expenses),0.5,0.6,0.3,,,
"EBT, Excl. Unusual Items",201.6,206.2,207.4,201.5,376.9,364.4
"EBT, Incl. Unusual Items",198.6,205.5,195.8,196.2,376.9,364.4
Income Tax Expense,74.3,47.1,37.3,46.5,89.4,85.7
Earnings From Continuing Operations,124.3,158.4,158.5,149.6,287.5,278.7
Net Income to Company,124.3,158.4,158.5,149.6,287.5,278.7
Net Income,124.3,158.4,158.5,149.6,287.5,278.7
NI to Common Incl Extra Items,124.3,158.4,158.5,149.6,287.5,278.7
NI to Common Excl. Extra Items,124.3,158.4,158.5,149.6,287.5,278.7
Revenue Per Share,$27.47,$34.51,$40.42,$47.21,$54.90,$54.24
Basic EPS,$0.84,$1.17,$1.23,$1.25,$2.44,$2.36
Basic EPS - Continuing Ops,$0.84,$1.17,$1.23,$1.25,$2.44,$2.36
Basic Weighted Average Shares Outst.,147.3,135.2,128.8,119.4,117.8,117.9
Diluted EPS,$0.83,$1.15,$1.22,$1.25,$2.43,$2.35
Diluted EPS - Continuing Ops,$0.83,$1.15,$1.22,$1.25,$2.43,$2.35
Diluted Weighted Average Shares Outst.,149.7,137.9,129.8,119.7,118.2,118.4
Normalized Basic EPS,$0.86,$0.95,$1.01,$1.05,$2.00,$1.93
Normalized Diluted EPS,$0.84,$0.93,$1.00,$1.05,$1.99,$1.92
EBITDA,296.7,323.8,345.3,345.5,518.2,504.1
EBITA,217.4,228.2,235.9,222.9,391.3,377.3
EBIT,215.9,226.8,234.5,222.7,391.7,377.3
EBITDAR,401.5,444.3,482.8,575.2,766.0,
Effective Tax Rate,37.4%,22.9%,19.0%,23.7%,23.7%,23.5%
Normalized Net Income,126.0,128.9,129.6,125.9,235.5,227.7
Interest on Long-Term Debt,14.4,21.2,27.6,21.2,14.8,
