Income Statement,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,15.28%,11.63%,8.21%,14.80%,9.04%
Total Revenues,15.28%,11.63%,8.21%,14.80%,9.04%
Cost Of Revenues,15.45%,11.70%,7.86%,9.37%,4.23%
Gross Profit,14.93%,11.52%,8.90%,25.44%,18.23%
Selling General & Admin Expenses,16.52%,12.75%,10.93%,20.14%,15.79%
Depreciation & Amortization,20.31%,14.70%,11.52%,3.02%,1.87%
Other Operating Expense/(Income),86.84%,11.74%,311.76%,,40.87%
Total Operating Expenses,16.80%,12.89%,11.06%,18.75%,14.84%
Operating Income,5.02%,3.41%,(5.05%),75.90%,40.21%
Interest Expense,(43.15%),(29.55%),-22.76%,-30.22%,-38.38%
Net Interest Expenses,(43.15%),(29.55%),-22.76%,-30.22%,-38.38%
Other Non Operating Income (Expenses),37.67%,(48.80%),,,
"EBT, Excl. Unusual Items",2.29%,0.57%,(2.86%),87.07%,46.87%
"EBT, Incl. Unusual Items",3.49%,(4.73%),0.19%,92.12%,49.10%
Income Tax Expense,(36.63%),(20.85%),24.90%,92.16%,44.40%
Earnings From Continuing Operations,27.46%,0.06%,(5.62%),92.11%,50.60%
Net Income to Company,27.46%,0.06%,(5.62%),92.11%,50.60%
Net Income,27.46%,0.06%,(5.62%),92.11%,50.60%
NI to Common Incl Extra Items,27.46%,0.06%,(5.62%),92.11%,50.60%
NI to Common Excl. Extra Items,27.46%,0.06%,(5.62%),92.11%,50.60%
Revenue Per Share,25.63%,17.13%,16.79%,16.30%,9.03%
Basic EPS,39.54%,5.18%,1.91%,95.18%,50.60%
Basic EPS - Continuing Ops,39.54%,5.18%,1.91%,95.18%,50.60%
Basic Weighted Average Shares Outst.,(8.24%),(4.69%),(7.34%),(1.30%),0.01%
Diluted EPS,38.55%,6.09%,2.46%,94.40%,50.61%
Diluted EPS - Continuing Ops,38.55%,6.09%,2.46%,94.40%,50.61%
Diluted Weighted Average Shares Outst.,(7.86%),(5.88%),(7.73%),(1.27%),0.20%
Normalized Basic EPS,10.87%,5.91%,4.44%,90.40%,46.86%
Normalized Diluted EPS,11.28%,7.40%,5.16%,89.75%,46.57%
EBITDA,9.14%,6.64%,0.06%,49.99%,28.12%
EBITA,4.94%,3.39%,(5.53%),75.57%,40.11%
EBIT,5.02%,3.41%,(5.05%),75.90%,40.21%
EBITDAR,10.66%,8.67%,19.15%,33.17%,
Effective Tax Rate,(38.77%),(16.94%),24.67%,0.04%,(3.15%)
Normalized Net Income,2.29%,0.57%,(2.86%),87.07%,46.87%
Interest on Long-Term Debt,47.53%,30.21%,(23.14%),(30.22%),
