Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,6.96%,9.05%,1.10%,(19.88%),0.00%
Total Revenues,6.96%,9.05%,1.10%,(19.88%),0.00%
Cost Of Revenues,5.22%,7.82%,2.31%,(9.66%),0.00%
Gross Profit,8.04%,9.79%,0.38%,(26.09%),0.00%
Selling General & Admin Expenses,4.88%,13.70%,1.43%,(0.85%),0.00%
R&D Expenses,(10.16%),9.78%,(6.93%),(11.70%),0.00%
Depreciation & Amortization,(7.54%),(1.76%),(4.92%),(13.17%),0.00%
Total Operating Expenses,(3.14%),6.08%,(2.36%),(7.31%),0.00%
Operating Income,76.64%,22.27%,8.36%,(75.47%),0.00%
Interest Expense,-7.77%,-2.13%,-1.34%,-14.60%,0.00%
Net Interest Expenses,-7.77%,-2.13%,-1.34%,-14.60%,0.00%
Other Non Operating Income (Expenses),(88.76%),"1,600.00%",(88.24%),,0.00%
"EBT, Excl. Unusual Items",-63.42%,-88.03%,,,0.00%
"EBT, Incl. Unusual Items",-52.58%,(49.34%),-68.14%,(403.70%),0.00%
Income Tax Expense,,(13.33%),(23.08%),(60.00%),0.00%
Earnings From Continuing Operations,-31.58%,(45.45%),-66.48%,(364.41%),0.00%
Net Income to Company,-31.58%,(45.45%),-66.48%,(364.41%),0.00%
Minority Interest,,,,(75.00%),0.00%
Net Income,-31.58%,(45.45%),-63.07%,(337.69%),0.00%
NI to Common Incl Extra Items,-31.58%,(45.45%),-63.07%,(337.69%),0.00%
NI to Common Excl. Extra Items,-31.58%,(45.45%),-63.07%,(337.69%),0.00%
Revenue Per Share,4.91%,6.66%,(1.08%),(21.57%),0.00%
Basic EPS,-32.86%,(42.21%),-63.88%,(327.82%),0.00%
Basic EPS - Continuing Ops,-32.86%,(42.21%),-63.88%,(327.82%),0.00%
Basic Weighted Average Shares Outst.,1.95%,2.25%,2.20%,2.15%,0.00%
Diluted EPS,-32.84%,(42.28%),-63.82%,(330.00%),0.00%
Diluted EPS - Continuing Ops,-32.84%,(42.28%),-63.82%,(330.00%),0.00%
Diluted Weighted Average Shares Outst.,1.95%,2.25%,2.20%,2.15%,0.00%
Normalized Basic EPS,-64.13%,-88.32%,,,0.00%
Normalized Diluted EPS,-64.13%,-88.32%,,,0.00%
EBITDA,17.70%,6.08%,5.73%,(46.88%),0.00%
EBITA,39.72%,19.29%,6.47%,(55.23%),0.00%
EBIT,76.64%,22.27%,8.36%,(75.47%),0.00%
EBITDAR,16.95%,6.59%,5.34%,(45.69%),
Effective Tax Rate,,,,,0.00%
Normalized Net Income,-63.42%,-88.03%,,,0.00%
Interest on Long-Term Debt,(2.14%),(5.86%),(0.16%),(17.24%),
R&D Expense From Footnotes,(10.16%),9.78%,(6.93%),(11.70%),0.00%
Foreign Sales,4.50%,21.43%,2.73%,(24.90%),
