Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,2149.6,2291.0,2436.2,2597.2,2681.8,2755.1
Total Interest And Dividend Income,130.8,161.9,195.3,222.5,227.1,240.9
Gain (Loss) on Sale of Investments,(4.9),6.4,(54.9),14.4,(4.2),45.6
Other Revenues,8.9,10.7,9.4,12.4,17.6,19.9
Total Revenues,2284.3,2470.0,2586.1,2846.5,2922.3,3061.4
Policy Benefits,1234.7,1345.1,1498.1,1551.9,1635.5,1648.6
Policy Acquisition / Underwriting Costs,450.3,469.2,495.0,536.0,560.3,572.8
Selling General & Admin Expenses,35.0,36.3,25.4,41.9,37.7,38.2
Other Operating Expenses,321.4,333.1,331.3,347.0,354.7,348.2
Total Operating Expenses,2041.5,2183.7,2349.9,2476.8,2588.1,2607.8
Operating Income,242.8,286.3,236.1,369.7,334.1,453.5
"Interest Expense, Total",(22.8),(24.4),(24.4),(33.7),(30.8),(30.6)
"EBT, Excl. Unusual Items",220.0,262.0,211.7,336.0,303.3,422.9
Legal Settlements,(0.1),,,0.4,(0.3),(0.3)
"EBT, Incl. Unusual Items",220.0,262.0,211.7,336.4,303.0,422.6
Income Tax Expense,61.5,93.1,32.8,64.8,56.6,82.2
Earnings From Continuing Operations,158.5,168.8,178.9,271.6,246.4,340.4
Net Income to Company,158.5,168.8,178.9,271.6,246.4,340.4
Net Income,158.5,168.8,178.9,271.6,246.4,340.4
NI to Common Incl Extra Items,158.5,168.8,178.9,271.6,246.4,337.9
NI to Common Excl. Extra Items,158.5,168.8,178.9,271.6,246.4,337.9
Revenue Per Share,$39.46,$42.25,$43.87,$47.90,$48.82,$51.06
Basic EPS,$2.74,$2.89,$3.04,$4.57,$4.12,$5.64
Basic EPS - Continuing Ops,$2.74,$2.89,$3.04,$4.57,$4.12,$5.64
Basic Weighted Average Shares Outst.,57.9,58.5,59.0,59.4,59.9,60.0
Diluted EPS,$2.70,$2.84,$3.00,$4.53,$4.09,$5.61
Diluted EPS - Continuing Ops,$2.70,$2.84,$3.00,$4.53,$4.09,$5.61
Diluted Weighted Average Shares Outst.,58.7,59.4,59.7,60.0,60.3,60.4
Normalized Basic EPS,$2.38,$2.80,$2.24,$3.53,$3.17,$4.41
Normalized Diluted EPS,$2.34,$2.76,$2.22,$3.50,$3.14,$4.38
Dividend Per Share,$0.61,$0.66,$0.74,$0.83,$0.94,$0.96
Payout Ratio,21.30%,21.94%,23.53%,17.55%,22.12%,17.10%
EBITDA,304.5,338.4,281.0,424.9,393.5,511.2
EBITA,242.8,286.3,236.1,369.7,334.1,453.5
EBIT,242.8,286.3,236.1,369.7,334.1,453.5
EBITDAR,316.8,,,435.9,405.8,
Effective Tax Rate,27.9%,35.6%,15.5%,19.3%,18.7%,19.5%
Normalized Net Income,137.5,163.7,132.3,210.0,189.6,264.3
Interest on Long-Term Debt,,,,0.0,0.0,
