Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,6.58%,6.34%,6.61%,3.26%,5.30%
Total Interest And Dividend Income,23.81%,20.67%,13.93%,2.05%,5.69%
Other Revenues,20.66%,(11.93%),30.91%,42.21%,67.43%
Total Revenues,8.13%,4.70%,10.07%,2.66%,8.85%
Policy Benefits,8.94%,11.38%,3.59%,5.39%,5.30%
Policy Acquisition / Underwriting Costs,4.20%,5.50%,8.27%,4.53%,5.53%
Selling General & Admin Expenses,3.51%,(29.81%),64.74%,(10.12%),9.40%
Other Operating Expenses,3.64%,(0.53%),4.75%,2.20%,(3.53%)
Total Operating Expenses,6.97%,7.61%,5.40%,4.49%,4.13%
Operating Income,17.92%,(17.53%),56.55%,(9.61%),47.22%
"Interest Expense, Total",(6.95%),(0.27%),(37.88%),-8.40%,(2.87%)
"EBT, Excl. Unusual Items",19.06%,(19.18%),58.71%,(9.73%),51.96%
"EBT, Incl. Unusual Items",19.10%,(19.18%),58.88%,(9.93%),51.64%
Income Tax Expense,51.55%,(64.80%),97.57%,(12.56%),54.63%
Earnings From Continuing Operations,6.52%,5.99%,51.80%,(9.30%),50.94%
Net Income to Company,6.52%,5.99%,51.80%,(9.30%),50.94%
Net Income,6.52%,5.99%,51.80%,(9.30%),50.94%
NI to Common Incl Extra Items,6.52%,5.99%,51.80%,(9.30%),49.85%
NI to Common Excl. Extra Items,6.52%,5.99%,51.80%,(9.30%),49.85%
Revenue Per Share,7.08%,3.83%,9.19%,1.91%,8.09%
Basic EPS,5.40%,5.03%,50.37%,(9.95%),48.80%
Basic EPS - Continuing Ops,5.40%,5.03%,50.37%,(9.95%),48.80%
Basic Weighted Average Shares Outst.,0.98%,0.84%,0.80%,0.74%,0.71%
Diluted EPS,5.19%,5.63%,51.00%,(9.71%),49.27%
Diluted EPS - Continuing Ops,5.19%,5.63%,51.00%,(9.71%),49.27%
Diluted Weighted Average Shares Outst.,1.04%,0.60%,0.49%,0.48%,0.45%
Normalized Basic EPS,17.68%,(19.83%),57.78%,(10.29%),50.90%
Normalized Diluted EPS,17.88%,(19.71%),57.65%,(10.17%),51.28%
Dividend Per Share,8.20%,12.12%,12.16%,13.25%,11.63%
Payout Ratio,3.02%,7.23%,(25.41%),26.02%,(22.15%)
EBITDA,11.15%,(16.96%),51.20%,(7.39%),41.05%
EBITA,17.92%,(17.53%),56.55%,(9.61%),47.22%
EBIT,17.92%,(17.53%),56.55%,(9.61%),47.22%
EBITDAR,,,,(6.92%),
Effective Tax Rate,27.25%,(56.45%),24.38%,(2.90%),1.97%
Normalized Net Income,19.06%,(19.18%),58.71%,(9.73%),51.96%
Interest on Long-Term Debt,,,,(6.25%),
