Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,3.01%,7.70%,1.63%,(76.03%),(77.01%)
Total Revenues,3.01%,7.70%,1.63%,(76.03%),(77.01%)
Cost Of Revenues,3.76%,11.94%,5.11%,(42.76%),(43.78%)
Gross Profit,2.38%,4.12%,(1.53%),,
Selling General & Admin Expenses,(46.49%),(18.46%),58.26%,(26.90%),(25.83%)
Depreciation & Amortization,4.71%,3.70%,2.28%,2.88%,0.43%
Total Operating Expenses,(32.81%),(9.25%),31.53%,(16.33%),(16.53%)
Operating Income,45.90%,11.73%,(16.82%),,
Interest Expense,(21.11%),(8.29%),(6.17%),(35.49%),(46.52%)
Interest And Investment Income,49.70%,4.63%,77.12%,(50.89%),(72.44%)
Net Interest Expenses,(20.93%),(8.32%),(5.65%),(36.56%),(48.06%)
Other Non Operating Income (Expenses),-83.91%,"(1,194.46%)",-27.54%,-93.27%,
"EBT, Excl. Unusual Items",55.41%,11.78%,(22.56%),,
"EBT, Incl. Unusual Items",41.06%,25.17%,(24.30%),,
Income Tax Expense,(79.06%),498.12%,(4.08%),,
Earnings From Continuing Operations,99.73%,0.95%,(30.44%),,
Net Income to Company,99.73%,0.95%,(30.44%),,
Minority Interest,(2.04%),(2.03%),(1.86%),(1.31%),(1.31%)
Net Income,131.46%,0.80%,(35.12%),,
NI to Common Incl Extra Items,131.46%,0.80%,(35.12%),,
NI to Common Excl. Extra Items,131.46%,0.80%,(35.12%),,
Revenue Per Share,9.57%,11.14%,1.36%,(76.16%),(77.13%)
Basic EPS,146.44%,4.18%,(35.28%),,
Basic EPS - Continuing Ops,146.44%,4.18%,(35.28%),,
Basic Weighted Average Shares Outst.,(6.01%),(3.11%),0.29%,0.54%,0.54%
Diluted EPS,147.20%,4.53%,(34.67%),,
Diluted EPS - Continuing Ops,147.20%,4.53%,(34.67%),,
Diluted Weighted Average Shares Outst.,(6.25%),(3.45%),(0.56%),(0.20%),(0.19%)
Normalized Basic EPS,84.44%,17.60%,(27.27%),,
Normalized Diluted EPS,85.55%,17.89%,(26.67%),,
Dividend Per Share,10.08%,20.61%,4.11%,(92.40%),(100.00%)
Payout Ratio,(55.46%),16.66%,61.00%,,
EBITDA,35.57%,10.17%,(13.39%),,
EBITA,45.49%,11.67%,(16.75%),,
EBIT,45.90%,11.73%,(16.82%),,
EBITDAR,35.41%,11.98%,(11.53%),,
Effective Tax Rate,(85.16%),377.90%,26.73%,(8.61%),(12.39%)
Normalized Net Income,73.97%,13.77%,(27.03%),,
Interest on Long-Term Debt,21.11%,8.29%,6.17%,35.49%,
Foreign Sales,4.29%,7.45%,(8.37%),(81.35%),
