Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,16.87%,11.52%,12.44%,(12.00%),(7.83%)
Total Revenues,16.87%,11.52%,12.44%,(12.00%),(7.83%)
Cost Of Revenues,15.38%,8.68%,12.84%,(11.77%),(10.07%)
Gross Profit,18.63%,14.76%,12.01%,(12.25%),(5.36%)
Selling General & Admin Expenses,23.06%,14.86%,10.45%,2.90%,0.02%
Total Operating Expenses,23.06%,14.86%,10.45%,2.90%,0.02%
Operating Income,3.34%,14.33%,18.43%,(70.53%),(33.30%)
Interest Expense,(6.49%),-12.43%,(28.42%),(117.43%),(124.04%)
Interest And Investment Income,104.05%,318.51%,16.33%,(49.82%),(59.80%)
Net Interest Expenses,-16.27%,,(0.19%),,
Other Non Operating Income (Expenses),"3,658.00%",,-33.96%,,
"EBT, Excl. Unusual Items",6.57%,12.39%,19.48%,(69.00%),(34.46%)
"EBT, Incl. Unusual Items",6.89%,12.39%,19.48%,(70.01%),(37.88%)
Income Tax Expense,101.22%,(59.36%),46.43%,(90.42%),(53.37%)
Earnings From Continuing Operations,(17.61%),57.92%,15.08%,(65.77%),(34.92%)
Net Income to Company,(17.61%),57.92%,15.08%,(65.77%),(34.92%)
Minority Interest,(33.55%),(25.61%),(14.89%),-40.93%,(41.69%)
Net Income,(26.41%),68.00%,15.12%,(71.56%),(48.40%)
NI to Common Incl Extra Items,(26.41%),68.00%,15.12%,(71.56%),(48.40%)
NI to Common Excl. Extra Items,(26.41%),68.00%,15.12%,(71.56%),(48.40%)
Revenue Per Share,15.78%,11.41%,14.23%,(12.46%),(8.48%)
Basic EPS,(27.14%),68.00%,17.06%,(71.71%),(48.77%)
Basic EPS - Continuing Ops,(27.14%),68.00%,17.06%,(71.71%),(48.77%)
Basic Weighted Average Shares Outst.,0.96%,0.11%,(1.56%),0.52%,0.71%
Diluted EPS,(27.39%),68.42%,17.19%,(71.59%),(48.76%)
Diluted EPS - Continuing Ops,(27.39%),68.42%,17.19%,(71.59%),(48.76%)
Diluted Weighted Average Shares Outst.,0.93%,(0.05%),(1.47%),0.48%,0.61%
Normalized Basic EPS,(0.53%),8.61%,23.16%,(78.53%),(54.75%)
Normalized Diluted EPS,(0.24%),8.17%,22.55%,(78.49%),(54.71%)
EBITDA,6.60%,14.20%,15.07%,(53.08%),(22.48%)
EBITA,3.34%,14.33%,18.43%,(69.20%),(33.30%)
EBIT,3.34%,14.33%,18.43%,(70.53%),(33.30%)
EBITDAR,13.27%,14.50%,10.47%,(36.45%),
Effective Tax Rate,88.25%,(63.85%),22.59%,(68.05%),(24.93%)
Normalized Net Income,0.41%,8.38%,21.09%,(78.37%),(54.43%)
R&D Expense From Footnotes,38.24%,(1.60%),(9.19%),6.55%,6.55%
Foreign Sales,28.32%,19.22%,20.23%,(11.20%),
