Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,(3.76%),(23.18%),0.51%,(18.21%),(20.11%)
Other Revenue,35.96%,(16.66%),(53.64%),299.31%,226.61%
Total Revenues,(13.95%),(19.48%),(2.45%),(14.69%),(19.35%)
Property Expenses,(3.97%),(21.41%),2.22%,(15.28%),(17.33%)
Selling General & Admin Exp.,0.74%,(7.83%),8.90%,(8.97%),0.71%
Depreciation & Amortization,(50.88%),(30.70%),(2.56%),(5.10%),(7.02%)
Total Operating Expenses,(24.38%),(23.63%),1.35%,(11.18%),(7.42%)
Operating Income,27.20%,(9.75%),(9.97%),(22.52%),(42.91%)
Total Interest Expense,-21.07%,-18.93%,-7.50%,-36.67%,-38.94%
Interest and Investment Income,(43.35%),23.55%,110.73%,(47.16%),(46.10%)
Net Interest Expenses,-20.89%,-19.18%,-8.55%,-36.45%,-38.78%
Other Non Operating Income,,,-33.67%,-31.00%,-37.75%
"EBT, Excl. Unusual Items","2,476.07%",2.57%,(11.48%),(5.89%),(46.72%)
Gain (Loss) on Sale of Assets,,(145.35%),-90.79%,,45.90%
Asset Writedown,,,,,0.00%
Other Unusual Items,,,,,(113.82%)
"EBT, Incl. Unusual Items",(63.76%),167.99%,7.62%,42.29%,(22.43%)
Earnings From Continuing Operations,(63.76%),167.99%,7.62%,42.29%,(22.43%)
Net Income to Company,(63.76%),167.99%,7.62%,42.29%,(22.43%)
Minority Interest,,,-16.94%,(244.67%),(100.00%)
Net Income,(56.81%),129.35%,8.78%,35.00%,(27.13%)
Pref. Dividends and Other Adj.,0.01%,2.07%,0.68%,(7.60%),(11.86%)
NI to Common Incl Extra Items,(63.32%),169.07%,9.73%,39.62%,(28.45%)
NI to Common Excl. Extra Items,(63.32%),169.07%,9.73%,39.62%,(28.45%)
Revenue Per Share,(12.51%),(8.29%),3.32%,(3.91%),(8.50%)
Basic EPS,(62.76%),205.59%,16.21%,57.07%,(18.82%)
Basic EPS - Continuing Ops,(62.76%),205.59%,16.21%,57.07%,(18.82%)
Basic Weighted Average Shares Outst.,(1.61%),(12.20%),(5.56%),(11.23%),(11.86%)
Diluted EPS,(62.61%),205.04%,16.03%,57.10%,(18.75%)
Diluted EPS - Continuing Ops,(62.61%),205.04%,16.03%,57.10%,(18.75%)
Diluted Weighted Average Shares Outst.,(1.41%),(11.35%),(5.43%),(10.90%),(12.82%)
Normalized Basic EPS,,(4.49%),(5.63%),(23.95%),(59.11%)
Normalized Diluted EPS,,(5.61%),(5.88%),(24.18%),(58.66%)
Dividend Per Share,6.57%,4.75%,4.59%,(13.99%),23.17%
Payout Ratio,145.89%,(59.05%),(10.07%),(28.92%),
FFO,(23.29%),(9.23%),(0.00%),(7.10%),(17.64%)
AFFO,(23.29%),(9.23%),(0.00%),(7.10%),
Funds Available for Distribution,(23.29%),(9.23%),(0.00%),(7.10%),
EBITDA,(14.53%),(17.67%),(7.36%),(15.49%),(28.47%)
EBITA,170.84%,(5.40%),(11.06%),(23.18%),(42.91%)
EBIT,27.20%,(9.75%),(9.97%),(22.52%),(42.91%)
EBITDAR,(14.06%),(17.03%),(7.00%),(15.35%),
Normalized Net Income,,(16.27%),(10.86%),(32.38%),(63.96%)
Interest Capitalized,8.11%,31.29%,62.30%,35.57%,
Interest on Long-Term Debt,(19.18%),(14.59%),1.77%,(21.37%),
