Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Total Interest and Dividend Income,33.42%,34.65%,20.44%,(13.27%),(19.52%)
Total Interest Expense,69.29%,65.13%,32.07%,(28.67%),(28.84%)
Net Interest Income,25.90%,26.05%,16.15%,(6.80%),(15.87%)
Gain (Loss) On Sale Of Loans & Receiv.,,,,,66.78%
Other Revenue,(90.99%),,,41.07%,128.87%
Revenue Before Loan Losses,18.54%,20.85%,22.85%,7.67%,(4.79%)
Provision For Loan Losses,16.54%,31.81%,44.67%,(73.71%),
Total Revenues,18.94%,18.69%,18.07%,29.54%,28.37%
Salaries and Other Empl. Benefits,15.94%,18.30%,10.26%,1.53%,(4.88%)
Cost of Services Provided,50.71%,13.25%,0.20%,(33.17%),(46.51%)
Other Operating Expenses,12.95%,31.44%,(3.19%),(11.22%),(13.81%)
Total Operating Expenses,16.25%,24.02%,3.10%,(6.30%),(11.37%)
Operating Income,21.52%,13.81%,32.97%,57.21%,51.19%
"EBT, Excl. Unusual Items",21.52%,13.81%,32.97%,57.21%,51.19%
"EBT, Incl. Unusual Items",18.59%,13.81%,32.97%,55.16%,49.58%
Income Tax Expense,23.41%,(64.52%),130.28%,65.18%,54.07%
Earnings From Continuing Operations,15.42%,68.72%,18.63%,52.30%,48.25%
Net Income to Company,15.42%,68.72%,18.63%,52.30%,48.25%
Net Income,15.42%,68.72%,18.63%,52.30%,48.25%
Pref. Dividends and Other Adj.,(25.89%),(0.47%),7.65%,(42.19%),(52.81%)
NI to Common Incl Extra Items,19.25%,72.69%,18.99%,55.13%,50.34%
NI to Common Excl. Extra Items,19.25%,72.69%,18.99%,55.13%,50.34%
Revenue Per Share,17.90%,17.70%,20.02%,44.47%,45.50%
Basic EPS,17.33%,72.15%,21.66%,73.27%,70.40%
Basic EPS - Continuing Ops,17.33%,72.15%,21.66%,73.27%,70.40%
Basic Weighted Average Shares Outst.,0.78%,0.89%,(1.78%),(10.20%),(11.77%)
Diluted EPS,16.98%,72.58%,21.50%,73.08%,70.15%
Diluted EPS - Continuing Ops,16.98%,72.58%,21.50%,73.08%,70.15%
Diluted Weighted Average Shares Outst.,1.30%,0.26%,(2.05%),(10.10%),(11.49%)
Normalized Basic EPS,20.73%,13.17%,35.98%,74.72%,71.36%
Normalized Diluted EPS,20.76%,13.58%,34.92%,74.75%,70.80%
Dividend Per Share,,,,0.00%,0.00%
Payout Ratio,(35.79%),(41.02%),266.06%,(45.80%),(47.14%)
Effective Tax Rate,4.06%,(68.83%),73.13%,6.45%,3.00%
Normalized Net Income,21.52%,13.81%,32.97%,57.21%,51.19%
Interest on Long-Term Debt,158.63%,62.85%,20.98%,(12.85%),
