Income Statement,Jan 2018,Jan 2019,Jan 2020,Jan 2021,TTM
Revenues,8.01%,6.69%,(12.70%),8.69%,8.69%
Total Revenues,8.01%,6.69%,(12.70%),8.69%,8.69%
Cost Of Revenues,7.50%,6.06%,(15.73%),9.84%,9.84%
Gross Profit,8.34%,7.12%,(10.70%),7.98%,7.98%
Selling General & Admin Expenses,2.80%,8.77%,6.15%,0.63%,0.63%
R&D Expenses,2.51%,3.79%,(1.54%),9.57%,9.57%
Total Operating Expenses,3.39%,5.51%,(0.83%),1.05%,1.05%
Operating Income,29.94%,12.67%,(42.74%),46.93%,46.93%
Interest Expense,-14.38%,(15.56%),-1.04%,-41.40%,-41.40%
Net Interest Expenses,-14.38%,(15.56%),-1.04%,-41.40%,-41.40%
Other Non Operating Income (Expenses),,14.19%,(11.25%),(96.35%),(96.35%)
"EBT, Excl. Unusual Items",48.99%,12.65%,(45.69%),54.34%,54.34%
"EBT, Incl. Unusual Items",(21.29%),21.72%,(36.15%),41.64%,41.64%
Income Tax Expense,24.21%,(98.45%),"3,513.52%",(73.21%),(73.21%)
Earnings From Continuing Operations,(36.61%),100.98%,(54.24%),87.87%,87.87%
Net Income to Company,(36.61%),100.98%,(54.24%),87.87%,87.87%
Minority Interest,,,,620.00%,620.00%
Net Income,(36.61%),100.98%,(54.23%),87.95%,87.95%
NI to Common Incl Extra Items,(36.61%),100.98%,(54.23%),87.95%,87.95%
NI to Common Excl. Extra Items,(36.61%),100.98%,(54.23%),87.95%,87.95%
Revenue Per Share,7.01%,6.80%,(13.12%),10.49%,10.45%
Basic EPS,(37.53%),102.97%,(54.62%),91.38%,91.00%
Basic EPS - Continuing Ops,(37.53%),102.97%,(54.62%),91.38%,91.00%
Basic Weighted Average Shares Outst.,0.92%,(0.07%),0.43%,(1.59%),(1.59%)
Diluted EPS,(38.55%),100.00%,(53.92%),93.62%,93.62%
Diluted EPS - Continuing Ops,(38.55%),100.00%,(53.92%),93.62%,93.62%
Diluted Weighted Average Shares Outst.,2.26%,1.30%,(1.55%),(2.02%),(2.02%)
Normalized Basic EPS,48.88%,12.68%,(45.99%),55.72%,56.94%
Normalized Diluted EPS,45.40%,11.76%,(44.82%),57.37%,57.62%
EBITDA,18.66%,8.32%,(34.41%),17.37%,17.37%
EBITA,24.11%,8.22%,(41.63%),23.12%,23.12%
EBIT,29.94%,12.67%,(42.74%),46.93%,46.93%
EBITDAR,16.88%,,,17.23%,
Effective Tax Rate,57.84%,(98.72%),"5,527.80%",(81.08%),(81.08%)
Normalized Net Income,48.99%,12.65%,(45.68%),54.44%,54.44%
Interest on Long-Term Debt,,15.56%,(1.04%),(41.40%),
R&D Expense From Footnotes,(5.57%),1.73%,(6.41%),2.94%,2.94%
Foreign Sales,20.99%,5.18%,(14.05%),7.50%,
