Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,946.9,1066.2,1228.6,1820.5,1615.5,1541.5
Total Interest Income,1022.8,1162.5,1344.3,2050.6,1804.5,1730.4
Interest On Deposits,64.2,81.3,143.9,356.9,217.8,143.1
Total Interest On Borrowings,59.4,57.9,52.0,97.9,74.0,74.0
Total Interest Expense,123.6,139.2,195.9,454.8,291.7,217.1
Net Interest Income,899.2,1023.3,1148.4,1595.8,1512.7,1513.3
Service Charges On Deposits,83.2,81.4,80.8,88.2,73.1,72.5
Trust Income,46.6,50.5,54.7,58.4,63.3,66.0
Total Mortgage Banking Activities,24.3,22.8,19.0,32.6,91.4,101.5
Gain (Loss) on Sale of Assets,,,,,2.4,2.4
Gain (Loss) on Sale of Invest. & Securities,5.0,(3.4),(6.0),3.9,86.7,80.2
Total Other Non Interest Income,114.1,194.0,131.6,172.8,189.6,191.0
Total Non Interest Income,273.2,345.3,280.1,355.9,506.5,513.6
Revenue Before Loan Losses,1172.4,1368.6,1428.5,1951.7,2019.3,2027.0
Provision For Loan Losses,28.0,67.2,51.7,87.7,355.0,177.7
Total Revenues,1144.4,1301.5,1376.8,1864.0,1664.2,1849.2
Salaries And Other Employee Benefits,402.0,419.1,436.8,549.3,599.3,611.1
Occupancy Expense,87.9,120.0,130.5,161.9,169.7,168.6
Total Selling General & Admin Expenses,114.7,118.1,122.9,153.1,173.2,169.0
Total Other Non Interest Expense,94.6,99.9,89.9,125.8,123.2,112.2
Total Non Interest Expense,738.8,784.9,805.5,1022.5,1091.4,1086.9
"EBT, Excl. Unusual Items",405.6,516.6,571.3,841.5,572.8,762.3
Restructuring Charges,(8.3),(7.0),0.1,(1.2),(27.0),(24.3)
Impairment of Goodwill,,,,,(44.9),(44.9)
Legal Settlements,(2.5),(0.7),(2.3),(3.6),(0.9),(0.9)
Other Unusual Items,(4.7),(28.6),(11.7),(15.0),(15.4),(13.5)
"EBT, Incl. Unusual Items",388.5,480.1,547.4,765.0,484.7,678.8
Income Tax Expense,141.7,204.7,118.9,201.2,111.0,156.5
Earnings From Continuing Operations,246.8,275.5,428.5,563.8,373.7,522.3
Net Income to Company,246.8,275.5,428.5,563.8,373.7,522.3
Net Income,246.8,275.5,428.5,563.8,373.7,522.3
Preferred Dividend and Other Adjustments,10.2,10.2,18.0,22.9,33.2,33.2
Net Income to Common Incl Extra Items,236.5,265.2,410.5,540.9,340.5,489.1
Net Income to Common Excl. Extra Items,236.5,265.2,410.5,540.9,340.5,489.1
Revenue Per Share,$9.20,$10.74,$11.70,$12.08,$11.29,$12.52
Basic EPS,$1.90,$2.19,$3.49,$3.50,$2.31,$3.31
Basic EPS - Continuing Ops,$1.90,$2.19,$3.49,$3.50,$2.31,$3.31
Basic Weighted Average Shares Outst.,124.4,121.2,117.6,154.3,147.4,147.7
Diluted EPS,$1.89,$2.17,$3.47,$3.47,$2.30,$3.29
Diluted EPS - Continuing Ops,$1.89,$2.17,$3.47,$3.47,$2.30,$3.29
Diluted Weighted Average Shares Outst.,125.1,122.0,118.4,156.1,148.2,148.6
Normalized Basic EPS,$2.04,$2.66,$3.04,$3.41,$2.43,$3.23
Normalized Diluted EPS,$2.03,$2.65,$3.02,$3.37,$2.42,$3.21
Dividend Per Share,$0.48,$0.60,$1.00,$1.20,$1.32,$1.32
Payout Ratio,28.23%,23.56%,28.05%,32.93%,59.71%,
Effective Tax Rate,36.5%,42.6%,21.7%,26.3%,22.9%,23.1%
Normalized Net Income,253.5,322.9,357.1,525.9,358.0,476.5
Interest on Long-Term Debt,58.9,56.9,48.5,71.7,66.1,
