Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5.31%,7.03%,(0.31%),(2.54%),(0.72%)
Total Revenues,5.31%,7.03%,(0.31%),(2.54%),(0.72%)
Cost Of Revenues,6.29%,6.67%,(0.77%),(2.90%),(0.98%)
Gross Profit,1.31%,8.59%,1.62%,(1.09%),0.32%
Selling General & Admin Expenses,6.22%,1.63%,(0.73%),1.69%,9.31%
R&D Expenses,(6.67%),10.48%,0.43%,(5.58%),(5.58%)
Total Operating Expenses,5.65%,1.98%,(0.69%),1.38%,8.65%
Operating Income,(3.78%),17.09%,4.19%,(3.71%),(7.93%)
Interest Expense,(5.63%),(10.36%),(5.86%),(12.27%),(14.37%)
Interest And Investment Income,71.26%,11.51%,5.05%,(43.23%),(35.77%)
Net Interest Expenses,(2.30%),(10.26%),(5.93%),(16.99%),(18.46%)
Currency Exchange Gains (Loss),,,,-49.15%,
"EBT, Excl. Unusual Items",(4.91%),18.08%,2.34%,(6.51%),(9.61%)
"EBT, Incl. Unusual Items",(28.39%),20.28%,(0.98%),(32.56%),(37.05%)
Income Tax Expense,(10.96%),(48.83%),24.35%,(43.14%),(48.34%)
Earnings From Continuing Operations,(38.36%),77.37%,(7.01%),(29.19%),(33.38%)
Net Income to Company,(38.36%),77.37%,(7.01%),(29.19%),(33.38%)
Minority Interest,(45.27%),-43.91%,-25.11%,,
Net Income,(38.78%),78.82%,(6.94%),(28.90%),(33.24%)
NI to Common Incl Extra Items,(38.78%),78.82%,(6.94%),(28.90%),(33.24%)
NI to Common Excl. Extra Items,(38.78%),78.82%,(6.94%),(28.90%),(33.24%)
Revenue Per Share,6.21%,6.71%,(0.51%),(2.74%),(0.91%)
Basic EPS,(38.19%),78.22%,(7.17%),(29.13%),(33.37%)
Basic EPS - Continuing Ops,(38.19%),78.22%,(7.17%),(29.13%),(33.37%)
Basic Weighted Average Shares Outst.,(0.85%),0.30%,0.20%,0.20%,0.19%
Diluted EPS,(38.08%),78.16%,(7.10%),(28.82%),(33.52%)
Diluted EPS - Continuing Ops,(38.08%),78.16%,(7.10%),(28.82%),(33.52%)
Diluted Weighted Average Shares Outst.,(0.91%),0.16%,0.16%,0.03%,0.14%
Normalized Basic EPS,(4.32%),18.03%,2.25%,(6.26%),(9.60%)
Normalized Diluted EPS,(4.51%),18.49%,2.18%,(6.18%),(9.55%)
Dividend Per Share,5.48%,5.19%,4.94%,1.18%,1.16%
Payout Ratio,70.91%,(41.05%),13.34%,42.60%,51.75%
EBITDA,(0.63%),14.18%,3.23%,(0.37%),(3.53%)
EBITA,(2.18%),17.63%,4.64%,(3.14%),(7.17%)
EBIT,(3.78%),17.09%,4.19%,(3.71%),(7.93%)
EBITDAR,(0.97%),14.41%,7.01%,(2.41%),
Effective Tax Rate,24.35%,(57.46%),25.54%,(15.70%),(17.93%)
Normalized Net Income,(5.21%),18.64%,2.46%,(6.15%),(9.42%)
Interest on Long-Term Debt,,,,37.61%,
R&D Expense From Footnotes,(6.67%),10.48%,0.43%,(5.58%),(5.58%)
Foreign Sales,6.09%,7.21%,3.43%,(7.10%),
