Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,7777.1,9538.8,11821.8,10465.0,9601.5,10571.0
Total Revenues,7777.1,9538.8,11821.8,10465.0,9601.5,10571.0
Cost Of Revenues,6442.2,7956.8,9499.0,8934.0,8166.8,8751.2
Gross Profit,1334.9,1582.0,2322.8,1531.0,1434.7,1819.8
Selling General & Admin Expenses,445.3,485.9,572.6,514.5,539.2,603.5
Total Operating Expenses,474.1,515.1,600.4,544.1,568.2,632.7
Operating Income,860.8,1066.9,1722.4,986.9,866.6,1187.1
Interest Expense,(146.0),(134.4),(126.6),(130.8),(128.0),(117.2)
Interest And Investment Income,,,,28.0,9.0,9.0
Net Interest Expenses,(146.0),(134.4),(126.6),(102.8),(119.0),(108.2)
Other Non Operating Income (Expenses),(1.3),2.8,24.0,(8.7),(22.7),(35.3)
"EBT, Excl. Unusual Items",713.5,935.2,1619.8,875.3,724.9,1043.5
"EBT, Incl. Unusual Items",564.1,935.2,1619.8,875.3,705.5,1024.1
Income Tax Expense,204.1,129.4,364.0,197.4,134.7,205.3
Earnings From Continuing Operations,360.0,805.8,1255.8,677.9,570.8,818.7
Net Income to Company,360.0,805.8,1255.8,677.9,570.8,818.7
Minority Interest,22.1,6.9,2.6,(6.8),(20.0),(24.8)
Net Income,382.1,812.7,1258.4,671.1,550.8,794.0
NI to Common Incl Extra Items,382.1,812.7,1258.4,671.1,550.8,794.0
NI to Common Excl. Extra Items,382.1,812.7,1258.4,671.1,550.8,794.0
Revenue Per Share,$31.93,$39.72,$50.54,$47.65,$45.47,$50.20
Basic EPS,$1.57,$3.38,$5.38,$3.06,$2.61,$3.77
Basic EPS - Continuing Ops,$1.57,$3.38,$5.38,$3.06,$2.61,$3.77
Basic Weighted Average Shares Outst.,243.6,240.1,233.9,219.6,211.1,210.6
Diluted EPS,$1.56,$3.36,$5.35,$3.04,$2.59,$3.74
Diluted EPS - Continuing Ops,$1.56,$3.36,$5.35,$3.04,$2.59,$3.74
Diluted Weighted Average Shares Outst.,245.3,241.8,235.2,220.7,212.3,211.9
Normalized Basic EPS,$1.92,$2.46,$4.34,$2.46,$2.05,$2.98
Normalized Diluted EPS,$1.91,$2.45,$4.32,$2.45,$2.04,$2.96
Dividend Per Share,$0.56,$0.62,$0.75,$0.96,$1.00,$1.01
Payout Ratio,35.53%,17.91%,13.42%,29.84%,37.99%,26.51%
EBITDA,1156.9,1365.9,2039.6,1308.0,1192.3,1519.5
EBITA,889.6,1096.1,1750.2,1016.5,895.6,1216.3
EBIT,860.8,1066.9,1722.4,986.9,866.6,1187.1
EBITDAR,1172.0,1384.8,2060.7,1348.1,1232.7,
Effective Tax Rate,36.2%,13.8%,22.5%,22.6%,19.1%,20.1%
Normalized Net Income,468.0,591.5,1014.9,540.3,433.0,627.4
Interest Capitalized,2.5,1.7,2.9,5.5,23.9,
Interest on Long-Term Debt,148.5,136.1,129.5,132.6,118.8,
Foreign Sales,,523.8,701.8,537.1,512.3,
