Income Statement,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,1666.9,1718.2,1630.3,1472.2,1333.9,1289.4
Total Revenues,1666.9,1718.2,1630.3,1472.2,1333.9,1289.4
Cost Of Revenues,1085.4,1194.6,1150.2,975.1,790.8,727.0
Gross Profit,581.5,523.6,480.1,497.1,543.1,562.4
Selling General & Admin Expenses,161.7,137.6,154.0,131.3,127.0,148.0
R&D Expenses,311.2,292.3,363.2,342.7,302.5,299.4
Total Operating Expenses,491.5,441.6,530.0,485.7,441.2,474.4
Operating Income,90.0,82.0,(49.9),11.4,101.9,88.0
Interest Expense,(4.8),(6.0),(22.2),(21.2),(22.5),(31.1)
Interest And Investment Income,3.1,0.7,2.3,3.9,7.9,7.9
Net Interest Expenses,(1.7),(5.3),(19.9),(17.3),(14.6),(23.2)
"EBT, Excl. Unusual Items",88.3,76.4,(71.6),(7.7),85.3,62.9
"EBT, Incl. Unusual Items",75.6,61.0,(83.6),(22.6),157.4,188.3
Income Tax Expense,3.4,12.2,40.5,0.3,38.6,37.7
Earnings From Continuing Operations,72.2,48.8,(124.1),(22.9),118.8,150.6
Net Income to Company,72.2,48.8,(124.1),(22.9),118.8,150.6
Net Income,72.2,48.8,(124.1),(22.9),118.8,150.6
NI to Common Incl Extra Items,72.2,48.8,(124.1),(22.9),118.8,150.6
NI to Common Excl. Extra Items,72.2,48.8,(124.1),(22.9),118.8,150.6
Revenue Per Share,$45.54,$49.37,$47.67,$42.55,$39.70,$37.37
Basic EPS,$1.97,$1.40,($3.63),($0.66),$3.54,$4.37
Basic EPS - Continuing Ops,$1.97,$1.40,($3.63),($0.66),$3.54,$4.37
Basic Weighted Average Shares Outst.,36.6,34.8,34.2,34.6,33.6,34.5
Diluted EPS,$1.91,$1.37,($3.63),($0.66),$3.41,$4.07
Diluted EPS - Continuing Ops,$1.91,$1.37,($3.63),($0.66),$3.41,$4.07
Diluted Weighted Average Shares Outst.,37.9,35.6,34.2,34.6,34.8,37.1
Normalized Basic EPS,$1.51,$1.37,($1.31),($0.14),$1.59,$1.14
Normalized Diluted EPS,$1.46,$1.34,($1.31),($0.14),$1.53,$1.06
EBITDA,194.2,174.5,72.9,121.4,180.0,203.8
EBITA,163.0,141.3,34.0,85.8,153.3,183.5
EBIT,90.0,82.0,(49.9),11.4,101.9,88.0
EBITDAR,203.4,185.1,84.9,131.7,188.8,
Effective Tax Rate,4.5%,20.0%,NM,NM,24.5%,20.0%
Normalized Net Income,55.2,47.8,(44.8),(4.8),53.3,39.3
Interest on Long-Term Debt,4.8,6.0,22.2,21.2,22.5,
R&D Expense From Footnotes,311.2,292.3,363.2,342.7,304.9,301.8
Foreign Sales,1417.8,1486.8,1539.4,1447.6,1327.2,
