Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,899.5,983.5,1088.8,1449.2,1586.6,1503.5
Total Interest Income,930.7,1031.7,1159.3,1587.3,1765.7,1675.9
Interest On Deposits,61.8,66.5,107.7,226.2,167.0,113.4
Total Interest On Borrowings,20.8,27.8,43.1,72.1,60.3,43.8
Total Interest Expense,82.6,94.3,150.8,298.2,227.3,157.2
Net Interest Income,848.1,937.5,1008.5,1289.0,1538.4,1518.7
Trust Income,,,,10.4,25.7,26.5
Gain (Loss) on Sale of Assets,,,,,14.7,15.3
Gain (Loss) on Sale of Invest. & Securities,(0.6),0.2,0.3,7.4,2.3,2.3
Total Other Non Interest Income,381.2,390.5,420.4,425.3,404.1,384.6
Total Non Interest Income,465.9,436.1,454.4,469.4,533.7,513.5
Revenue Before Loan Losses,1314.0,1373.5,1462.9,1758.4,2072.1,2032.2
Provision For Loan Losses,65.9,68.4,46.8,65.3,257.2,180.8
Total Revenues,1248.1,1305.1,1416.1,1693.2,1814.9,1851.5
Salaries And Other Employee Benefits,452.9,478.6,473.3,545.3,633.4,635.5
Occupancy Expense,153.8,156.9,165.8,150.8,183.4,178.3
Total Selling General & Admin Expenses,81.8,107.8,130.8,175.0,173.0,175.0
Total Other Non Interest Expense,208.1,225.4,195.4,265.2,305.4,302.5
Total Non Interest Expense,909.9,986.5,982.4,1150.8,1301.3,1296.5
"EBT, Excl. Unusual Items",338.2,318.6,433.7,542.4,513.6,554.9
Restructuring Charges,,,,,(0.6),(0.6)
Impairment of Goodwill,,(73.0),,,,
Asset Writedown,,(0.4),,(13.3),(17.6),(1.7)
Legal Settlements,,,(32.0),,,
Other Unusual Items,,,,,(21.6),(21.6)
"EBT, Incl. Unusual Items",338.2,245.2,401.7,357.2,269.9,347.7
Income Tax Expense,116.5,(33.6),86.1,50.2,39.9,46.4
Earnings From Continuing Operations,221.7,278.8,315.6,306.9,230.0,301.3
Net Income to Company,221.7,278.8,315.6,306.9,230.0,301.3
Minority Interest,(9.6),(10.1),(11.3),(11.5),(7.3),(7.1)
Net Income,212.1,268.6,304.4,295.5,222.8,294.2
Preferred Dividend and Other Adjustments,19.4,25.7,15.1,10.0,10.0,10.0
Net Income to Common Incl Extra Items,192.7,242.9,289.2,285.5,212.8,284.2
Net Income to Common Excl. Extra Items,192.7,242.9,289.2,285.5,212.8,284.2
Revenue Per Share,$14.69,$15.23,$16.83,$15.17,$11.96,$12.13
Basic EPS,$2.27,$2.83,$3.44,$2.56,$1.40,$1.86
Basic EPS - Continuing Ops,$2.27,$2.83,$3.44,$2.56,$1.40,$1.86
Basic Weighted Average Shares Outst.,85.0,85.7,84.1,111.6,151.8,152.6
Diluted EPS,$2.26,$2.83,$3.43,$2.55,$1.40,$1.86
Diluted EPS - Continuing Ops,$2.26,$2.83,$3.43,$2.55,$1.40,$1.86
Diluted Weighted Average Shares Outst.,85.3,85.7,84.3,111.8,151.9,152.6
Normalized Basic EPS,$2.38,$2.20,$3.09,$2.93,$2.07,$2.23
Normalized Diluted EPS,$2.37,$2.20,$3.08,$2.93,$2.07,$2.23
Dividend Per Share,$0.59,$0.59,$1.18,$1.30,$1.40,$1.40
Payout Ratio,32.80%,26.25%,36.50%,56.19%,100.85%,
Effective Tax Rate,34.5%,NM,21.4%,14.1%,14.8%,13.3%
Normalized Net Income,201.8,189.0,259.8,327.5,313.7,339.7
Interest on Long-Term Debt,20.8,27.7,43.1,51.2,43.0,
