Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,2322.0,2156.0,2164.0,1899.0,1836.0,1893.0
Total Revenues,2322.0,2156.0,2164.0,1899.0,1836.0,1893.0
Cost Of Revenues,1124.0,1127.0,1133.0,933.0,803.0,778.0
Gross Profit,1198.0,1029.0,1031.0,966.0,1033.0,1115.0
Selling General & Admin Expenses,662.0,651.0,649.0,611.0,653.0,644.0
R&D Expenses,212.0,305.0,317.0,327.0,327.0,331.0
Total Operating Expenses,874.0,956.0,966.0,938.0,980.0,975.0
Operating Income,324.0,73.0,65.0,28.0,53.0,140.0
Interest Expense,(12.0),(15.0),(22.0),(26.0),(27.0),(27.0)
Interest And Investment Income,6.0,11.0,14.0,12.0,4.0,4.0
Net Interest Expenses,(6.0),(4.0),(8.0),(14.0),(23.0),(23.0)
Other Non Operating Income (Expenses),(10.0),(6.0),(2.0),(2.0),(7.0),(8.0)
"EBT, Excl. Unusual Items",308.0,63.0,55.0,12.0,23.0,109.0
"EBT, Incl. Unusual Items",221.0,58.0,27.0,(13.0),(24.0),62.0
Income Tax Expense,96.0,125.0,(3.0),7.0,(153.0),48.0
Earnings From Continuing Operations,125.0,(67.0),30.0,(20.0),129.0,14.0
Net Income to Company,125.0,(67.0),30.0,(20.0),129.0,14.0
Net Income,125.0,(67.0),30.0,(20.0),129.0,14.0
NI to Common Incl Extra Items,125.0,(67.0),30.0,(20.0),129.0,14.0
NI to Common Excl. Extra Items,125.0,(67.0),30.0,(20.0),129.0,14.0
Revenue Per Share,$17.90,$17.14,$18.15,$16.63,$16.80,$17.38
Basic EPS,$0.96,($0.53),$0.25,($0.18),$1.18,$0.13
Basic EPS - Continuing Ops,$0.96,($0.53),$0.25,($0.18),$1.18,$0.13
Basic Weighted Average Shares Outst.,129.7,125.8,119.2,114.2,109.3,108.9
Diluted EPS,$0.95,($0.53),$0.25,($0.18),$1.16,$0.13
Diluted EPS - Continuing Ops,$0.95,($0.53),$0.25,($0.18),$1.16,$0.13
Diluted Weighted Average Shares Outst.,131.5,125.8,121.2,114.2,111.6,112.0
Normalized Basic EPS,$1.48,$0.31,$0.29,$0.07,$0.13,$0.63
Normalized Diluted EPS,$1.46,$0.31,$0.28,$0.07,$0.13,$0.61
EBITDA,384.0,136.0,140.0,131.0,193.0,277.0
EBITA,334.0,81.0,65.0,28.0,53.0,140.0
EBIT,324.0,73.0,65.0,28.0,53.0,140.0
EBITDAR,405.0,,,162.0,217.0,
Effective Tax Rate,43.4%,215.5%,NM,NM,NM,77.4%
Normalized Net Income,192.5,39.4,34.4,7.5,14.4,68.1
Interest on Long-Term Debt,12.0,,,4.0,6.0,
R&D Expense From Footnotes,218.0,311.0,324.0,334.0,341.0,345.0
Foreign Sales,1076.0,1067.0,1146.0,946.0,915.0,
