Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(2.15%),1.29%,1.31%,0.95%,1.97%
Total Revenues,(2.15%),1.29%,1.31%,0.95%,1.97%
Cost Of Revenues,(2.88%),(0.97%),0.04%,0.73%,3.39%
Gross Profit,(1.50%),3.28%,2.38%,1.13%,0.81%
Selling General & Admin Expenses,(4.14%),0.30%,1.36%,(2.10%),(4.22%)
Depreciation & Amortization,(0.71%),4.62%,5.55%,(2.47%),(4.47%)
Total Operating Expenses,(3.02%),1.74%,2.79%,(2.23%),(4.31%)
Operating Income,33.33%,28.95%,(3.06%),47.89%,76.24%
Interest Expense,0.00%,(1.18%),-4.07%,(1.82%),(15.72%)
Interest And Investment Income,36.36%,73.33%,11.54%,(48.28%),(53.85%)
Net Interest Expenses,-2.52%,-5.81%,-6.85%,(12.50%),(29.32%)
Other Non Operating Income (Expenses),33.33%,(50.00%),,,0.00%
"EBT, Excl. Unusual Items",40.82%,53.62%,4.72%,38.74%,49.31%
"EBT, Incl. Unusual Items",,,(4.52%),36.49%,57.51%
Income Tax Expense,,,39.13%,(70.31%),42.42%
Earnings From Continuing Operations,201.92%,11.46%,(16.00%),82.99%,60.62%
Net Income to Company,201.92%,11.46%,(16.00%),82.99%,60.62%
Minority Interest,-55.56%,(900.00%),-35.00%,(65.38%),(41.38%)
Net Income,255.81%,(11.76%),(10.37%),86.78%,64.89%
NI to Common Incl Extra Items,255.81%,(11.76%),(10.37%),86.78%,63.36%
NI to Common Excl. Extra Items,255.81%,(11.76%),(10.37%),86.78%,63.36%
Revenue Per Share,(3.03%),0.39%,(0.47%),0.95%,
Basic EPS,253.43%,(12.66%),(12.28%),87.02%,
Basic EPS - Continuing Ops,253.43%,(12.66%),(12.28%),87.02%,
Basic Weighted Average Shares Outst.,0.91%,0.90%,1.79%,0.00%,
Diluted EPS,251.28%,(14.84%),(11.58%),88.27%,
Diluted EPS - Continuing Ops,251.28%,(14.84%),(11.58%),88.27%,
Diluted Weighted Average Shares Outst.,0.90%,1.79%,1.75%,(0.86%),
Normalized Basic EPS,54.37%,11.61%,19.16%,32.46%,
Normalized Diluted EPS,56.25%,11.15%,20.00%,34.02%,
Dividend Per Share,5.08%,3.23%,3.13%,3.03%,2.26%
Payout Ratio,(70.17%),18.26%,16.23%,(44.32%),(36.12%)
EBITDA,3.32%,8.33%,3.99%,6.06%,8.56%
EBITA,27.34%,36.20%,5.41%,39.74%,62.22%
EBIT,33.33%,28.95%,(3.06%),47.89%,76.24%
EBITDAR,3.30%,,,5.97%,
Effective Tax Rate,425.96%,,45.76%,(78.25%),(9.58%)
Normalized Net Income,57.42%,12.46%,21.89%,32.59%,51.47%
Interest on Long-Term Debt,,0.00%,150.00%,60.00%,
