Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(5.04%),15.99%,4.18%,27.76%,0.00%
Total Revenues,(5.04%),15.99%,4.18%,27.76%,0.00%
Cost Of Revenues,19.09%,14.16%,14.79%,22.81%,0.00%
Gross Profit,(20.55%),17.75%,(5.73%),33.38%,0.00%
Selling General & Admin Expenses,(12.16%),4.14%,2.36%,9.00%,0.00%
Depreciation & Amortization,(0.54%),1.60%,8.18%,10.50%,0.00%
Total Operating Expenses,(10.57%),5.78%,7.20%,11.90%,0.00%
Operating Income,(26.93%),27.12%,(14.16%),50.87%,0.00%
Interest Expense,-9.36%,-8.66%,(6.98%),(2.35%),0.00%
Net Interest Expenses,-9.36%,-8.66%,(6.98%),(2.35%),0.00%
Other Non Operating Income (Expenses),,-72.38%,,,0.00%
"EBT, Excl. Unusual Items",(37.54%),57.82%,(20.11%),71.54%,0.00%
"EBT, Incl. Unusual Items",(30.84%),63.72%,(26.15%),69.58%,0.00%
Income Tax Expense,,,(16.71%),72.54%,0.00%
Earnings From Continuing Operations,44.92%,(10.41%),(28.68%),68.66%,0.00%
Net Income to Company,(37.31%),48.19%,(29.44%),68.66%,0.00%
Minority Interest,,,,,0.00%
Net Income,(37.31%),48.19%,(29.44%),68.66%,0.00%
NI to Common Incl Extra Items,(37.31%),48.19%,(29.44%),68.33%,0.00%
NI to Common Excl. Extra Items,44.92%,(10.41%),(28.68%),68.33%,0.00%
Revenue Per Share,(4.67%),15.63%,3.72%,26.54%,0.00%
Basic EPS,(37.14%),47.75%,(29.88%),66.50%,0.00%
Basic EPS - Continuing Ops,45.31%,(10.75%),(29.13%),66.50%,0.00%
Basic Weighted Average Shares Outst.,(0.36%),0.28%,0.44%,0.96%,0.00%
Diluted EPS,(36.74%),48.41%,(29.95%),67.18%,0.00%
Diluted EPS - Continuing Ops,46.10%,(10.19%),(29.19%),67.18%,0.00%
Diluted Weighted Average Shares Outst.,(1.00%),(0.39%),0.63%,0.81%,0.00%
Normalized Basic EPS,(37.13%),57.45%,(20.23%),70.59%,0.00%
Normalized Diluted EPS,(36.83%),58.85%,(20.54%),70.21%,0.00%
Dividend Per Share,(37.50%),(20.00%),0.00%,0.00%,0.00%
Payout Ratio,18.27%,(54.88%),42.53%,(25.22%),0.00%
EBITDA,(24.60%),25.40%,(9.51%),46.27%,0.00%
EBITA,(26.34%),27.72%,(10.88%),49.64%,0.00%
EBIT,(26.93%),27.12%,(14.16%),50.87%,0.00%
EBITDAR,(24.31%),24.18%,(9.87%),45.95%,
Effective Tax Rate,,,12.76%,1.76%,0.00%
Normalized Net Income,(37.54%),57.82%,(20.11%),71.55%,0.00%
Interest on Long-Term Debt,(9.36%),(8.66%),6.98%,2.35%,
