Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(2.25%),(4.52%),0.91%,(4.54%),(3.00%)
Total Revenues,(2.25%),(4.52%),0.91%,(4.54%),(3.00%)
Cost Of Revenues,(0.76%),(5.91%),1.07%,(3.14%),(3.15%)
Gross Profit,(4.86%),(1.97%),0.62%,(7.00%),(2.72%)
Selling General & Admin Expenses,,,,17.15%,18.70%
Depreciation & Amortization,2.35%,(7.82%),5.99%,0.82%,3.91%
Other Operating Expense/(Income),(0.12%),(9.16%),(10.26%),(1.99%),(0.67%)
Total Operating Expenses,(5.53%),(8.93%),(0.11%),(0.06%),1.64%
Operating Income,(2.74%),19.45%,2.31%,(22.89%),(12.98%)
Interest Expense,(5.01%),-2.33%,-1.89%,(1.83%),(2.35%)
Net Interest Expenses,(5.01%),-2.33%,-1.89%,(1.83%),(2.35%)
Other Non Operating Income (Expenses),(50.00%),175.00%,63.64%,(50.00%),0.00%
"EBT, Excl. Unusual Items",(9.97%),45.93%,8.46%,(40.11%),(22.46%)
"EBT, Incl. Unusual Items",,,(49.13%),109.69%,165.73%
Income Tax Expense,226.87%,(21.00%),(7.51%),,(64.62%)
Earnings From Continuing Operations,,,(64.91%),380.00%,224.22%
Earnings Of Discontinued Operations,,,266.67%,,0.00%
Net Income to Company,,,(62.75%),349.12%,222.09%
Minority Interest,(4.35%),-7.55%,(8.73%),-4.40%,(16.30%)
Net Income,(266.67%),,,,
NI to Common Incl Extra Items,(266.67%),,,,
NI to Common Excl. Extra Items,(276.47%),,,,
Revenue Per Share,(3.49%),(5.93%),(0.35%),(6.01%),(4.57%)
Basic EPS,(262.62%),,,,
Basic EPS - Continuing Ops,(272.26%),,,,
Basic Weighted Average Shares Outst.,1.28%,1.51%,1.26%,1.56%,1.65%
Diluted EPS,(262.69%),,,,
Diluted EPS - Continuing Ops,(272.34%),,,,
Diluted Weighted Average Shares Outst.,1.28%,3.27%,(0.46%),2.77%,2.95%
Normalized Basic EPS,(40.44%),231.21%,6.96%,(75.72%),(61.69%)
Normalized Diluted EPS,(40.44%),225.57%,8.80%,(76.01%),(62.18%)
EBITDA,(1.05%),10.09%,3.37%,(15.90%),(7.91%)
EBITA,(1.45%),18.34%,2.25%,(21.67%),(12.15%)
EBIT,(2.74%),19.45%,2.31%,(22.89%),(12.98%)
EBITDAR,(0.76%),8.41%,3.59%,(12.38%),
Effective Tax Rate,,,81.82%,,(86.68%)
Normalized Net Income,(39.62%),237.41%,8.19%,(75.32%),(61.06%)
Interest Capitalized,(31.82%),(53.33%),57.14%,(54.55%),
Interest on Long-Term Debt,,,,(26.67%),
