Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,3789.5,3980.4,4254.4,4474.5,4527.4,4547.8
Total Interest And Dividend Income,223.6,228.6,243.3,261.6,248.4,247.1
Gain (Loss) on Sale of Investments,10.2,21.1,(50.7),109.4,5.0,204.1
Other Revenues,30.6,37.8,47.3,45.2,46.5,55.4
Total Revenues,4053.9,4267.9,4494.3,4890.7,4827.3,5054.4
Policy Benefits,2546.0,2579.6,2724.6,2865.5,2845.2,2898.3
Policy Acquisition / Underwriting Costs,803.6,840.7,891.8,926.7,951.0,954.4
Other Operating Expenses,498.6,509.5,522.1,538.9,543.0,546.5
Total Operating Expenses,3848.2,3929.8,4138.5,4331.1,4339.2,4399.2
Operating Income,205.7,338.1,355.8,559.6,488.1,655.2
"Interest Expense, Total",(51.4),(45.2),(45.1),(37.5),(37.1),(36.2)
"EBT, Excl. Unusual Items",154.3,292.9,310.7,522.1,451.0,619.0
Other Unusual Items,(88.3),,(28.2),,(6.2),(6.2)
"EBT, Incl. Unusual Items",66.0,292.9,282.5,522.1,444.8,612.8
Income Tax Expense,(1.0),76.8,43.5,93.1,82.8,119.3
Earnings From Continuing Operations,67.0,216.1,239.0,429.0,362.0,493.5
Earnings Of Discontinued Operations,88.1,(29.9),152.0,(3.9),(3.3),(2.1)
Net Income to Company,155.1,186.2,391.0,425.1,358.7,491.4
Net Income,155.1,186.2,391.0,425.1,358.7,491.4
NI to Common Incl Extra Items,155.1,186.2,391.0,425.1,358.7,491.4
NI to Common Excl. Extra Items,67.0,216.1,239.0,429.0,362.0,493.5
Revenue Per Share,$94.72,$100.42,$106.00,$122.27,$128.05,$135.78
Basic EPS,$3.62,$4.38,$9.22,$10.63,$9.51,$13.20
Basic EPS - Continuing Ops,$1.57,$5.08,$5.64,$10.73,$9.60,$13.26
Basic Weighted Average Shares Outst.,42.8,42.5,42.4,40.0,37.7,37.2
Diluted EPS,$3.59,$4.33,$9.09,$10.46,$9.41,$13.02
Diluted EPS - Continuing Ops,$1.55,$5.03,$5.56,$10.56,$9.50,$13.08
Diluted Weighted Average Shares Outst.,43.2,43.0,43.0,40.6,38.1,37.8
Normalized Basic EPS,$2.25,$4.31,$4.58,$8.16,$7.48,$10.39
Normalized Diluted EPS,$2.23,$4.26,$4.52,$8.04,$7.40,$10.25
Dividend Per Share,$1.88,$2.04,$2.22,$2.45,$2.65,$2.70
Payout Ratio,51.84%,46.62%,24.12%,22.96%,27.74%,20.39%
EBITDA,236.4,368.2,380.4,581.2,506.3,672.1
EBITA,205.7,338.1,355.8,559.6,488.1,655.2
EBIT,205.7,338.1,355.8,559.6,488.1,655.2
EBITDAR,252.0,,,,,
Effective Tax Rate,NM,26.2%,15.4%,17.8%,18.6%,19.5%
Normalized Net Income,96.4,183.1,194.2,326.3,281.9,386.9
Interest on Long-Term Debt,51.4,45.2,45.1,37.5,37.1,
