Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(21.42%),(5.46%),(6.52%),1.42%,0.35%
Total Revenues,(21.42%),(5.46%),(6.52%),1.42%,0.35%
Cost Of Revenues,(23.58%),(4.08%),(5.28%),0.22%,(1.03%)
Gross Profit,(11.97%),(10.66%),(11.52%),6.65%,6.44%
Selling General & Admin Expenses,(11.37%),(6.48%),(16.64%),2.02%,2.62%
Total Operating Expenses,(13.01%),(6.42%),(15.54%),1.06%,2.21%
Operating Income,(9.55%),(20.18%),(0.96%),19.17%,15.69%
Interest Expense,(11.12%),(4.38%),(18.30%),-1.88%,-20.52%
Net Interest Expenses,(11.12%),(4.38%),(18.30%),-1.88%,-20.52%
Currency Exchange Gains (Loss),(4.00%),,,(5.26%),
Other Non Operating Income (Expenses),55.56%,,,71.43%,
"EBT, Excl. Unusual Items",(17.10%),(43.80%),(6.68%),51.72%,501.13%
"EBT, Incl. Unusual Items",-85.41%,(102.11%),(170.49%),,
Income Tax Expense,,-91.85%,(299.12%),-29.45%,
Earnings From Continuing Operations,,,(138.74%),,
Earnings Of Discontinued Operations,,-95.34%,"(1,277.47%)",-85.88%,-84.83%
Net Income to Company,(22.27%),-76.96%,(460.56%),,
Net Income,(22.27%),-76.96%,(460.56%),,
NI to Common Incl Extra Items,(22.27%),-76.96%,(460.56%),,
NI to Common Excl. Extra Items,,,(138.74%),,
Revenue Per Share,(23.34%),(3.59%),(6.85%),0.89%,0.04%
Basic EPS,(19.39%),-76.48%,(458.56%),,
Basic EPS - Continuing Ops,,,(136.46%),,
Basic Weighted Average Shares Outst.,2.51%,(1.93%),0.36%,0.53%,0.31%
Diluted EPS,(18.41%),-76.19%,(453.75%),,
Diluted EPS - Continuing Ops,,,(136.46%),,
Diluted Weighted Average Shares Outst.,3.41%,(2.78%),0.36%,0.89%,0.89%
Normalized Basic EPS,(18.99%),(42.60%),(7.33%),50.35%,499.27%
Normalized Diluted EPS,(19.70%),(42.08%),(7.33%),49.82%,495.84%
EBITDA,(15.38%),(13.29%),(1.00%),9.60%,8.68%
EBITA,(12.60%),(17.18%),(2.58%),13.69%,(10.00%)
EBIT,(9.55%),(20.18%),(0.96%),19.17%,15.69%
EBITDAR,(14.61%),(11.90%),(0.06%),9.34%,
Effective Tax Rate,,,,,(76.97%)
Normalized Net Income,(17.10%),(43.80%),(6.68%),51.72%,501.13%
Interest on Long-Term Debt,2.68%,(13.89%),(2.85%),2.34%,
R&D Expense From Footnotes,(6.08%),(30.94%),(2.08%),(11.70%),(11.70%)
Foreign Sales,,(7.26%),(33.74%),(5.53%),
