Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,9.44%,8.81%,12.65%,28.71%,19.66%
Total Revenues,9.44%,8.81%,12.65%,28.71%,19.66%
Cost Of Revenues,9.64%,9.34%,12.95%,30.61%,18.46%
Gross Profit,8.62%,6.52%,11.31%,20.28%,25.35%
Selling General & Admin Expenses,7.93%,6.79%,17.59%,16.75%,11.43%
Total Operating Expenses,7.93%,6.79%,17.59%,16.75%,11.43%
Operating Income,9.41%,6.22%,4.25%,24.77%,44.60%
Interest And Investment Income,213.59%,184.06%,63.09%,(39.92%),(59.83%)
Net Interest Expenses,213.59%,184.06%,63.09%,(39.92%),(59.83%)
Other Non Operating Income (Expenses),-72.18%,(423.76%),-38.85%,(219.57%),(19.24%)
"EBT, Excl. Unusual Items",11.83%,4.96%,4.70%,20.55%,44.93%
"EBT, Incl. Unusual Items",13.19%,(23.10%),17.83%,0.57%,114.99%
Income Tax Expense,66.30%,(64.79%),6.86%,10.74%,100.80%
Earnings From Continuing Operations,(14.48%),19.15%,21.11%,(2.11%),119.17%
Net Income to Company,(14.48%),19.15%,21.11%,(2.11%),119.17%
Minority Interest,-44.51%,-95.18%,-93.63%,"(2,223.66%)",(334.57%)
Net Income,73.37%,126.23%,23.40%,(4.40%),116.68%
NI to Common Incl Extra Items,73.37%,126.23%,23.40%,(4.40%),116.68%
NI to Common Excl. Extra Items,73.37%,126.23%,23.40%,(4.40%),116.68%
Revenue Per Share,(45.18%),(39.57%),17.65%,7.74%,1.45%
Basic EPS,(13.03%),25.63%,28.65%,(19.97%),83.72%
Basic EPS - Continuing Ops,(13.03%),25.63%,28.65%,(19.97%),83.72%
Basic Weighted Average Shares Outst.,99.66%,80.05%,(4.25%),19.45%,17.94%
Diluted EPS,(13.03%),24.38%,28.42%,(20.00%),83.41%
Diluted EPS - Continuing Ops,(13.03%),24.38%,28.42%,(20.00%),83.41%
Diluted Weighted Average Shares Outst.,99.66%,85.49%,(5.93%),19.28%,18.63%
Normalized Basic EPS,53.14%,(7.19%),11.25%,(1.04%),20.79%
Normalized Diluted EPS,53.14%,(9.91%),13.23%,(0.78%),20.09%
EBITDA,9.29%,12.51%,5.24%,24.32%,42.58%
EBITA,9.41%,5.88%,4.25%,24.77%,44.60%
EBIT,9.41%,6.22%,4.25%,24.77%,44.60%
EBITDAR,,,,25.14%,
Effective Tax Rate,46.91%,(54.21%),(9.32%),10.11%,(6.60%)
Normalized Net Income,205.27%,67.48%,6.46%,18.18%,42.46%
Interest Capitalized,(6.38%),6.34%,28.81%,44.82%,
