Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,2401.6,2806.6,3252.8,3076.6,3248.8,3372.1
Other Revenues,3.5,3.7,9.9,6.5,11.7,12.2
Total Revenues,2405.1,2810.3,3262.7,3083.0,3260.4,3384.4
Cost Of Revenues,1849.9,2182.3,2552.5,2439.1,2516.7,2588.4
Gross Profit,555.2,628.0,710.3,643.9,743.8,795.9
Selling General & Admin Expenses,252.0,274.8,342.3,354.7,351.9,351.2
Total Operating Expenses,252.0,274.8,342.3,354.7,351.9,351.2
Operating Income,303.2,353.2,368.0,289.2,391.9,444.7
Interest Expense,0.0,0.0,0.0,0.0,0.0,0.0
Net Interest Expenses,0.0,0.0,0.0,0.0,0.0,0.0
Other Non Operating Income (Expenses),0.3,0.2,(0.4),0.9,1.3,1.0
"EBT, Excl. Unusual Items",303.7,341.9,367.2,290.0,393.3,445.8
"EBT, Incl. Unusual Items",302.2,339.8,362.1,271.1,373.4,426.1
Income Tax Expense,106.1,152.3,90.6,63.9,91.2,105.0
Earnings From Continuing Operations,196.1,187.6,271.5,207.2,282.2,321.1
Net Income to Company,196.1,187.6,271.5,207.2,282.2,321.1
Minority Interest,(1.0),(0.4),(1.6),,,
Net Income,195.2,187.2,269.9,207.2,282.2,321.1
NI to Common Incl Extra Items,195.2,187.2,269.9,207.2,282.2,321.1
NI to Common Excl. Extra Items,195.2,187.2,269.9,207.2,282.2,321.1
Revenue Per Share,$14.95,$18.23,$22.02,$21.89,$25.20,$26.94
Basic EPS,$1.21,$1.21,$1.82,$1.47,$2.18,$2.56
Basic EPS - Continuing Ops,$1.21,$1.21,$1.82,$1.47,$2.18,$2.56
Basic Weighted Average Shares Outst.,160.9,154.1,148.2,140.9,129.4,125.6
Diluted EPS,$1.21,$1.21,$1.81,$1.47,$2.17,$2.54
Diluted EPS - Continuing Ops,$1.21,$1.21,$1.81,$1.47,$2.17,$2.54
Diluted Weighted Average Shares Outst.,161.4,155.1,149.0,141.4,130.0,126.2
Normalized Basic EPS,$1.17,$1.38,$1.54,$1.29,$1.90,$2.22
Normalized Diluted EPS,$1.17,$1.38,$1.53,$1.28,$1.89,$2.21
EBITDA,306.3,356.7,397.1,317.6,421.4,475.9
EBITA,303.2,353.2,368.0,289.7,393.3,446.9
EBIT,303.2,353.2,368.0,289.2,391.9,444.7
EBITDAR,312.7,363.7,405.0,326.7,430.7,
Effective Tax Rate,35.1%,44.8%,25.0%,23.6%,24.4%,24.6%
Normalized Net Income,188.8,213.3,227.9,181.2,245.8,278.7
Interest Capitalized,68.3,84.3,91.6,89.7,83.1,
Interest on Long-Term Debt,68.3,84.3,91.6,89.7,83.1,
