Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,60.70%,23.82%,44.68%,(17.77%),(20.19%)
Total Revenues,60.70%,23.82%,44.68%,(17.77%),(20.19%)
Cost Of Revenues,25.13%,111.34%,87.86%,(20.31%),(16.66%)
Gross Profit,62.02%,21.31%,42.52%,(17.60%),(20.41%)
Selling General & Admin Expenses,69.00%,18.37%,42.99%,(12.37%),(13.99%)
R&D Expenses,30.26%,50.39%,48.20%,9.22%,10.78%
Depreciation & Amortization,43.31%,4.23%,48.92%,29.12%,22.25%
Total Operating Expenses,70.35%,20.74%,46.59%,(10.51%),(12.23%)
Operating Income,11.96%,26.46%,7.03%,,
Interest Expense,"(1,152.76%)",(76.96%),(62.99%),(40.75%),(72.70%)
Net Interest Expenses,"(1,152.76%)",(76.96%),(62.99%),(40.75%),(72.70%)
Other Non Operating Income (Expenses),,-97.47%,,(28.24%),"8,770.18%"
"EBT, Excl. Unusual Items",(1.08%),20.55%,(3.27%),,
"EBT, Incl. Unusual Items",(50.15%),70.15%,(29.18%),,
Income Tax Expense,(69.11%),,-87.07%,(135.42%),(118.11%)
Earnings From Continuing Operations,(37.78%),462.98%,(63.90%),,
Earnings Of Discontinued Operations,(3.39%),(233.85%),(68.74%),(18.75%),-14.99%
Net Income to Company,(43.34%),519.46%,(81.53%),,
Net Income,(43.34%),519.46%,(81.53%),,
NI to Common Incl Extra Items,(43.34%),519.46%,(81.53%),,
NI to Common Excl. Extra Items,(37.78%),462.98%,(63.90%),,
Revenue Per Share,58.93%,18.27%,40.96%,(18.86%),(21.06%)
Basic EPS,(44.03%),493.65%,(82.01%),,
Basic EPS - Continuing Ops,(38.42%),436.36%,(64.82%),,
Basic Weighted Average Shares Outst.,1.13%,4.68%,2.64%,1.35%,1.10%
Diluted EPS,(47.01%),500.05%,(82.16%),,
Diluted EPS - Continuing Ops,(41.80%),445.77%,(65.16%),,
Diluted Weighted Average Shares Outst.,7.12%,3.03%,3.70%,(11.03%),(10.79%)
Normalized Basic EPS,(2.23%),15.09%,(5.79%),,
Normalized Diluted EPS,(7.64%),17.22%,(6.84%),,
EBITDA,37.05%,33.57%,37.43%,(60.61%),(72.79%)
EBITA,33.40%,36.21%,37.67%,(62.21%),(74.66%)
EBIT,11.96%,26.46%,7.03%,,
EBITDAR,36.71%,34.52%,39.13%,(54.54%),
Effective Tax Rate,(38.03%),,,,
Normalized Net Income,(1.08%),20.55%,(3.27%),,
Interest on Long-Term Debt,,82.42%,28.92%,34.58%,
R&D Expense From Footnotes,30.81%,39.93%,46.87%,12.73%,13.96%
