Income Statement,Oct 2016,Oct 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,1929.2,2034.0,2200.7,2389.6,2348.6,2355.1
Total Revenues,1929.2,2034.0,2200.7,2389.6,2348.6,2355.1
Cost Of Revenues,1599.0,1680.4,1816.3,1981.5,1902.0,1886.5
Gross Profit,330.2,353.6,384.5,408.2,446.5,468.6
Selling General & Admin Expenses,172.0,177.2,185.7,196.9,203.0,207.5
Total Operating Expenses,172.0,177.2,185.7,196.9,203.0,207.5
Operating Income,158.2,176.4,198.7,211.3,243.5,261.1
Interest Expense,(12.4),(12.3),(17.3),(15.4),(14.5),(13.5)
Interest And Investment Income,1.0,0.7,1.8,1.7,1.4,1.4
Net Interest Expenses,(11.4),(11.6),(15.5),(13.6),(13.1),(12.1)
Currency Exchange Gains (Loss),,,0.5,(1.3),,
"EBT, Excl. Unusual Items",146.8,164.8,183.7,196.3,230.4,249.0
"EBT, Incl. Unusual Items",124.5,171.8,174.6,175.1,228.0,245.2
Income Tax Expense,40.6,53.8,37.6,16.4,54.1,57.1
Earnings From Continuing Operations,83.9,117.9,137.0,158.8,173.9,188.1
Net Income to Company,83.9,117.9,137.0,158.8,173.9,188.1
Minority Interest,(0.1),(0.0),(0.1),(0.1),(0.0),(0.0)
Net Income,83.8,117.9,136.9,158.7,173.9,188.1
NI to Common Incl Extra Items,83.8,117.9,136.9,158.7,173.9,188.1
NI to Common Excl. Extra Items,83.8,117.9,136.9,158.7,173.9,188.1
Revenue Per Share,$33.16,$35.74,$39.53,$43.46,$43.30,$43.61
Basic EPS,$1.44,$2.07,$2.46,$2.89,$3.21,$3.48
Basic EPS - Continuing Ops,$1.44,$2.07,$2.46,$2.89,$3.21,$3.48
Basic Weighted Average Shares Outst.,58.2,56.9,55.7,55.0,54.2,54.0
Diluted EPS,$1.42,$2.04,$2.42,$2.84,$3.16,$3.44
Diluted EPS - Continuing Ops,$1.42,$2.04,$2.42,$2.84,$3.16,$3.44
Diluted Weighted Average Shares Outst.,59.0,57.9,56.6,55.9,55.0,54.7
Normalized Basic EPS,$1.58,$1.81,$2.06,$2.23,$2.65,$2.88
Normalized Diluted EPS,$1.56,$1.78,$2.03,$2.19,$2.62,$2.85
Dividend Per Share,$0.34,$0.38,$0.44,$0.54,$0.64,$0.68
Payout Ratio,23.55%,18.39%,17.88%,18.70%,19.98%,19.53%
EBITDA,203.8,222.2,237.4,240.1,268.1,284.5
EBITA,180.3,199.2,216.9,222.9,255.1,271.9
EBIT,158.2,176.4,198.7,211.3,243.5,261.1
EBITDAR,278.8,293.5,,319.4,353.3,
Effective Tax Rate,32.6%,31.3%,21.5%,9.3%,23.7%,23.3%
Normalized Net Income,91.7,103.0,114.7,122.6,144.0,155.6
Foreign Sales,724.9,734.5,732.1,859.6,887.4,
