Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,11.49%,10.72%,12.16%,(12.99%),(6.32%)
Total Revenues,11.49%,10.72%,12.16%,(12.99%),(6.32%)
Cost Of Revenues,11.94%,11.99%,12.32%,(6.29%),(3.07%)
Gross Profit,9.72%,5.53%,11.46%,(42.20%),(21.87%)
Selling General & Admin Expenses,5.22%,24.71%,9.41%,(20.51%),(16.76%)
Depreciation & Amortization,12.70%,8.25%,14.16%,2.02%,2.45%
Total Operating Expenses,7.46%,16.07%,10.92%,(10.58%),(8.87%)
Operating Income,12.48%,(6.79%),12.26%,(87.63%),(45.43%)
Interest Expense,(25.66%),-62.52%,,,"(7,844.93%)"
Net Interest Expenses,(25.66%),-62.52%,,,
"EBT, Excl. Unusual Items",12.52%,(6.37%),12.81%,(89.90%),(48.98%)
"EBT, Incl. Unusual Items",8.36%,1.31%,13.45%,(91.00%),(50.37%)
Income Tax Expense,(5.08%),(50.07%),33.56%,,
Earnings From Continuing Operations,14.07%,19.46%,10.48%,(80.76%),(42.51%)
Net Income to Company,14.07%,19.46%,10.48%,(80.76%),(42.51%)
Minority Interest,(20.80%),(0.98%),(16.43%),-48.06%,-24.41%
Net Income,13.78%,20.30%,10.26%,(82.08%),(43.34%)
NI to Common Incl Extra Items,13.78%,20.30%,10.26%,(82.08%),(43.34%)
NI to Common Excl. Extra Items,13.78%,20.30%,10.26%,(82.08%),(43.34%)
Revenue Per Share,10.56%,9.96%,13.67%,(11.65%),(5.74%)
Basic EPS,12.97%,19.67%,11.95%,(81.78%),(42.99%)
Basic EPS - Continuing Ops,12.97%,19.67%,11.95%,(81.78%),(42.99%)
Basic Weighted Average Shares Outst.,0.84%,0.67%,(1.34%),(1.52%),(0.62%)
Diluted EPS,12.88%,19.57%,11.82%,(81.71%),(43.12%)
Diluted EPS - Continuing Ops,12.88%,19.57%,11.82%,(81.71%),(43.12%)
Diluted Weighted Average Shares Outst.,0.67%,0.61%,(1.46%),(1.44%),(0.52%)
Normalized Basic EPS,11.24%,(7.31%),13.88%,(92.13%),(50.26%)
Normalized Diluted EPS,11.14%,(7.40%),13.96%,(92.14%),(50.31%)
Dividend Per Share,10.53%,19.05%,20.00%,(70.00%),(100.00%)
Payout Ratio,(1.81%),(2.00%),35.45%,36.25%,(100.00%)
EBITDA,12.55%,(2.02%),12.92%,(55.92%),(25.73%)
EBITA,12.48%,(6.79%),12.65%,(87.41%),(45.33%)
EBIT,12.48%,(6.79%),12.26%,(87.63%),(45.43%)
EBITDAR,12.32%,(0.26%),11.32%,(46.77%),
Effective Tax Rate,(12.41%),(50.71%),17.77%,,
Normalized Net Income,12.13%,(6.74%),12.61%,(92.24%),(50.57%)
Interest Capitalized,33.33%,(75.00%),,,
