Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,7.65%,25.00%,(4.33%),(10.40%),1.28%
Total Revenues,7.65%,25.00%,(4.33%),(10.40%),1.28%
Depreciation & Amortization,3.84%,9.30%,(1.54%),8.04%,3.62%
Other Operating Expenses,16.77%,43.15%,6.27%,(27.06%),(19.51%)
Total Operating Expenses,8.82%,27.99%,2.73%,(17.99%),(11.83%)
Operating Income,2.35%,10.60%,(43.68%),66.87%,110.42%
"Interest Expense, Total",-2.36%,(2.91%),(12.17%),(24.81%),(2.57%)
Interest and Investment Income,750.00%,76.47%,100.00%,(66.67%),(66.67%)
Net Interest Expenses,-3.02%,(2.34%),(11.01%),(26.98%),(3.97%)
"EBT, Excl. Unusual Items",1.45%,18.01%,(52.93%),73.33%,161.96%
Gain (Loss) on Sale of Assets,,,(40.00%),0.00%,0.00%
Other Unusual Items,(22.09%),,,,
"EBT, Incl. Unusual Items",(1.21%),21.90%,(53.10%),66.33%,186.12%
Income Tax Expense,(19.71%),(81.42%),181.82%,45.16%,76.52%
Earnings From Continuing Operations,7.16%,56.93%,(62.53%),72.73%,240.25%
Net Income to Company,7.16%,56.93%,(62.53%),72.73%,240.25%
Minority Interest,-29.73%,(18.12%),-49.51%,,
Net Income,19.71%,64.68%,(64.39%),107.81%,130.79%
NI to Common Incl Extra Items,19.71%,64.68%,(64.39%),107.81%,130.79%
NI to Common Excl. Extra Items,19.71%,64.68%,(64.39%),107.81%,130.79%
Revenue Per Share,7.32%,24.84%,(6.73%),(23.49%),(5.02%)
Basic EPS,19.15%,64.72%,(65.26%),78.07%,116.42%
Basic EPS - Continuing Ops,19.15%,64.72%,(65.26%),78.07%,116.42%
Basic Weighted Average Shares Outst.,0.29%,0.14%,2.59%,17.10%,6.64%
Diluted EPS,18.27%,65.04%,(65.27%),80.14%,118.66%
Diluted EPS - Continuing Ops,18.27%,65.04%,(65.27%),80.14%,118.66%
Diluted Weighted Average Shares Outst.,0.90%,(0.14%),2.38%,15.88%,6.02%
Normalized Basic EPS,11.22%,17.99%,(54.76%),82.29%,72.77%
Normalized Diluted EPS,10.55%,17.94%,(54.79%),82.90%,73.77%
Dividend Per Share,4.84%,4.08%,12.25%,13.91%,3.53%
Payout Ratio,(12.20%),(36.37%),217.32%,(34.32%),
EBITDA,2.77%,10.23%,(31.83%),42.97%,69.27%
EBITA,1.90%,10.77%,(41.52%),64.71%,96.19%
EBIT,2.35%,10.60%,(43.68%),66.87%,110.42%
EBITDAR,2.42%,,,,
Effective Tax Rate,(18.71%),(84.76%),500.83%,(12.72%),(38.31%)
Normalized Net Income,11.77%,17.99%,(53.64%),112.65%,84.23%
