Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,2.23%,4.59%,7.58%,(11.00%),(12.09%)
Total Revenues,2.23%,4.59%,7.58%,(11.00%),(12.09%)
Cost Of Revenues,1.60%,4.41%,5.96%,(12.48%),(13.57%)
Gross Profit,4.54%,5.24%,13.33%,(6.13%),(7.26%)
Selling General & Admin Expenses,(2.91%),7.27%,16.72%,(4.55%),(7.36%)
Depreciation & Amortization,(11.36%),(7.26%),23.80%,5.10%,0.92%
Other Operating Expense/(Income),,10.14%,134.21%,(66.29%),
Total Operating Expenses,(3.86%),4.76%,17.73%,(4.70%),(5.29%)
Operating Income,54.84%,7.00%,(2.71%),(12.43%),(15.51%)
Interest Expense,(0.33%),-12.06%,(10.77%),-18.44%,-19.46%
Interest And Investment Income,2.56%,(20.00%),140.63%,(72.73%),(81.48%)
Net Interest Expenses,(0.27%),-11.85%,(7.63%),-15.51%,-15.91%
Currency Exchange Gains (Loss),(37.89%),-71.17%,(154.69%),-77.91%,-73.33%
Other Non Operating Income (Expenses),"(3,400.00%)",-11.43%,0.00%,-3.23%,
"EBT, Excl. Unusual Items",154.87%,29.41%,(11.63%),(6.18%),(8.96%)
"EBT, Incl. Unusual Items",,31.64%,,,(41.00%)
Income Tax Expense,,1.84%,109.42%,(94.16%),(81.18%)
Earnings From Continuing Operations,,43.82%,,,211.33%
Net Income to Company,,43.82%,,,222.45%
Net Income,,43.82%,,,222.45%
Preferred Dividend and Other Adjustments,,50.00%,,,
NI to Common Incl Extra Items,,43.81%,,,222.45%
NI to Common Excl. Extra Items,,43.81%,,,211.33%
Revenue Per Share,0.48%,3.85%,(7.44%),(13.58%),(12.15%)
Basic EPS,,43.31%,,,222.21%
Basic EPS - Continuing Ops,,43.31%,,,211.10%
Basic Weighted Average Shares Outst.,1.74%,0.71%,16.22%,2.99%,0.07%
Diluted EPS,,42.35%,,,219.60%
Diluted EPS - Continuing Ops,,42.35%,,,208.58%
Diluted Weighted Average Shares Outst.,2.61%,0.57%,15.40%,3.47%,0.40%
Normalized Basic EPS,149.04%,28.70%,(23.70%),(8.86%),(9.03%)
Normalized Diluted EPS,146.93%,29.20%,(23.70%),(9.29%),(9.32%)
EBITDA,20.21%,1.01%,4.09%,(6.74%),(10.48%)
EBITA,34.66%,3.50%,(1.23%),(10.74%),(13.78%)
EBIT,54.84%,7.00%,(2.71%),(12.43%),(15.51%)
EBITDAR,,,,(5.84%),
Effective Tax Rate,,(22.64%),,,(68.10%)
Normalized Net Income,154.87%,29.41%,(11.63%),(6.18%),(8.96%)
Interest on Long-Term Debt,,,,21.43%,
Foreign Sales,7.24%,2.06%,(5.89%),(5.87%),
