Income Statement,Jan 2018,Jan 2019,Jan 2020,Jan 2021,TTM
Revenues,1.98%,9.25%,0.84%,(13.41%),(13.41%)
Total Revenues,1.98%,9.25%,0.84%,(13.41%),(13.41%)
Cost Of Revenues,5.76%,7.05%,4.96%,(6.29%),(6.29%)
Gross Profit,(4.97%),13.76%,(7.10%),(28.89%),(28.89%)
Selling General & Admin Expenses,1.05%,5.44%,2.96%,(13.69%),(13.69%)
Total Operating Expenses,1.05%,5.44%,2.96%,(13.69%),(13.69%)
Operating Income,(20.87%),41.86%,(32.33%),(86.92%),(86.92%)
Interest Expense,,,-31.35%,(183.28%),0.00%
Interest And Investment Income,159.66%,95.33%,11.63%,(70.68%),(70.68%)
Net Interest Expenses,159.66%,59.44%,21.30%,,
Other Non Operating Income (Expenses),(47.59%),(3.94%),-53.63%,-89.46%,-89.46%
"EBT, Excl. Unusual Items",(20.34%),42.64%,(31.06%),(87.47%),(87.47%)
"EBT, Incl. Unusual Items",(22.70%),47.51%,(37.82%),(98.53%),(98.53%)
Income Tax Expense,27.61%,(42.82%),(18.19%),(96.82%),(96.82%)
Earnings From Continuing Operations,(50.37%),175.26%,(43.59%),(99.26%),(99.26%)
Net Income to Company,(50.37%),175.26%,(43.59%),(99.26%),(99.26%)
Net Income,(50.37%),175.26%,(43.59%),(99.26%),(99.26%)
NI to Common Incl Extra Items,(50.37%),175.26%,(43.59%),(99.26%),(99.26%)
NI to Common Excl. Extra Items,(50.37%),175.26%,(43.59%),(99.26%),(99.26%)
Revenue Per Share,6.52%,12.86%,9.39%,(11.61%),(11.62%)
Basic EPS,(48.26%),183.67%,(38.77%),(99.25%),(99.25%)
Basic EPS - Continuing Ops,(48.26%),183.67%,(38.77%),(99.25%),(99.25%)
Basic Weighted Average Shares Outst.,(4.27%),(3.20%),(7.82%),(2.02%),(2.02%)
Diluted EPS,(48.39%),183.33%,(38.60%),(99.40%),(99.40%)
Diluted EPS - Continuing Ops,(48.39%),183.33%,(38.60%),(99.40%),(99.40%)
Diluted Weighted Average Shares Outst.,(4.20%),(2.37%),(8.31%),(2.05%),(2.05%)
Normalized Basic EPS,(16.74%),47.72%,(25.36%),(87.22%),(87.21%)
Normalized Diluted EPS,(16.64%),45.84%,(24.92%),(87.23%),(87.21%)
EBITDA,(16.57%),26.19%,(25.77%),(63.37%),(63.37%)
EBITA,(20.87%),41.86%,(32.33%),(86.92%),(86.92%)
EBIT,(20.87%),41.86%,(32.33%),(86.92%),(86.92%)
EBITDAR,(9.71%),,,(34.94%),
Effective Tax Rate,65.05%,(61.24%),31.56%,116.92%,116.94%
Normalized Net Income,(20.34%),42.64%,(31.06%),(87.47%),(87.47%)
Foreign Sales,4.90%,10.55%,(0.46%),(17.94%),
