Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1153.0,1298.0,1860.0,2876.0,1577.0,1402.0
Other Revenues,,135.0,183.0,275.0,267.0,254.0
Total Revenues,1153.0,1433.0,2043.0,3151.0,1844.0,1656.0
Cost Of Revenues,499.0,668.0,943.0,1450.0,1115.0,1027.0
Gross Profit,654.0,765.0,1100.0,1701.0,729.0,629.0
Selling General & Admin Expenses,434.0,494.0,725.0,996.0,573.0,488.0
Depreciation & Amortization,21.0,21.0,62.0,141.0,123.0,132.0
Other Operating Expense/(Income),0.0,0.0,0.0,0.0,0.0,0.0
Total Operating Expenses,455.0,515.0,787.0,1137.0,696.0,620.0
Operating Income,199.0,250.0,313.0,564.0,33.0,9.0
Interest Expense,(9.0),(10.0),(54.0),(132.0),(150.0),(160.0)
Net Interest Expenses,(9.0),(10.0),(54.0),(132.0),(150.0),(160.0)
Currency Exchange Gains (Loss),,,,,(11.0),(11.0)
Other Non Operating Income (Expenses),1.0,6.0,17.0,(14.0),5.0,72.0
"EBT, Excl. Unusual Items",191.0,246.0,276.0,418.0,(123.0),(90.0)
"EBT, Incl. Unusual Items",198.0,240.0,103.0,225.0,(340.0),(213.0)
Income Tax Expense,76.0,5.0,51.0,83.0,(84.0),(37.0)
Earnings From Continuing Operations,122.0,235.0,52.0,142.0,(256.0),(176.0)
Net Income to Company,122.0,235.0,52.0,142.0,(256.0),(176.0)
Minority Interest,,,3.0,(4.0),(19.0),(21.0)
Net Income,122.0,235.0,55.0,138.0,(275.0),(197.0)
NI to Common Incl Extra Items,122.0,235.0,55.0,138.0,(275.0),(197.0)
NI to Common Excl. Extra Items,122.0,235.0,55.0,138.0,(275.0),(197.0)
Revenue Per Share,$41.33,$52.88,$61.35,$71.78,$44.65,$40.15
Basic EPS,$4.37,$8.67,$1.65,$3.14,($6.66),($4.78)
Basic EPS - Continuing Ops,$4.37,$8.67,$1.65,$3.14,($6.66),($4.78)
Basic Weighted Average Shares Outst.,27.9,27.1,33.3,43.9,41.3,41.2
Diluted EPS,$4.29,$8.49,$1.61,$3.09,($6.66),($4.78)
Diluted EPS - Continuing Ops,$4.29,$8.49,$1.61,$3.09,($6.66),($4.78)
Diluted Weighted Average Shares Outst.,28.4,27.7,34.0,44.5,41.3,41.2
Normalized Basic EPS,$4.28,$5.67,$5.27,$5.86,($2.32),($1.87)
Normalized Diluted EPS,$4.20,$5.55,$5.16,$5.78,($2.32),($1.87)
Dividend Per Share,$1.25,$1.45,$1.65,$1.89,$0.54,$0.00
Payout Ratio,27.87%,16.17%,92.73%,58.70%,NM,NM
EBITDA,220.0,271.0,375.0,705.0,156.0,141.0
EBITA,199.0,250.0,332.0,623.0,90.0,66.0
EBIT,199.0,250.0,313.0,564.0,33.0,9.0
EBITDAR,232.0,,,743.0,194.0,
Effective Tax Rate,38.4%,2.1%,49.5%,36.9%,NM,NM
Normalized Net Income,119.4,153.8,175.5,257.3,(95.9),(77.3)
Interest on Long-Term Debt,24.0,28.0,50.0,67.0,70.0,
Foreign Sales,190.0,186.0,263.0,341.0,180.0,
