Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(0.47%),(5.15%),(1.31%),(13.48%),(7.02%)
Total Revenues,(0.47%),(5.15%),(1.31%),(13.48%),(7.02%)
Cost Of Revenues,(1.85%),(3.09%),1.79%,(12.07%),(5.99%)
Gross Profit,7.68%,(16.29%),(20.68%),(24.85%),(15.34%)
Selling General & Admin Expenses,0.48%,(10.90%),9.04%,(10.73%),(13.00%)
Total Operating Expenses,0.94%,(11.21%),11.05%,(12.80%),(15.05%)
Operating Income,13.52%,(20.22%),(47.96%),(46.96%),(15.89%)
Interest Expense,(16.67%),-33.33%,-7.14%,(23.08%),(23.08%)
Interest And Investment Income,(16.67%),40.00%,(42.86%),25.00%,25.00%
Net Interest Expenses,(33.33%),-56.25%,(28.57%),(22.22%),(22.22%)
"EBT, Excl. Unusual Items",14.53%,(15.30%),(50.66%),(50.00%),(17.65%)
"EBT, Incl. Unusual Items",38.51%,(3.14%),(50.93%),,(34.38%)
Income Tax Expense,60.00%,(10.42%),(44.19%),16.67%,2.94%
Earnings From Continuing Operations,33.59%,(1.14%),(52.60%),,(76.67%)
Earnings Of Discontinued Operations,,(94.12%),,,
Net Income to Company,110.99%,(9.38%),(53.45%),,(75.86%)
Minority Interest,0.00%,-37.50%,(10.00%),-27.27%,(50.00%)
Net Income,134.67%,(6.82%),(57.32%),,
NI to Common Incl Extra Items,134.67%,(6.82%),(57.32%),,
NI to Common Excl. Extra Items,38.26%,2.52%,(56.44%),,
Revenue Per Share,10.24%,1.60%,3.61%,(12.86%),(6.60%)
Basic EPS,160.26%,(0.19%),(55.20%),,
Basic EPS - Continuing Ops,52.94%,9.85%,(54.31%),,
Basic Weighted Average Shares Outst.,(9.71%),(6.65%),(4.75%),(0.71%),(0.45%)
Diluted EPS,157.92%,0.98%,(54.99%),,
Diluted EPS - Continuing Ops,52.00%,11.13%,(54.10%),,
Diluted Weighted Average Shares Outst.,(9.04%),(7.76%),(5.05%),(1.06%),(0.62%)
Normalized Basic EPS,28.88%,(6.67%),(53.03%),(53.92%),(27.03%)
Normalized Diluted EPS,27.85%,(5.53%),(52.88%),(53.70%),(26.90%)
EBITDA,11.11%,(15.28%),(32.46%),(24.27%),(5.56%)
EBITA,11.97%,(18.62%),(44.49%),(42.75%),(12.61%)
EBIT,13.52%,(20.22%),(47.96%),(46.96%),(15.89%)
EBITDAR,,,,(20.16%),
Effective Tax Rate,15.54%,(7.49%),13.72%,,56.86%
Normalized Net Income,16.31%,(12.95%),(55.26%),(54.24%),(27.35%)
R&D Expense From Footnotes,(3.26%),11.92%,1.85%,(23.86%),(27.08%)
Foreign Sales,0.59%,(14.24%),(0.72%),(12.31%),
