Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,8.89%,0.41%,0.36%,4.64%,8.99%
Total Revenues,8.89%,0.41%,0.36%,4.64%,8.99%
Cost Of Revenues,10.99%,0.31%,0.66%,1.86%,7.86%
Gross Profit,3.01%,0.70%,(0.57%),13.12%,12.25%
Selling General & Admin Expenses,1.37%,0.50%,7.10%,9.25%,8.75%
R&D Expenses,39.76%,(0.86%),20.87%,53.96%,53.96%
Total Operating Expenses,2.15%,0.46%,7.48%,10.62%,10.12%
Operating Income,4.42%,1.09%,(13.23%),17.99%,16.27%
Interest Expense,(0.53%),-0.91%,-9.23%,(2.30%),(1.91%)
Interest And Investment Income,52.56%,(1.46%),(15.55%),(39.78%),(60.67%)
Net Interest Expenses,-3.38%,-0.85%,-8.49%,(6.88%),(9.15%)
Currency Exchange Gains (Loss),,,21.48%,(80.32%),
Other Non Operating Income (Expenses),,-70.88%,,,
"EBT, Excl. Unusual Items",3.93%,2.41%,(13.40%),16.36%,14.46%
"EBT, Incl. Unusual Items",3.63%,(32.89%),30.34%,(4.05%),(1.26%)
Income Tax Expense,152.35%,(57.03%),4.70%,3.90%,1.39%
Earnings From Continuing Operations,(31.43%),(11.93%),41.20%,(6.55%),(2.10%)
Net Income to Company,(31.43%),(11.93%),41.20%,(6.55%),(2.10%)
Minority Interest,(17.83%),-2.04%,-4.33%,-74.44%,-63.43%
Net Income,(32.90%),(12.45%),43.86%,(3.90%),(0.30%)
NI to Common Incl Extra Items,(32.90%),(12.45%),43.86%,(3.90%),(0.30%)
NI to Common Excl. Extra Items,(32.90%),(12.45%),43.86%,(3.90%),(0.30%)
Revenue Per Share,9.09%,1.37%,3.35%,6.33%,10.55%
Basic EPS,(32.79%),(11.58%),48.24%,(2.36%),1.13%
Basic EPS - Continuing Ops,(32.79%),(11.58%),48.24%,(2.36%),1.13%
Basic Weighted Average Shares Outst.,(0.19%),(0.95%),(2.90%),(1.59%),(1.41%)
Diluted EPS,(33.03%),(11.35%),48.57%,(2.38%),0.99%
Diluted EPS - Continuing Ops,(33.03%),(11.35%),48.57%,(2.38%),0.99%
Diluted Weighted Average Shares Outst.,0.13%,(1.28%),(3.02%),(1.58%),(1.25%)
Normalized Basic EPS,3.54%,3.62%,(11.17%),22.69%,18.91%
Normalized Diluted EPS,3.27%,4.04%,(11.18%),22.74%,18.71%
Dividend Per Share,0.00%,0.00%,0.00%,20.00%,17.46%
Payout Ratio,48.17%,13.76%,(32.72%),17.71%,18.50%
EBITDA,4.09%,0.21%,(10.26%),13.47%,12.54%
EBITA,4.15%,0.82%,(11.53%),16.71%,14.94%
EBIT,4.42%,1.09%,(13.23%),17.99%,16.27%
EBITDAR,,,,12.48%,
Effective Tax Rate,143.50%,(35.98%),(19.66%),8.30%,2.69%
Normalized Net Income,3.37%,2.62%,(13.79%),20.77%,17.23%
R&D Expense From Footnotes,39.76%,(0.86%),20.87%,53.96%,53.96%
Foreign Sales,5.76%,(5.50%),(9.29%),9.18%,
