Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Interest Income On Loans,3.62%,9.62%,10.14%,(3.94%),(6.87%)
Total Interest Income,2.26%,10.60%,10.61%,(7.48%),(11.16%)
Interest On Deposits,(0.88%),39.35%,68.59%,(17.92%),(48.42%)
Total Interest On Borrowings,1.42%,(3.87%),9.19%,(24.56%),(17.97%)
Total Interest Expense,0.38%,15.34%,41.10%,(20.30%),(38.55%)
Net Interest Income,2.78%,9.31%,1.89%,(2.40%),(0.50%)
Service Charges On Deposits,4.16%,14.40%,(3.95%),(4.79%),(7.14%)
Gain (Loss) on Sale of Assets,,,,200.98%,(100.00%)
Gain (Loss) on Sale of Invest. & Securities,,,,,(100.00%)
Total Other Non Interest Income,21.28%,(30.30%),49.91%,15.07%,33.68%
Total Non Interest Income,11.01%,(15.58%),41.38%,61.70%,(37.83%)
Revenue Before Loan Losses,3.61%,6.63%,5.26%,4.95%,(7.31%)
Provision For Loan Losses,-66.40%,(159.52%),-69.72%,,696.08%
Total Revenues,2.68%,7.29%,4.48%,0.64%,(10.38%)
Salaries And Other Employee Benefits,(2.71%),11.69%,8.03%,9.98%,11.69%
Total Selling General & Admin Expenses,2.80%,8.34%,9.14%,12.37%,1.85%
Total Other Non Interest Expense,(5.32%),32.81%,6.98%,3.89%,(5.69%)
Total Non Interest Expense,2.05%,14.95%,6.74%,9.70%,5.15%
"EBT, Excl. Unusual Items",3.26%,0.40%,2.15%,(9.09%),(26.89%)
Other Unusual Items,,,,,-0.15%
"EBT, Incl. Unusual Items",3.26%,0.40%,2.15%,(16.59%),(26.64%)
Income Tax Expense,(1.67%),(35.43%),(1.64%),(12.89%),(24.01%)
Earnings From Continuing Operations,5.78%,17.47%,3.14%,(17.51%),(27.29%)
Net Income to Company,5.78%,17.47%,3.14%,(17.51%),(27.29%)
Net Income,5.78%,17.47%,3.14%,(17.51%),(27.29%)
Net Income to Common Incl Extra Items,5.78%,17.47%,3.14%,(17.51%),(28.59%)
Net Income to Common Excl. Extra Items,5.78%,17.47%,3.14%,(17.51%),(28.59%)
Revenue Per Share,5.58%,12.19%,10.31%,5.61%,(6.82%)
Basic EPS,9.04%,22.97%,8.87%,(13.39%),(25.75%)
Basic EPS - Continuing Ops,9.04%,22.97%,8.87%,(13.39%),(25.75%)
Basic Weighted Average Shares Outst.,(2.73%),(4.38%),(5.34%),(4.66%),(3.82%)
Diluted EPS,8.99%,23.61%,8.75%,(13.41%),(25.71%)
Diluted EPS - Continuing Ops,8.99%,23.61%,8.75%,(13.41%),(25.71%)
Diluted Weighted Average Shares Outst.,(2.93%),(4.61%),(5.42%),(4.68%),(3.86%)
Normalized Basic EPS,5.95%,5.07%,7.98%,(4.60%),(23.99%)
Normalized Diluted EPS,6.20%,5.53%,7.95%,(4.61%),(23.96%)
Dividend Per Share,7.14%,16.67%,17.14%,7.32%,4.65%
Payout Ratio,41.12%,(36.03%),9.63%,27.33%,39.87%
Effective Tax Rate,(4.78%),(35.68%),(3.73%),4.41%,3.58%
Normalized Net Income,3.26%,0.40%,2.15%,(9.09%),(26.89%)
Interest on Long-Term Debt,1.42%,(3.87%),9.19%,(24.56%),
