Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,864.6,1034.5,1240.7,1486.5,1346.9,1332.2
Other Revenues,147.9,214.0,251.9,221.1,206.5,200.2
Total Revenues,1012.5,1248.6,1492.6,1707.6,1553.4,1532.4
Cost Of Revenues,350.1,351.0,363.1,457.5,466.3,468.6
Gross Profit,662.4,897.6,1129.5,1250.1,1087.0,1063.9
Selling General & Admin Expenses,281.7,347.0,436.1,517.9,558.8,592.8
Depreciation & Amortization,141.7,203.7,199.8,237.1,261.9,263.8
Other Operating Expense/(Income),11.7,25.0,38.4,25.8,17.3,11.5
Total Operating Expenses,468.5,639.9,740.7,846.5,916.5,917.6
Operating Income,193.9,257.6,388.8,403.6,170.6,146.3
Interest Expense,(70.5),(105.8),(101.3),(170.0),(184.6),(185.9)
Net Interest Expenses,(70.5),(105.8),(101.3),(170.0),(184.6),(185.9)
Currency Exchange Gains (Loss),(9.2),31.5,(38.8),(0.9),(25.8),0.2
Other Non Operating Income (Expenses),(0.6),15.3,(2.0),1.6,1.0,40.1
"EBT, Excl. Unusual Items",113.7,198.6,246.8,234.3,(38.8),0.7
"EBT, Incl. Unusual Items",48.9,174.4,238.6,216.5,(301.1),(261.6)
Income Tax Expense,28.6,15.5,68.8,61.2,(20.6),(16.6)
Earnings From Continuing Operations,20.3,159.0,169.8,155.3,(280.5),(245.0)
Net Income to Company,20.3,159.0,169.8,155.3,(280.5),(245.0)
Minority Interest,3.2,1.1,(1.5),(56.3),36.8,37.5
Net Income,23.5,160.1,168.3,99.0,(243.6),(207.5)
NI to Common Incl Extra Items,23.5,160.1,168.3,99.0,(243.6),(229.9)
NI to Common Excl. Extra Items,23.5,160.1,168.3,99.0,(243.6),(229.9)
Revenue Per Share,$24.81,$29.05,$34.59,$39.42,$35.43,$34.77
Basic EPS,$0.58,$3.72,$3.90,$2.29,($5.56),($5.22)
Basic EPS - Continuing Ops,$0.58,$3.72,$3.90,$2.29,($5.56),($5.22)
Basic Weighted Average Shares Outst.,40.8,43.0,43.2,43.3,43.8,44.1
Diluted EPS,$0.57,$3.71,$3.86,$2.26,($5.56),($5.23)
Diluted EPS - Continuing Ops,$0.57,$3.71,$3.86,$2.26,($5.56),($5.23)
Diluted Weighted Average Shares Outst.,40.9,43.1,43.6,43.8,43.8,44.1
Normalized Basic EPS,$1.82,$2.91,$3.54,$2.08,$0.29,$0.86
Normalized Diluted EPS,$1.81,$2.91,$3.51,$2.06,$0.29,$0.86
EBITDA,308.0,428.8,550.0,582.9,360.1,318.2
EBITA,291.8,411.4,527.0,563.1,341.7,146.3
EBIT,193.9,257.6,388.8,403.6,170.6,146.3
EBITDAR,323.1,444.3,565.7,601.2,378.3,
Effective Tax Rate,58.4%,8.9%,28.9%,28.3%,NM,NM
Normalized Net Income,74.2,125.2,152.7,90.2,12.6,37.9
R&D Expense From Footnotes,27.6,32.6,38.6,57.8,72.4,72.4
Foreign Sales,172.6,211.3,205.2,187.7,158.7,
