Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,29.03%,14.90%,30.35%,24.61%,27.53%
Total Revenues,29.03%,14.90%,30.35%,24.61%,27.53%
Cost Of Revenues,56.22%,7.50%,42.93%,25.55%,25.52%
Gross Profit,12.44%,21.17%,20.89%,23.77%,29.40%
Selling General & Admin Expenses,1.00%,27.74%,28.52%,15.52%,18.84%
Depreciation & Amortization,12.23%,27.75%,27.15%,37.09%,34.62%
Total Operating Expenses,1.90%,27.74%,28.40%,17.40%,20.29%
Operating Income,27.31%,13.74%,11.35%,33.09%,42.21%
Interest Expense,(16.72%),(97.29%),(69.28%),-2.07%,-2.68%
Net Interest Expenses,(16.72%),(97.29%),(69.28%),-2.07%,-2.68%
"EBT, Excl. Unusual Items",29.63%,(1.18%),(9.29%),56.47%,69.53%
"EBT, Incl. Unusual Items",30.90%,(6.31%),(4.32%),4.57%,21.31%
Income Tax Expense,(41.35%),8.45%,1.56%,(31.23%),(8.61%)
Earnings From Continuing Operations,73.87%,(9.28%),(5.72%),13.82%,29.15%
Net Income to Company,73.87%,(9.28%),(5.72%),13.82%,29.15%
Net Income,73.87%,(9.28%),(5.72%),13.82%,29.15%
NI to Common Incl Extra Items,73.87%,(9.28%),(5.72%),13.82%,29.15%
NI to Common Excl. Extra Items,73.87%,(9.28%),(5.72%),13.82%,29.15%
Revenue Per Share,27.24%,14.17%,29.55%,23.79%,26.66%
Basic EPS,71.83%,(9.39%),(5.93%),12.48%,28.27%
Basic EPS - Continuing Ops,71.83%,(9.39%),(5.93%),12.48%,28.27%
Basic Weighted Average Shares Outst.,1.35%,0.71%,0.63%,0.63%,0.69%
Diluted EPS,74.47%,(10.98%),(5.48%),13.04%,28.38%
Diluted EPS - Continuing Ops,74.47%,(10.98%),(5.48%),13.04%,28.38%
Diluted Weighted Average Shares Outst.,1.52%,0.55%,0.28%,0.45%,0.45%
Normalized Basic EPS,28.94%,(2.05%),(10.25%),54.77%,68.37%
Normalized Diluted EPS,27.19%,(1.64%),(9.54%),56.56%,68.77%
Dividend Per Share,,128.57%,25.00%,25.00%,26.19%
Payout Ratio,,114.96%,56.94%,15.16%,5.15%
EBITDA,25.78%,15.01%,12.94%,33.54%,41.35%
EBITA,26.30%,15.14%,11.23%,31.12%,39.85%
EBIT,27.31%,13.74%,11.35%,33.09%,42.21%
EBITDAR,,,,32.66%,
Effective Tax Rate,(55.20%),15.75%,6.14%,(34.25%),(24.66%)
Normalized Net Income,29.63%,(1.18%),(9.29%),56.47%,69.53%
