Income Statement,Jan 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,4.10%,7.17%,3.99%,15.01%,15.01%
Total Revenues,4.10%,7.17%,3.99%,15.01%,15.01%
Cost Of Revenues,5.00%,6.25%,5.27%,10.02%,10.02%
Gross Profit,2.57%,8.76%,1.81%,23.77%,23.77%
Selling General & Admin Expenses,4.93%,12.53%,0.83%,1.51%,1.51%
Total Operating Expenses,4.93%,12.53%,0.83%,1.51%,1.51%
Operating Income,(4.38%),(3.38%),5.50%,103.74%,103.74%
Interest Expense,(99.42%),(388.78%),(32.02%),(83.34%),(83.34%)
Net Interest Expenses,(99.42%),(388.78%),(32.02%),(83.34%),(83.34%)
Currency Exchange Gains (Loss),-10.50%,,(99.30%),(39.29%),(39.29%)
"EBT, Excl. Unusual Items",(4.48%),(3.00%),4.13%,104.13%,104.13%
"EBT, Incl. Unusual Items",(4.13%),(5.13%),6.47%,95.72%,95.72%
Income Tax Expense,15.84%,(50.46%),5.65%,111.72%,111.72%
Earnings From Continuing Operations,(15.01%),28.56%,6.71%,91.18%,91.18%
Net Income to Company,(15.01%),28.56%,6.71%,91.18%,91.18%
Net Income,(15.01%),28.56%,6.71%,91.18%,91.18%
NI to Common Incl Extra Items,(15.01%),28.56%,6.71%,91.18%,91.18%
NI to Common Excl. Extra Items,(15.01%),28.56%,6.71%,91.18%,91.18%
Revenue Per Share,7.76%,12.66%,8.40%,16.27%,16.27%
Basic EPS,(12.11%),35.26%,11.19%,93.22%,93.28%
Basic EPS - Continuing Ops,(12.11%),35.26%,11.19%,93.22%,93.28%
Basic Weighted Average Shares Outst.,(3.39%),(4.87%),(4.07%),(1.09%),(1.09%)
Diluted EPS,(11.44%),34.11%,10.86%,91.76%,91.76%
Diluted EPS - Continuing Ops,(11.44%),34.11%,10.86%,91.76%,91.76%
Diluted Weighted Average Shares Outst.,(3.78%),(4.34%),(3.78%),(0.21%),(0.21%)
Normalized Basic EPS,(1.09%),2.09%,8.52%,106.20%,106.37%
Normalized Diluted EPS,(0.75%),1.26%,8.27%,104.31%,104.57%
Dividend Per Share,5.41%,10.26%,11.63%,5.21%,5.21%
Payout Ratio,18.95%,(19.16%),0.61%,(45.26%),(45.26%)
EBITDA,(1.70%),(1.52%),3.68%,74.08%,74.08%
EBITA,(4.38%),(3.38%),5.50%,103.74%,103.74%
EBIT,(4.38%),(3.38%),5.50%,103.74%,103.74%
EBITDAR,,,,43.59%,
Effective Tax Rate,20.81%,(47.78%),(0.76%),8.18%,8.18%
Normalized Net Income,(4.48%),(3.00%),4.13%,104.13%,104.13%
Foreign Sales,2.18%,5.67%,5.42%,(5.44%),
