Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,741.0,868.9,1060.2,1240.5,1177.3,1155.5
Total Interest Income,812.5,946.5,1170.8,1385.1,1293.0,1254.4
Interest On Deposits,58.4,83.3,166.6,278.9,189.2,149.7
Total Interest On Borrowings,31.9,31.1,39.4,51.3,63.9,64.4
Total Interest Expense,90.3,114.4,205.9,330.2,253.1,214.1
Net Interest Income,722.2,832.1,964.9,1054.9,1039.9,1040.4
Service Charges On Deposits,31.2,34.5,36.4,39.1,45.0,45.8
Trust Income,76.0,81.8,91.0,97.1,100.3,103.7
Total Mortgage Banking Activities,128.7,113.5,137.0,154.3,346.0,411.2
Income From Trading Activities,0.1,(0.8),0.0,(0.2),(1.0),(0.1)
Gain (Loss) on Sale of Invest. & Securities,7.6,0.0,(2.9),3.5,(1.9),3.6
Total Other Non Interest Income,77.4,89.3,89.1,108.3,110.4,108.1
Total Non Interest Income,321.1,318.3,350.6,402.2,598.8,672.2
Revenue Before Loan Losses,1043.3,1150.4,1315.5,1457.1,1638.7,1712.6
Provision For Loan Losses,34.1,29.8,34.8,53.9,214.2,115.9
Total Revenues,1009.2,1120.6,1280.6,1403.2,1424.5,1596.7
Salaries And Other Employee Benefits,395.9,417.2,466.6,535.1,631.0,674.4
Amort. of Goodwill & Intang. Assets,4.8,4.4,4.6,11.8,11.0,10.2
Occupancy Expense,33.5,52.9,57.8,64.3,70.0,71.0
Total Selling General & Admin Expenses,151.0,165.5,194.2,203.3,195.4,199.2
Total Other Non Interest Expense,75.3,72.0,79.6,100.8,108.6,108.4
Total Non Interest Expense,681.7,731.8,826.1,928.1,1040.1,1090.3
"EBT, Excl. Unusual Items",327.5,388.8,454.6,475.1,384.4,506.3
Other Unusual Items,4.3,1.2,0.6,0.0,0.6,(0.1)
"EBT, Incl. Unusual Items",331.9,390.0,460.1,480.1,389.8,509.6
Income Tax Expense,125.0,132.3,117.0,124.4,96.8,126.2
Earnings From Continuing Operations,206.9,257.7,343.2,355.7,293.0,383.3
Net Income to Company,206.9,257.7,343.2,355.7,293.0,383.3
Net Income,206.9,257.7,343.2,355.7,293.0,383.3
Preferred Dividend and Other Adjustments,14.5,9.8,8.2,8.2,21.4,26.3
Net Income to Common Incl Extra Items,192.4,247.9,335.0,347.5,271.6,357.0
Net Income to Common Excl. Extra Items,192.4,247.9,335.0,347.5,271.6,357.0
Revenue Per Share,$20.07,$20.48,$22.75,$24.68,$24.76,$27.84
Basic EPS,$3.83,$4.53,$5.95,$6.11,$4.72,$6.23
Basic EPS - Continuing Ops,$3.83,$4.53,$5.95,$6.11,$4.72,$6.23
Basic Weighted Average Shares Outst.,50.3,54.7,56.3,56.9,57.5,57.3
Diluted EPS,$3.66,$4.40,$5.86,$6.03,$4.68,$6.17
Diluted EPS - Continuing Ops,$3.66,$4.40,$5.86,$6.03,$4.68,$6.17
Diluted Weighted Average Shares Outst.,54.3,56.7,57.2,57.6,58.0,57.9
Normalized Basic EPS,$4.07,$4.44,$5.05,$5.22,$4.18,$5.52
Normalized Diluted EPS,$3.77,$4.29,$4.97,$5.15,$4.14,$5.47
Dividend Per Share,$0.48,$0.56,$0.76,$1.00,$1.12,$1.15
Payout Ratio,18.64%,15.73%,14.86%,18.30%,29.31%,
Effective Tax Rate,37.7%,33.9%,25.4%,25.9%,24.8%,24.8%
Normalized Net Income,204.7,243.0,284.1,296.9,240.3,316.5
Interest on Long-Term Debt,27.5,25.7,30.8,37.4,51.3,
