Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,3.74%,10.83%,24.69%,(13.95%),(25.78%)
Total Revenues,3.74%,10.83%,24.69%,(13.95%),(25.78%)
Cost Of Revenues,3.87%,11.71%,28.49%,(15.38%),(25.58%)
Gross Profit,3.38%,8.45%,14.23%,(9.51%),(26.38%)
Selling General & Admin Expenses,1.67%,8.24%,9.52%,(5.05%),(4.84%)
R&D Expenses,1.16%,17.20%,7.30%,(16.32%),(18.03%)
Total Operating Expenses,1.45%,12.00%,8.55%,(9.94%),(10.39%)
Operating Income,5.64%,4.48%,21.05%,(9.05%),(41.32%)
Interest Expense,(2.44%),(15.82%),(8.77%),,
Interest And Investment Income,(14.81%),(2.96%),(15.59%),24.84%,141.73%
Net Interest Expenses,(3.85%),(17.08%),(10.13%),,
Other Non Operating Income (Expenses),71.93%,,,159.34%,"1,609.36%"
"EBT, Excl. Unusual Items",4.61%,1.07%,28.09%,3.79%,(31.73%)
"EBT, Incl. Unusual Items",11.59%,(13.12%),46.01%,(12.08%),(29.16%)
Income Tax Expense,14.44%,(24.96%),55.64%,(32.00%),(44.05%)
Earnings From Continuing Operations,10.88%,(10.04%),43.92%,(7.40%),(25.94%)
Net Income to Company,10.88%,(10.04%),43.92%,(7.40%),(25.94%)
Net Income,10.88%,(10.04%),43.92%,(7.40%),(25.94%)
NI to Common Incl Extra Items,10.88%,(10.04%),43.92%,(7.40%),(25.94%)
NI to Common Excl. Extra Items,10.88%,(10.04%),43.92%,(7.40%),(25.94%)
Revenue Per Share,4.62%,10.59%,23.78%,(14.40%),(26.62%)
Basic EPS,11.90%,(10.30%),43.02%,(7.86%),(26.78%)
Basic EPS - Continuing Ops,11.90%,(10.30%),43.02%,(7.86%),(26.78%)
Basic Weighted Average Shares Outst.,(0.85%),0.21%,0.74%,0.51%,1.14%
Diluted EPS,10.88%,(10.76%),42.55%,(6.97%),(25.93%)
Diluted EPS - Continuing Ops,10.88%,(10.76%),42.55%,(6.97%),(25.93%)
Diluted Weighted Average Shares Outst.,(0.07%),0.57%,0.97%,(0.45%),(0.19%)
Normalized Basic EPS,5.73%,0.76%,27.11%,3.39%,(32.50%)
Normalized Diluted EPS,4.77%,0.57%,27.05%,4.10%,(31.60%)
Dividend Per Share,12.79%,12.76%,14.55%,(3.97%),(47.07%)
Payout Ratio,0.85%,27.11%,(20.17%),4.10%,(27.66%)
EBITDA,8.10%,13.50%,21.41%,(8.63%),(30.73%)
EBITA,4.48%,10.52%,21.62%,(11.95%),(37.41%)
EBIT,5.64%,4.48%,21.05%,(9.05%),(41.32%)
EBITDAR,8.21%,13.20%,20.78%,(8.61%),
Effective Tax Rate,2.57%,(13.63%),6.61%,(22.66%),(21.01%)
Normalized Net Income,4.61%,1.07%,28.09%,3.79%,(31.73%)
Interest Capitalized,(63.19%),8.91%,(64.38%),(82.54%),
R&D Expense From Footnotes,0.28%,17.20%,7.30%,(16.32%),(18.03%)
Foreign Sales,(1.93%),9.97%,30.45%,(15.95%),
