Income Statement,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,12.19%,15.85%,(6.66%),(2.49%),(9.72%)
Total Revenues,12.19%,15.85%,(6.66%),(2.49%),(9.72%)
Cost Of Revenues,6.02%,5.45%,(3.47%),(7.72%),(20.32%)
Gross Profit,18.30%,25.09%,(9.04%),1.65%,(1.02%)
Selling General & Admin Expenses,7.10%,15.87%,3.43%,11.02%,10.74%
Total Operating Expenses,7.10%,15.87%,3.43%,11.02%,10.74%
Operating Income,39.75%,38.61%,(24.34%),(14.07%),(21.07%)
Interest Expense,-2.06%,(26.21%),-4.97%,-8.84%,-8.16%
Net Interest Expenses,-2.06%,(26.21%),-4.97%,-8.84%,-8.16%
Currency Exchange Gains (Loss),-69.03%,,,,
Other Non Operating Income (Expenses),,,-31.81%,-80.15%,
"EBT, Excl. Unusual Items",98.95%,45.82%,(35.55%),(17.82%),(30.91%)
"EBT, Incl. Unusual Items",72.45%,68.23%,(38.15%),(38.72%),(53.66%)
Income Tax Expense,,,53.77%,(44.59%),(69.51%)
Earnings From Continuing Operations,141.98%,36.89%,(46.57%),(37.18%),(49.34%)
Net Income to Company,141.98%,36.89%,(46.57%),(37.18%),(49.34%)
Minority Interest,(4.37%),(8.12%),(6.63%),(77.51%),(64.52%)
Net Income,141.53%,36.84%,(46.54%),(37.23%),(49.36%)
NI to Common Incl Extra Items,141.53%,36.84%,(46.54%),(37.23%),(49.36%)
NI to Common Excl. Extra Items,141.53%,36.84%,(46.54%),(37.23%),(49.36%)
Revenue Per Share,11.14%,12.42%,(7.90%),(3.46%),(10.98%)
Basic EPS,139.80%,32.91%,(47.33%),(37.83%),(50.07%)
Basic EPS - Continuing Ops,139.80%,32.91%,(47.33%),(37.83%),(50.07%)
Basic Weighted Average Shares Outst.,0.92%,3.03%,1.37%,0.98%,1.42%
Diluted EPS,133.01%,32.92%,(46.08%),(37.79%),(49.83%)
Diluted EPS - Continuing Ops,133.01%,32.92%,(46.08%),(37.79%),(49.83%)
Diluted Weighted Average Shares Outst.,3.57%,2.74%,(0.81%),0.68%,1.10%
Normalized Basic EPS,96.29%,41.36%,(36.27%),(18.96%),(31.92%)
Normalized Diluted EPS,91.96%,41.44%,(35.05%),(18.71%),(31.70%)
EBITDA,30.80%,30.63%,(21.64%),(10.53%),(16.67%)
EBITA,33.86%,31.99%,(22.57%),(12.64%),(28.13%)
EBIT,39.75%,38.61%,(24.34%),(14.07%),(21.07%)
EBITDAR,26.97%,27.67%,(18.15%),(9.81%),
Effective Tax Rate,,,148.51%,(9.59%),(34.22%)
Normalized Net Income,98.55%,45.72%,(35.52%),(17.92%),(30.96%)
Interest on Long-Term Debt,7.61%,14.86%,(4.97%),(8.84%),
Foreign Sales,9.36%,(98.17%),226.42%,(26.00%),
