Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1257.3,1917.8,2338.8,2364.4,1560.5,1767.2
Other Revenues,0.1,0.5,0.2,(1.4),(1.9),(1.9)
Total Revenues,1257.3,1918.2,2339.0,2363.0,1558.6,1765.2
Cost Of Revenues,454.5,529.7,536.0,557.7,480.0,478.4
Gross Profit,802.8,1388.6,1803.0,1805.3,1078.6,1286.8
Selling General & Admin Expenses,73.9,80.0,77.8,139.7,124.6,124.3
Depreciation & Amortization,392.3,446.0,590.5,882.2,696.0,591.3
Other Operating Expense/(Income),126.3,85.6,61.9,235.3,130.7,528.4
Total Operating Expenses,617.1,637.9,753.1,1283.5,981.2,1276.1
Operating Income,185.8,750.7,1050.0,521.8,97.4,10.7
Interest Expense,(62.0),(51.9),(47.4),(37.2),(42.9),(44.4)
Interest And Investment Income,3.7,,,3.3,0.7,0.7
Net Interest Expenses,(58.3),(51.9),(47.4),(33.9),(42.2),(43.7)
Other Non Operating Income (Expenses),7.0,11.3,22.9,2.4,(0.2),(0.9)
"EBT, Excl. Unusual Items",134.5,710.2,1025.5,490.4,55.1,(33.9)
"EBT, Incl. Unusual Items",(623.2),682.0,1022.5,(151.0),"(2,326.4)","(1,367.3)"
Income Tax Expense,(214.4),187.7,230.7,(26.4),(358.9),(302.2)
Earnings From Continuing Operations,(408.8),494.3,791.9,(124.6),"(1,967.5)","(1,065.1)"
Net Income to Company,(408.8),494.3,791.9,(124.6),"(1,967.5)","(1,065.1)"
Net Income,(408.8),494.3,791.9,(124.6),"(1,967.5)","(1,065.1)"
Preferred Dividend and Other Adjustments,,8.6,11.1,6.6,4.9,4.9
NI to Common Incl Extra Items,(408.8),485.8,780.8,(131.2),"(1,972.3)","(1,070.0)"
NI to Common Excl. Extra Items,(408.8),485.8,780.8,(131.2),"(1,972.3)","(1,070.0)"
Revenue Per Share,$13.46,$20.52,$24.94,$23.92,$15.59,$17.65
Basic EPS,($4.38),$5.20,$8.32,($1.33),($19.73),($10.70)
Basic EPS - Continuing Ops,($4.38),$5.20,$8.32,($1.33),($19.73),($10.70)
Basic Weighted Average Shares Outst.,93.4,93.5,93.8,98.8,100.0,100.0
Diluted EPS,($4.38),$5.20,$8.32,($1.33),($19.73),($10.71)
Diluted EPS - Continuing Ops,($4.38),$5.20,$8.32,($1.33),($19.73),($10.71)
Diluted Weighted Average Shares Outst.,93.4,93.5,93.8,98.8,100.0,100.0
Normalized Basic EPS,$0.90,$4.75,$6.83,$3.10,$0.34,($0.21)
Normalized Diluted EPS,$0.90,$4.75,$6.83,$3.10,$0.34,($0.21)
Dividend Per Share,$0.32,$0.32,$0.68,$0.80,$0.88,$0.93
Payout Ratio,NM,6.18%,6.98%,NM,NM,NM
EBITDA,578.1,1196.7,1640.4,1411.4,800.9,609.5
EBITA,185.8,750.7,1050.0,529.3,104.9,18.2
EBIT,185.8,750.7,1050.0,521.8,97.4,10.7
EBITDAR,591.0,,,1455.3,843.2,
Effective Tax Rate,NM,27.5%,22.6%,NM,NM,NM
Normalized Net Income,84.0,443.9,640.9,306.5,34.4,(21.2)
Interest Capitalized,21.2,22.9,20.9,56.2,50.0,
Interest on Long-Term Debt,83.3,80.1,68.2,93.4,92.9,
