Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,52.54%,21.96%,1.09%,(34.00%),(21.99%)
Other Revenues,426.60%,(61.21%),,(37.62%),(76.87%)
Total Revenues,52.56%,21.94%,1.02%,(34.04%),(22.04%)
Cost Of Revenues,16.53%,1.19%,4.04%,(13.93%),(16.13%)
Gross Profit,72.96%,29.85%,0.13%,(40.25%),(24.03%)
Selling General & Admin Expenses,8.25%,(2.69%),79.44%,(10.80%),1.92%
Depreciation & Amortization,13.68%,32.38%,49.40%,(21.11%),(34.80%)
Other Operating Expense/(Income),(32.22%),(27.73%),280.37%,(44.44%),
Total Operating Expenses,3.37%,18.06%,70.44%,(23.56%),34.61%
Operating Income,304.08%,39.86%,(50.31%),(81.33%),(98.57%)
Interest Expense,-16.37%,-8.68%,-21.56%,(15.42%),(25.10%)
Interest And Investment Income,,,,(78.79%),(78.79%)
Net Interest Expenses,-11.06%,-8.68%,-28.53%,(24.61%),(35.75%)
Other Non Operating Income (Expenses),61.87%,101.97%,(89.34%),,
"EBT, Excl. Unusual Items",428.15%,44.40%,(52.18%),(88.77%),
"EBT, Incl. Unusual Items",,49.93%,,"(1,440.76%)",(40.06%)
Income Tax Expense,,22.91%,,"(1,261.12%)",(492.58%)
Earnings From Continuing Operations,,60.19%,,"(1,478.78%)",(15.12%)
Net Income to Company,,60.19%,,"(1,478.78%)",(15.12%)
Net Income,,60.19%,,"(1,478.78%)",(15.12%)
Preferred Dividend and Other Adjustments,,29.66%,(40.50%),(26.35%),(27.50%)
NI to Common Incl Extra Items,,60.72%,,"(1,403.11%)",(14.81%)
NI to Common Excl. Extra Items,,60.72%,,"(1,403.11%)",(14.81%)
Revenue Per Share,52.48%,21.53%,(4.09%),(34.81%),(22.24%)
Basic EPS,,60.08%,,"(1,383.66%)",(14.52%)
Basic EPS - Continuing Ops,,60.08%,,"(1,383.66%)",(14.52%)
Basic Weighted Average Shares Outst.,0.09%,0.35%,5.33%,1.18%,0.25%
Diluted EPS,,60.04%,,"(1,383.66%)",(14.62%)
Diluted EPS - Continuing Ops,,60.04%,,"(1,383.66%)",(14.62%)
Diluted Weighted Average Shares Outst.,0.14%,0.33%,5.30%,1.18%,0.25%
Normalized Basic EPS,427.66%,43.86%,(54.58%),(88.89%),
Normalized Diluted EPS,427.42%,43.82%,(54.58%),(88.89%),
Dividend Per Share,0.00%,112.50%,17.65%,10.00%,13.41%
Payout Ratio,,12.89%,,,0.00%
EBITDA,107.00%,37.08%,(13.96%),(43.26%),(63.33%)
EBITA,304.08%,39.86%,(49.59%),(80.18%),(97.60%)
EBIT,304.08%,39.86%,(50.31%),(81.33%),(98.57%)
EBITDAR,,,,(42.06%),
Effective Tax Rate,,(18.03%),(22.59%),,323.09%
Normalized Net Income,428.15%,44.40%,(52.18%),(88.77%),
Interest Capitalized,8.00%,(9.12%),169.63%,(11.03%),
Interest on Long-Term Debt,(3.78%),(14.85%),36.88%,(0.51%),
