Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,19.38%,15.74%,(8.75%),(24.70%),(12.55%)
Total Revenues,19.38%,15.74%,(8.75%),(24.70%),(12.55%)
Cost Of Revenues,13.01%,13.33%,(2.47%),(20.91%),(13.00%)
Gross Profit,113.17%,34.55%,(50.03%),(73.29%),(5.47%)
Selling General & Admin Expenses,41.11%,6.30%,13.83%,(31.45%),(21.34%)
Depreciation & Amortization,(1.18%),3.99%,18.23%,4.38%,6.16%
Other Operating Expense/(Income),(500.00%),-75.00%,(400.00%),,-10.00%
Total Operating Expenses,12.26%,6.09%,15.06%,(9.42%),(4.48%)
Operating Income,,81.99%,,(465.08%),-2.03%
Interest Expense,-1.26%,-25.42%,-15.34%,(97.99%),(104.24%)
Interest And Investment Income,(40.78%),37.70%,14.29%,(92.71%),(79.07%)
Net Interest Expenses,(28.68%),-47.43%,-42.39%,(443.40%),(303.80%)
Currency Exchange Gains (Loss),,,(10.53%),(11.76%),87.50%
Other Non Operating Income (Expenses),(22.22%),0.00%,(45.45%),,-28.57%
"EBT, Excl. Unusual Items",,176.68%,,(444.38%),(60.32%)
"EBT, Incl. Unusual Items",,169.77%,,(189.16%),-12.88%
Income Tax Expense,,(252.33%),,,
Earnings From Continuing Operations,,188.11%,,(84.92%),-36.47%
Net Income to Company,,188.11%,,(84.92%),-36.47%
Net Income,,188.11%,,(84.92%),-36.47%
NI to Common Incl Extra Items,,188.11%,,(84.92%),-36.47%
NI to Common Excl. Extra Items,,188.11%,,(84.92%),-36.47%
Revenue Per Share,7.01%,14.54%,(5.98%),(34.39%),(31.06%)
Basic EPS,,185.63%,,(60.93%),-49.92%
Basic EPS - Continuing Ops,,185.63%,,(60.93%),-49.92%
Basic Weighted Average Shares Outst.,11.57%,1.05%,(2.95%),14.76%,26.86%
Diluted EPS,,185.39%,,(60.93%),-49.92%
Diluted EPS - Continuing Ops,,185.39%,,(60.93%),-49.92%
Diluted Weighted Average Shares Outst.,12.67%,1.10%,(3.95%),14.76%,26.86%
Normalized Basic EPS,,173.59%,,(373.63%),(26.38%)
Normalized Diluted EPS,,173.23%,,(373.63%),(26.38%)
Dividend Per Share,0.00%,0.00%,0.00%,(80.00%),(75.00%)
Payout Ratio,,(64.29%),,,-51.57%
EBITDA,165.71%,43.79%,(70.09%),,32.99%
EBITA,,81.99%,,(496.61%),-2.77%
EBIT,,81.99%,,(465.08%),-2.03%
EBITDAR,,,,(97.74%),
Normalized Net Income,,176.68%,,(444.38%),(60.32%)
Interest Capitalized,(25.00%),133.33%,185.71%,30.00%,
Interest on Long-Term Debt,(1.59%),(22.98%),(8.38%),86.29%,
Foreign Sales,446.14%,15.74%,(8.75%),(24.70%),
