Income Statement,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,(21.94%),21.84%,17.32%,19.48%,0.00%
Total Revenues,(21.94%),21.84%,17.32%,19.48%,0.00%
Cost Of Revenues,(14.89%),14.82%,10.79%,5.59%,0.00%
Gross Profit,(28.83%),30.05%,24.06%,32.29%,0.00%
Selling General & Admin Expenses,24.44%,21.79%,35.12%,10.50%,0.00%
R&D Expenses,(70.17%),22.73%,89.81%,(45.37%),0.00%
Total Operating Expenses,11.01%,21.83%,37.22%,7.53%,0.00%
Operating Income,(68.98%),59.70%,(12.12%),138.64%,0.00%
Interest Expense,(50.40%),-4.07%,-30.37%,-57.96%,0.00%
Net Interest Expenses,(50.40%),-4.07%,-30.37%,-57.96%,0.00%
Other Non Operating Income (Expenses),,,-41.79%,,0.00%
"EBT, Excl. Unusual Items",(82.62%),117.15%,(3.39%),205.10%,0.00%
"EBT, Incl. Unusual Items",(50.89%),117.15%,(3.39%),205.10%,0.00%
Income Tax Expense,0.98%,(28.85%),41.95%,193.63%,0.00%
Earnings From Continuing Operations,(68.43%),275.06%,(12.69%),208.92%,0.00%
Net Income to Company,(68.43%),275.06%,(12.69%),208.92%,0.00%
Net Income,(67.90%),275.06%,(12.69%),208.92%,0.00%
NI to Common Incl Extra Items,(67.90%),275.06%,(12.69%),208.92%,0.00%
NI to Common Excl. Extra Items,(67.90%),275.06%,(12.69%),208.92%,0.00%
Revenue Per Share,(22.32%),21.32%,12.80%,16.87%,0.00%
Basic EPS,(67.96%),271.76%,(16.52%),203.60%,0.00%
Basic EPS - Continuing Ops,(67.96%),271.76%,(16.52%),203.60%,0.00%
Basic Weighted Average Shares Outst.,0.47%,0.37%,4.05%,2.22%,0.00%
Diluted EPS,(67.41%),263.16%,(15.94%),205.17%,0.00%
Diluted EPS - Continuing Ops,(67.41%),263.16%,(15.94%),205.17%,0.00%
Diluted Weighted Average Shares Outst.,0.26%,0.66%,3.39%,1.74%,0.00%
Normalized Basic EPS,(82.56%),112.82%,(6.79%),200.92%,0.00%
Normalized Diluted EPS,(82.50%),117.06%,(6.38%),197.95%,0.00%
Payout Ratio,235.51%,(76.07%),(71.14%),,
EBITDA,(61.11%),49.80%,(6.46%),106.16%,0.00%
EBITA,(67.22%),54.91%,(11.06%),130.33%,0.00%
EBIT,(68.98%),59.70%,(12.12%),138.64%,0.00%
EBITDAR,,,(6.72%),117.86%,
Effective Tax Rate,105.62%,(67.23%),46.88%,(3.74%),0.00%
Normalized Net Income,(82.50%),117.15%,(3.39%),205.10%,0.00%
R&D Expense From Footnotes,(70.17%),22.73%,89.81%,(45.37%),0.00%
Foreign Sales,,319.21%,135.16%,66.37%,
