Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5.79%,4.17%,2.84%,(64.34%),(73.17%)
Other Revenues,12.50%,9.65%,1.51%,(29.19%),(34.69%)
Total Revenues,6.18%,4.50%,2.75%,(62.12%),(70.64%)
Cost Of Revenues,9.81%,9.88%,2.69%,(31.12%),(35.45%)
Gross Profit,(1.12%),(7.49%),2.92%,,
Selling General & Admin Expenses,11.64%,2.91%,5.39%,(67.98%),(82.75%)
Depreciation & Amortization,11.61%,8.05%,7.78%,2.93%,(5.04%)
Other Operating Expense/(Income),5.96%,3.63%,(0.02%),(41.64%),(52.70%)
Total Operating Expenses,8.11%,4.43%,2.65%,(36.32%),(47.05%)
Operating Income,(12.92%),(26.38%),3.51%,,
Interest Expense,(6.26%),(0.28%),(3.69%),(12.05%),(24.05%)
Interest And Investment Income,49.21%,25.53%,7.63%,(67.72%),(79.13%)
Net Interest Expenses,(3.34%),-2.19%,(3.20%),(22.52%),(36.34%)
Currency Exchange Gains (Loss),,"(1,275.00%)",-41.82%,-25.00%,-25.00%
Other Non Operating Income (Expenses),,136.36%,(26.92%),0.00%,(53.33%)
"EBT, Excl. Unusual Items",(15.70%),(32.79%),4.23%,,
"EBT, Incl. Unusual Items",(18.23%),(44.51%),19.75%,,"(1,053.13%)"
Income Tax Expense,34.76%,(77.66%),20.76%,,"(1,512.95%)"
Earnings From Continuing Operations,(50.39%),10.14%,19.41%,,(966.76%)
Net Income to Company,(50.39%),10.14%,19.41%,,(966.76%)
Net Income,(50.39%),10.14%,19.41%,,(966.76%)
NI to Common Incl Extra Items,(50.39%),10.14%,19.41%,,(966.76%)
NI to Common Excl. Extra Items,(50.39%),10.14%,19.41%,,(966.76%)
Revenue Per Share,19.88%,10.12%,7.60%,(65.29%),(76.08%)
Basic EPS,(44.00%),16.09%,25.09%,,(769.15%)
Basic EPS - Continuing Ops,(44.00%),16.09%,25.09%,,(769.15%)
Basic Weighted Average Shares Outst.,(11.43%),(5.10%),(4.50%),9.14%,22.74%
Diluted EPS,(43.87%),16.09%,25.08%,,(765.50%)
Diluted EPS - Continuing Ops,(43.87%),16.09%,25.08%,,(765.50%)
Diluted Weighted Average Shares Outst.,(11.58%),(5.29%),(4.59%),8.92%,22.74%
Normalized Basic EPS,(4.78%),(29.13%),9.03%,,
Normalized Diluted EPS,(4.59%),(29.08%),9.38%,,
Dividend Per Share,0.00%,0.00%,0.00%,(75.00%),(100.00%)
Payout Ratio,78.14%,(14.68%),(19.84%),,-100.00%
EBITDA,(7.27%),(16.91%),4.92%,,
EBITA,(13.29%),(26.21%),3.48%,,
EBIT,(12.92%),(26.38%),3.51%,,
EBITDAR,(6.62%),(2.05%),6.09%,,
Effective Tax Rate,64.83%,(59.75%),0.86%,(11.27%),39.88%
Normalized Net Income,(15.70%),(32.79%),4.23%,,
Interest on Long-Term Debt,6.26%,0.28%,3.69%,12.05%,
Foreign Sales,5.48%,6.94%,0.23%,(75.26%),
