Income Statement,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,35.13%,33.34%,29.59%,9.29%,(3.37%)
Total Revenues,35.13%,33.34%,29.59%,9.29%,(3.37%)
Cost Of Revenues,40.08%,39.58%,31.43%,16.78%,5.73%
Gross Profit,34.23%,32.16%,29.22%,7.77%,(5.30%)
Selling General & Admin Expenses,32.81%,20.44%,22.39%,6.24%,(6.55%)
R&D Expenses,33.03%,14.14%,27.66%,5.21%,14.68%
Total Operating Expenses,32.86%,18.99%,23.54%,6.00%,(1.75%)
Operating Income,38.65%,72.77%,41.28%,11.05%,(11.36%)
Interest And Investment Income,293.42%,137.32%,121.42%,49.00%,(25.91%)
Net Interest Expenses,293.42%,137.32%,121.42%,49.00%,(25.91%)
Currency Exchange Gains (Loss),,,,,0.00%
Other Non Operating Income (Expenses),,(11.17%),,,39.79%
"EBT, Excl. Unusual Items",38.93%,74.08%,43.59%,12.55%,(8.13%)
"EBT, Incl. Unusual Items",38.74%,75.64%,64.15%,(2.48%),(19.62%)
Income Tax Expense,41.66%,23.05%,(91.00%),"1,138.86%",(24.41%)
Earnings From Continuing Operations,36.62%,115.23%,130.91%,(21.62%),(18.23%)
Net Income to Company,36.62%,115.23%,130.91%,(21.62%),(18.23%)
Net Income,36.62%,115.23%,130.91%,(21.62%),(18.23%)
NI to Common Incl Extra Items,36.62%,115.23%,130.91%,(21.62%),(18.23%)
NI to Common Excl. Extra Items,36.62%,115.23%,130.91%,(21.62%),(18.23%)
Revenue Per Share,31.87%,30.56%,27.38%,8.65%,(3.15%)
Basic EPS,33.93%,109.96%,127.06%,(22.12%),(18.05%)
Basic EPS - Continuing Ops,33.93%,109.96%,127.06%,(22.12%),(18.05%)
Basic Weighted Average Shares Outst.,2.45%,2.12%,1.72%,0.60%,(0.23%)
Diluted EPS,37.65%,109.40%,128.98%,(21.03%),(17.70%)
Diluted EPS - Continuing Ops,37.65%,109.40%,128.98%,(21.03%),(17.70%)
Diluted Weighted Average Shares Outst.,(0.53%),2.67%,0.66%,(0.73%),(0.84%)
Normalized Basic EPS,35.69%,70.89%,41.16%,11.97%,(7.93%)
Normalized Diluted EPS,39.85%,69.64%,42.34%,13.22%,(7.35%)
EBITDA,41.04%,73.06%,40.44%,13.05%,(8.90%)
EBITA,38.65%,72.77%,41.41%,11.04%,(11.35%)
EBIT,38.65%,72.77%,41.28%,11.05%,(11.36%)
Effective Tax Rate,2.10%,(29.94%),(94.52%),"1,169.96%",(5.96%)
Normalized Net Income,38.93%,74.08%,43.59%,12.55%,(8.13%)
R&D Expense From Footnotes,33.42%,13.42%,24.18%,5.62%,16.44%
Foreign Sales,,69.68%,55.60%,29.83%,
