Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(2.43%),5.78%,0.49%,(0.47%),0.00%
Total Revenues,(2.43%),5.78%,0.49%,(0.47%),0.00%
Cost Of Revenues,(2.41%),4.97%,0.58%,(1.00%),0.00%
Gross Profit,(2.76%),18.85%,(0.81%),7.38%,0.00%
Selling General & Admin Expenses,0.92%,11.54%,13.83%,2.86%,0.00%
Other Operating Expense/(Income),,80.00%,0.00%,(50.00%),0.00%
Total Operating Expenses,1.42%,13.19%,13.42%,3.40%,0.00%
Operating Income,(7.75%),26.25%,(17.52%),13.80%,0.00%
Interest Expense,(12.63%),(10.30%),(10.44%),-15.67%,0.00%
Interest And Investment Income,15.22%,52.83%,18.52%,(54.17%),0.00%
Net Interest Expenses,(11.44%),-9.82%,(3.96%),(19.52%),0.00%
Currency Exchange Gains (Loss),,,-88.14%,(628.57%),0.00%
Other Non Operating Income (Expenses),,,(3.25%),93.28%,0.00%
"EBT, Excl. Unusual Items",(2.00%),27.69%,(11.76%),14.62%,0.00%
"EBT, Incl. Unusual Items",(11.69%),28.03%,(22.91%),18.58%,0.00%
Income Tax Expense,(98.69%),"3,400.00%",(14.69%),(51.67%),0.00%
Earnings From Continuing Operations,24.38%,13.30%,(24.02%),29.22%,0.00%
Net Income to Company,24.38%,13.30%,(24.02%),29.22%,0.00%
Minority Interest,-22.22%,-28.57%,,,0.00%
Net Income,24.71%,13.48%,(23.81%),28.50%,0.00%
NI to Common Incl Extra Items,24.71%,13.48%,(23.81%),28.50%,0.00%
NI to Common Excl. Extra Items,24.71%,13.48%,(23.81%),28.50%,0.00%
Revenue Per Share,0.82%,6.72%,0.67%,(0.11%),0.00%
Basic EPS,28.59%,14.61%,(23.70%),28.92%,0.00%
Basic EPS - Continuing Ops,28.59%,14.61%,(23.70%),28.92%,0.00%
Basic Weighted Average Shares Outst.,(3.23%),(0.88%),(0.18%),(0.36%),0.00%
Diluted EPS,29.17%,14.34%,(23.51%),29.10%,0.00%
Diluted EPS - Continuing Ops,29.17%,14.34%,(23.51%),29.10%,0.00%
Diluted Weighted Average Shares Outst.,(3.21%),(0.87%),(0.35%),(0.35%),0.00%
Normalized Basic EPS,1.53%,29.07%,(11.14%),14.27%,0.00%
Normalized Diluted EPS,1.55%,29.07%,(11.09%),14.40%,0.00%
Dividend Per Share,6.67%,4.69%,4.48%,2.86%,0.00%
Payout Ratio,(16.50%),(8.50%),36.62%,(20.21%),0.00%
EBITDA,(4.08%),17.03%,(9.95%),7.83%,0.00%
EBITA,(6.74%),24.73%,(14.66%),12.96%,0.00%
EBIT,(7.75%),26.25%,(17.52%),13.80%,0.00%
EBITDAR,,,,8.26%,
Effective Tax Rate,(98.52%),"2,603.00%",10.69%,(59.24%),0.00%
Normalized Net Income,(1.84%),28.06%,(11.43%),13.79%,0.00%
Interest Capitalized,(15.00%),23.53%,(28.57%),(6.67%),
R&D Expense From Footnotes,4.88%,9.30%,9.22%,3.90%,0.00%
Foreign Sales,0.02%,8.14%,4.30%,3.29%,
