Income Statement,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,6.06%,6.96%,5.78%,3.66%,1.57%
Other Revenues,5.33%,17.39%,20.45%,(2.97%),(17.10%)
Total Revenues,6.04%,7.29%,6.30%,3.40%,0.82%
Cost Of Revenues,5.88%,6.62%,3.13%,4.68%,2.24%
Gross Profit,6.24%,8.17%,10.39%,1.86%,(0.89%)
Selling General & Admin Expenses,1.62%,9.99%,(0.78%),(0.52%),(2.46%)
Depreciation & Amortization,6.90%,21.35%,10.89%,20.53%,15.90%
Total Operating Expenses,2.02%,10.89%,0.23%,1.50%,(0.53%)
Operating Income,11.52%,5.07%,22.66%,2.21%,(1.23%)
Interest Expense,(42.35%),(28.38%),(26.48%),-17.55%,-49.09%
Interest And Investment Income,22.92%,8.87%,16.89%,(13.42%),(48.69%)
Net Interest Expenses,,(481.82%),(68.23%),-30.03%,-50.54%
"EBT, Excl. Unusual Items",11.07%,4.44%,22.32%,2.54%,(0.82%)
"EBT, Incl. Unusual Items",17.10%,(12.77%),31.67%,5.89%,0.42%
Income Tax Expense,11.84%,(52.03%),79.23%,0.46%,(0.75%)
Earnings From Continuing Operations,19.71%,5.43%,21.64%,7.58%,0.77%
Net Income to Company,19.79%,5.43%,21.64%,7.58%,0.77%
Net Income,19.79%,5.43%,21.64%,7.58%,0.77%
NI to Common Incl Extra Items,19.79%,5.43%,21.64%,7.58%,0.77%
NI to Common Excl. Extra Items,19.71%,5.43%,21.64%,7.58%,0.77%
Revenue Per Share,8.22%,9.04%,7.66%,4.40%,1.81%
Basic EPS,22.09%,7.22%,23.15%,8.64%,1.75%
Basic EPS - Continuing Ops,22.09%,7.22%,23.15%,8.64%,1.75%
Basic Weighted Average Shares Outst.,(2.01%),(1.61%),(1.27%),(0.97%),(0.97%)
Diluted EPS,22.15%,7.05%,23.29%,8.78%,1.92%
Diluted EPS - Continuing Ops,22.15%,7.05%,23.29%,8.78%,1.92%
Diluted Weighted Average Shares Outst.,(1.92%),(1.55%),(1.29%),(1.12%),(1.15%)
Normalized Basic EPS,13.36%,6.14%,24.03%,3.46%,0.16%
Normalized Diluted EPS,13.10%,6.11%,23.96%,3.68%,0.34%
Dividend Per Share,7.69%,12.50%,21.43%,15.03%,11.59%
Payout Ratio,(11.95%),1.37%,(0.06%),5.73%,13.12%
EBITDA,11.30%,6.68%,20.85%,3.92%,0.38%
EBITA,11.45%,6.09%,21.87%,3.77%,0.37%
EBIT,11.52%,5.07%,22.66%,2.21%,(1.23%)
EBITDAR,11.66%,,,,
Effective Tax Rate,(4.48%),(45.00%),36.14%,(5.14%),(1.17%)
Normalized Net Income,11.07%,4.44%,22.32%,2.54%,(0.82%)
Foreign Sales,3.96%,13.33%,0.72%,0.11%,
