Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,(3.61%),0.79%,0.55%,(0.84%),0.00%
Total Interest And Dividend Income,(1.77%),6.89%,3.95%,1.68%,0.00%
Gain (Loss) on Sale of Investments,(978.57%),(184.77%),-68.60%,(100.00%),0.00%
Other Revenues,(4.29%),2.99%,21.74%,86.90%,0.00%
Total Revenues,(3.95%),0.42%,2.52%,(0.72%),0.00%
Policy Benefits,(5.71%),(1.49%),(0.48%),(1.22%),0.00%
Policy Acquisition / Underwriting Costs,(2.43%),4.78%,1.48%,(2.80%),0.00%
Selling General & Admin Expenses,(0.57%),7.48%,3.38%,10.72%,0.00%
Total Operating Expenses,(4.47%),0.83%,0.46%,0.64%,0.00%
Operating Income,(1.78%),(1.24%),11.13%,(5.82%),0.00%
"Interest Expense, Total",-10.45%,-7.50%,(2.70%),(6.14%),0.00%
"EBT, Excl. Unusual Items",(1.20%),(0.87%),11.60%,(6.43%),0.00%
"EBT, Incl. Unusual Items",(1.20%),(0.87%),11.60%,(6.43%),0.00%
Income Tax Expense,,,7.34%,,0.00%
Earnings From Continuing Operations,73.15%,(36.58%),13.15%,44.61%,0.00%
Net Income to Company,73.15%,(36.58%),13.15%,44.61%,0.00%
Net Income,73.15%,(36.58%),13.15%,44.61%,0.00%
NI to Common Incl Extra Items,73.15%,(36.58%),13.15%,44.61%,0.00%
NI to Common Excl. Extra Items,73.15%,(36.58%),13.15%,44.61%,0.00%
Revenue Per Share,(0.20%),3.33%,6.28%,3.27%,0.00%
Basic EPS,79.96%,(34.69%),17.42%,50.44%,0.00%
Basic EPS - Continuing Ops,79.96%,(34.69%),17.42%,50.44%,0.00%
Basic Weighted Average Shares Outst.,(3.75%),(2.83%),(3.53%),(3.87%),0.00%
Diluted EPS,79.75%,(34.66%),17.51%,50.56%,0.00%
Diluted EPS - Continuing Ops,79.75%,(34.66%),17.51%,50.56%,0.00%
Diluted Weighted Average Shares Outst.,(3.62%),(2.91%),(3.64%),(4.05%),0.00%
Normalized Basic EPS,2.61%,2.04%,15.85%,(2.62%),0.00%
Normalized Diluted EPS,2.52%,2.02%,15.95%,(2.43%),0.00%
Dividend Per Share,4.82%,19.54%,3.85%,3.70%,0.00%
Payout Ratio,(41.99%),89.12%,(14.08%),(31.04%),0.00%
EBITDA,(1.78%),(1.32%),10.81%,(5.77%),0.00%
EBITA,(1.78%),(1.24%),11.13%,(5.82%),0.00%
EBIT,(1.78%),(1.24%),11.13%,(5.82%),0.00%
EBITDAR,(1.75%),(1.35%),10.19%,(5.66%),
Effective Tax Rate,,,(3.82%),,0.00%
Normalized Net Income,(1.20%),(0.87%),11.60%,(6.43%),0.00%
