Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,5007.3,4404.1,6156.9,8020.0,8342.7,8342.7
Total Interest And Dividend Income,515.7,493.8,598.4,675.0,574.9,574.9
Gain (Loss) on Sale of Investments,162.2,30.1,(62.7),(96.7),(22.1),(22.1)
Other Revenues,1817.0,1487.0,1365.0,1325.5,1193.4,1193.4
Total Revenues,7502.2,6415.0,8057.6,9923.8,10088.9,10088.9
Policy Benefits,1808.5,1870.6,2342.6,2654.7,2549.3,2549.3
Policy Acquisition / Underwriting Costs,4367.1,3836.9,4890.4,6279.5,6517.9,6517.9
Depreciation & Amortization,,,39.0,55.3,60.0,60.0
Other Operating Expenses,410.3,213.5,270.6,194.0,177.3,177.3
Total Operating Expenses,6585.9,5921.0,7542.6,9183.5,9304.5,9304.5
Operating Income,916.3,494.0,515.0,740.3,784.4,784.4
"Interest Expense, Total",(57.6),(49.5),(100.3),(110.6),(104.5),(104.5)
"EBT, Excl. Unusual Items",858.7,444.5,414.7,629.7,679.9,679.9
Restructuring Charges,,,,,(7.5),(7.5)
Total Merger & Rel. Restruct. Charges,,,(60.4),(28.2),(19.3),(19.3)
Impairment of Goodwill,,,,,(137.8),(137.8)
Asset Writedown,(16.7),,(20.8),(15.6),,
Other Unusual Items,6.6,,,(31.4),,
"EBT, Incl. Unusual Items",848.6,444.5,333.5,554.5,515.3,515.3
Income Tax Expense,283.2,(75.1),80.9,167.7,72.6,72.6
Earnings From Continuing Operations,565.4,519.6,252.6,386.8,442.7,442.7
Net Income to Company,565.4,519.6,252.6,386.8,442.7,442.7
Minority Interest,,,(1.6),(4.2),(0.9),(0.9)
Net Income,565.4,519.6,251.0,382.6,441.8,441.8
Pref. Dividends and Other Adj.,,,14.2,18.7,18.7,18.7
NI to Common Incl Extra Items,565.4,519.6,236.8,363.9,423.1,423.1
NI to Common Excl. Extra Items,565.4,519.6,236.8,363.9,423.1,423.1
Revenue Per Share,$122.46,$116.66,$136.02,$160.21,$167.83,$167.83
Basic EPS,$9.23,$9.45,$4.00,$5.87,$7.04,$7.04
Basic EPS - Continuing Ops,$9.23,$9.45,$4.00,$5.87,$7.04,$7.04
Basic Weighted Average Shares Outst.,61.3,55.0,59.2,61.9,60.1,60.1
Diluted EPS,$9.13,$9.39,$3.98,$5.84,$6.99,$6.99
Diluted EPS - Continuing Ops,$9.13,$9.39,$3.98,$5.84,$6.99,$6.99
Diluted Weighted Average Shares Outst.,61.9,55.3,59.5,62.3,63.2,63.2
Normalized Basic EPS,$8.76,$5.05,$4.35,$6.29,$7.05,$7.05
Normalized Diluted EPS,$8.67,$5.02,$4.33,$6.25,$6.71,$6.71
Dividend Per Share,$2.03,$2.15,$2.28,$2.43,$2.55,$2.55
Payout Ratio,22.16%,22.90%,58.96%,44.43%,39.23%,39.23%
EBITDA,1041.4,609.7,641.9,866.1,928.7,928.7
EBITA,984.0,566.6,592.9,802.5,858.3,858.3
EBIT,916.3,494.0,515.0,740.3,784.4,784.4
EBITDAR,1062.3,627.6,668.6,892.4,955.9,955.9
Effective Tax Rate,33.4%,NM,24.3%,30.2%,14.1%,14.1%
Normalized Net Income,536.7,277.8,257.6,389.4,424.0,424.0
Interest on Long-Term Debt,57.6,49.5,100.3,110.6,104.5,104.5
Foreign Sales,1292.1,1434.2,1840.6,2203.6,2063.5,2063.5
