Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,(12.05%),39.80%,30.26%,4.02%,0.00%
Total Interest And Dividend Income,(4.25%),21.18%,12.80%,(14.83%),0.00%
Gain (Loss) on Sale of Investments,(81.44%),,(54.23%),-77.15%,0.00%
Other Revenues,(18.16%),(8.20%),(2.89%),(9.97%),0.00%
Total Revenues,(14.49%),25.61%,23.16%,1.66%,0.00%
Policy Benefits,3.43%,25.23%,13.32%,(3.97%),0.00%
Policy Acquisition / Underwriting Costs,(12.14%),27.46%,28.40%,3.80%,0.00%
Depreciation & Amortization,,,41.79%,8.50%,
Other Operating Expenses,(47.96%),26.74%,(28.31%),(8.61%),0.00%
Total Operating Expenses,(10.10%),27.39%,21.76%,1.32%,0.00%
Operating Income,(46.09%),4.25%,43.75%,5.96%,0.00%
"Interest Expense, Total",-14.06%,(102.63%),(10.27%),-5.52%,0.00%
"EBT, Excl. Unusual Items",(48.24%),(6.70%),51.84%,7.97%,0.00%
Total Merger & Rel. Restruct. Charges,,,-53.31%,-31.56%,0.00%
Asset Writedown,,,-25.00%,,
"EBT, Incl. Unusual Items",(47.62%),(24.97%),66.27%,(7.07%),0.00%
Income Tax Expense,,,107.29%,(56.71%),0.00%
Earnings From Continuing Operations,(8.10%),(51.39%),53.13%,14.45%,0.00%
Net Income to Company,(8.10%),(51.39%),53.13%,14.45%,0.00%
Minority Interest,,,(162.50%),-78.57%,0.00%
Net Income,(8.10%),(51.69%),52.43%,15.47%,0.00%
Pref. Dividends and Other Adj.,,,31.69%,0.00%,0.00%
NI to Common Incl Extra Items,(8.10%),(54.43%),53.67%,16.27%,0.00%
NI to Common Excl. Extra Items,(8.10%),(54.43%),53.67%,16.27%,0.00%
Revenue Per Share,(4.73%),16.59%,17.78%,4.75%,0.00%
Basic EPS,2.38%,(57.70%),46.87%,19.90%,0.00%
Basic EPS - Continuing Ops,2.38%,(57.70%),46.87%,19.90%,0.00%
Basic Weighted Average Shares Outst.,(10.24%),7.73%,4.56%,(2.95%),0.00%
Diluted EPS,2.85%,(57.61%),46.73%,19.74%,0.00%
Diluted EPS - Continuing Ops,2.85%,(57.61%),46.73%,19.74%,0.00%
Diluted Weighted Average Shares Outst.,(10.69%),7.66%,4.65%,1.39%,0.00%
Normalized Basic EPS,(42.32%),(13.90%),44.50%,12.14%,0.00%
Normalized Diluted EPS,(42.07%),(13.83%),44.31%,7.39%,0.00%
Dividend Per Share,5.91%,6.05%,6.58%,4.94%,0.00%
Payout Ratio,3.35%,157.49%,(24.64%),(11.71%),0.00%
EBITDA,(41.45%),5.28%,34.93%,7.23%,0.00%
EBITA,(42.42%),4.64%,35.35%,6.95%,0.00%
EBIT,(46.09%),4.25%,43.75%,5.96%,0.00%
EBITDAR,(40.92%),6.53%,33.47%,7.12%,
Effective Tax Rate,,,24.66%,(53.41%),0.00%
Normalized Net Income,(48.24%),(7.28%),51.16%,8.91%,0.00%
Interest on Long-Term Debt,(14.06%),102.63%,10.27%,(5.52%),
Foreign Sales,11.00%,28.34%,19.72%,(6.36%),
