Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,36.44%,33.47%,22.39%,2.71%,0.00%
Total Revenues,36.44%,33.47%,22.39%,2.71%,0.00%
Cost Of Revenues,34.73%,45.49%,27.82%,6.91%,0.00%
Gross Profit,37.00%,29.63%,20.45%,1.11%,0.00%
Selling General & Admin Expenses,35.69%,28.03%,25.77%,12.01%,0.00%
R&D Expenses,28.84%,32.12%,22.08%,11.40%,0.00%
Total Operating Expenses,34.78%,28.55%,25.28%,11.93%,0.00%
Operating Income,42.06%,31.94%,10.27%,(24.75%),0.00%
Interest And Investment Income,64.92%,23.43%,45.55%,(74.96%),0.00%
Net Interest Expenses,64.92%,23.43%,45.55%,(74.96%),0.00%
Currency Exchange Gains (Loss),,,-64.29%,,0.00%
Other Non Operating Income (Expenses),(85.36%),-39.31%,-26.69%,-2.74%,0.00%
"EBT, Excl. Unusual Items",50.11%,26.65%,12.53%,(23.34%),0.00%
"EBT, Incl. Unusual Items",50.11%,26.65%,21.22%,(31.74%),0.00%
Income Tax Expense,154.22%,(55.65%),94.63%,,0.00%
Earnings From Continuing Operations,22.00%,72.95%,10.63%,301.08%,0.00%
Net Income to Company,22.00%,72.95%,10.63%,301.08%,0.00%
Net Income,22.00%,72.95%,10.63%,301.08%,0.00%
NI to Common Incl Extra Items,22.00%,72.95%,10.63%,301.08%,0.00%
NI to Common Excl. Extra Items,22.00%,72.95%,10.63%,301.08%,0.00%
Revenue Per Share,36.08%,33.49%,23.38%,3.58%,0.00%
Basic EPS,21.41%,72.97%,11.50%,304.81%,0.00%
Basic EPS - Continuing Ops,21.41%,72.97%,11.50%,304.81%,0.00%
Basic Weighted Average Shares Outst.,0.29%,(0.03%),(0.80%),(0.84%),0.00%
Diluted EPS,21.46%,73.85%,12.40%,305.24%,0.00%
Diluted EPS - Continuing Ops,21.46%,73.85%,12.40%,305.24%,0.00%
Diluted Weighted Average Shares Outst.,0.43%,(0.58%),(1.55%),(1.09%),0.00%
Normalized Basic EPS,49.30%,26.77%,13.59%,(22.79%),0.00%
Normalized Diluted EPS,49.28%,27.47%,14.23%,(22.48%),0.00%
EBITDA,43.98%,31.13%,13.85%,(19.00%),0.00%
EBITA,42.71%,31.34%,10.12%,(23.02%),0.00%
EBIT,42.06%,31.94%,10.27%,(24.75%),0.00%
EBITDAR,,,,(17.50%),
Effective Tax Rate,69.32%,(64.99%),60.62%,,0.00%
Normalized Net Income,50.11%,26.65%,12.53%,(23.34%),0.00%
R&D Expense From Footnotes,28.84%,32.12%,22.08%,11.40%,0.00%
Foreign Sales,64.39%,47.98%,32.02%,10.25%,
